t,id,range_m,side_px,reproj_px,cam_x,cam_y,cam_z,map_x,map_y,map_z
145.371,3,2.6297,47.89,0.380,2.3905,1.0917,-0.0959,-1.0370,2.8569,0.1041
145.735,3,2.6328,44.88,0.075,2.5269,0.7325,-0.0979,-1.0480,2.8799,0.1021
146.073,3,2.7974,43.89,1.739,2.7630,0.4247,-0.1042,-1.1802,2.9984,0.0958
146.366,3,2.8631,42.88,1.942,2.8597,0.0888,-0.1053,-1.2357,3.0422,0.0947
146.731,3,2.8268,44.03,2.163,2.8130,-0.2589,-0.1053,-1.2054,3.0183,0.0947
147.064,3,2.6255,44.78,0.030,2.5609,-0.5704,-0.0979,-1.0500,2.8803,0.1021
147.370,3,2.6495,46.89,0.300,2.4834,-0.9185,-0.0958,-1.0528,2.8912,0.1042
243.274,3,3.5619,36.82,1.499,3.2668,-1.4157,-0.1047,-0.7848,3.0667,0.0953
243.643,3,3.4758,37.08,1.691,3.2895,-1.1177,-0.1058,-0.7798,3.0433,0.0942
243.963,3,3.4023,36.84,1.463,3.2792,-0.9010,-0.1059,-0.7777,3.0652,0.0941
244.256,3,3.3054,37.57,1.653,3.2467,-0.6114,-0.1057,-0.7833,3.0565,0.0943
244.637,3,3.1778,37.83,1.314,3.1597,-0.3239,-0.1004,-0.8251,3.0202,0.0996
244.965,3,3.1646,38.83,1.753,3.1624,-0.0537,-0.1053,-0.8263,3.0523,0.0947
245.270,3,3.0903,39.85,1.728,3.0812,0.2114,-0.1054,-0.8544,3.0517,0.0946
245.635,3,2.9308,42.12,1.621,2.9004,0.4075,-0.1046,-0.9032,3.0027,0.0954
245.977,3,2.8430,44.18,1.784,2.7809,0.5817,-0.1050,-0.9065,2.9971,0.0950
246.274,3,2.7049,47.69,2.162,2.6138,0.6886,-0.1011,-0.9400,2.9357,0.0989
246.635,3,2.4830,49.13,0.339,2.3707,0.7319,-0.0960,-1.0434,2.8296,0.1040
246.964,3,2.4270,49.84,0.164,2.2966,0.7793,-0.0940,-1.0384,2.8341,0.1060
247.284,3,2.3599,52.14,0.146,2.2226,0.7877,-0.0942,-1.0530,2.8214,0.1058
247.632,3,2.3154,53.29,0.163,2.1764,0.7847,-0.0943,-1.0528,2.8202,0.1057
247.956,3,2.2780,53.79,0.082,2.1432,0.7660,-0.0944,-1.0540,2.8193,0.1056
248.269,3,2.2806,53.27,0.226,2.1802,0.6627,-0.0943,-1.0505,2.8280,0.1057
248.637,3,2.2861,50.85,0.079,2.2516,0.3846,-0.0942,-1.0357,2.8360,0.1058
248.964,3,2.2589,50.63,0.109,2.2545,0.1046,-0.0941,-1.0507,2.8173,0.1059
249.274,3,2.2803,49.86,0.173,2.2718,-0.1727,-0.0941,-1.0380,2.8332,0.1059
249.634,3,2.2746,51.11,0.200,2.2396,-0.3864,-0.0942,-1.0614,2.8410,0.1058
249.956,3,2.2738,51.10,0.187,2.2388,-0.3862,-0.0942,-1.0627,2.8410,0.1058
250.269,3,2.2738,51.10,0.187,2.2388,-0.3862,-0.0942,-1.0626,2.8409,0.1058
250.618,3,2.2738,51.10,0.187,2.2388,-0.3862,-0.0942,-1.0629,2.8412,0.1058
250.961,3,2.2738,51.10,0.187,2.2388,-0.3862,-0.0942,-1.0630,2.8413,0.1058
251.269,3,2.2738,51.10,0.187,2.2388,-0.3862,-0.0942,-1.0634,2.8416,0.1058
251.629,3,2.2738,51.10,0.187,2.2388,-0.3862,-0.0942,-1.0637,2.8419,0.1058
251.956,3,2.2738,51.10,0.187,2.2388,-0.3862,-0.0942,-1.0634,2.8417,0.1058
252.267,3,2.2738,51.10,0.187,2.2388,-0.3862,-0.0942,-1.0632,2.8415,0.1058
252.625,3,2.2706,51.28,0.309,2.2408,-0.3546,-0.0941,-1.0637,2.8386,0.1059
252.965,3,2.2807,49.87,0.170,2.2712,-0.1850,-0.0941,-1.0658,2.8581,0.1059
253.257,3,2.2665,50.20,0.176,2.2637,0.0610,-0.0941,-1.0721,2.8464,0.1059
253.611,3,2.2728,51.36,0.147,2.2436,0.3507,-0.0942,-1.0612,2.8591,0.1058
253.955,3,2.2513,53.87,0.057,2.1471,0.6703,-0.0944,-1.0614,2.8625,0.1056
254.267,3,2.2325,57.86,0.038,2.0049,0.9776,-0.0948,-1.0620,2.8632,0.1052
389.478,6,4.3320,31.62,0.151,3.8418,1.9993,-0.0973,-4.7260,-10.0805,0.1027
389.822,6,4.2876,30.79,0.136,3.8568,1.8706,-0.0977,-4.7604,-10.1039,0.1023
390.151,6,4.1686,31.66,0.006,3.7348,1.8491,-0.0974,-4.7242,-10.0956,0.1026
390.470,6,4.1420,32.84,0.141,3.7072,1.8448,-0.0971,-4.7775,-10.1017,0.1029
390.834,6,4.0067,32.65,0.098,3.5933,1.7697,-0.0974,-4.7267,-10.0847,0.1026
391.151,6,3.9580,32.91,0.117,3.5379,1.7718,-0.0975,-4.7529,-10.0833,0.1025
391.464,6,3.8987,34.67,0.124,3.4740,1.7670,-0.0973,-4.7708,-10.0934,0.1027
402.133,6,2.4146,51.03,0.179,2.2259,0.9312,-0.0942,-4.6787,-10.0512,0.1058
402.470,6,2.3495,49.33,0.149,2.3076,0.4316,-0.0940,-4.6610,-10.0127,0.1060
402.769,6,2.4002,47.87,0.122,2.3940,0.1427,-0.0960,-4.7016,-10.0522,0.1040
403.144,6,2.3753,49.01,0.342,2.3677,-0.1636,-0.0960,-4.6934,-10.0368,0.1040
403.460,6,2.3527,49.82,0.025,2.3032,-0.4706,-0.0940,-4.6963,-10.0459,0.1060
403.772,6,2.3014,52.71,0.048,2.1863,-0.7123,-0.0943,-4.6793,-10.0288,0.1057
404.139,6,2.2968,55.70,0.080,2.0871,-0.9542,-0.0946,-4.6927,-10.0392,0.1054
433.771,6,4.0544,31.89,0.148,3.7596,1.5146,-0.0971,-4.6351,-10.0912,0.1029
434.072,6,3.9816,29.79,0.219,3.8520,1.0031,-0.0959,-4.6037,-10.0969,0.1041
434.449,6,3.4183,33.04,1.785,3.3881,0.4452,-0.0856,-4.0849,-10.1789,0.1144
434.771,6,3.9204,28.83,0.214,3.9180,0.0948,-0.0983,-4.6167,-10.0733,0.1017
435.073,6,3.8732,28.74,0.107,3.8602,-0.3015,-0.0980,-4.6368,-10.0876,0.1020
435.445,6,3.7983,29.65,0.221,3.7915,-0.2057,-0.0980,-4.6536,-10.1067,0.1020
435.767,6,3.7239,29.84,0.055,3.7220,0.0636,-0.0976,-4.6717,-10.1259,0.1024
436.063,6,3.6237,30.84,0.057,3.5938,0.4537,-0.0976,-4.6595,-10.1259,0.1024
436.444,6,3.4534,33.91,0.146,3.3604,0.7903,-0.0960,-4.5638,-10.1252,0.1040
436.769,6,3.3953,35.87,0.040,3.2172,1.0806,-0.0975,-4.5770,-10.1054,0.1025
437.068,6,3.4340,38.95,0.044,3.1276,1.4146,-0.0974,-4.7344,-10.0948,0.1026
610.270,2,4.4291,24.81,1.413,4.4284,0.0366,-0.0716,16.5817,-2.1343,0.1284
610.939,2,4.2935,25.77,1.464,4.1777,-0.9880,-0.0692,16.5109,-2.1694,0.1308
611.261,2,4.2279,25.77,1.511,4.1656,-0.7198,-0.0688,16.5089,-2.1491,0.1312
611.578,2,4.3154,25.78,0.214,4.3023,-0.3302,-0.0617,16.6366,-2.0736,0.1383
755.129,4,4.4571,26.58,0.381,4.3689,0.8800,-0.0647,3.5051,-1.2139,0.1353
755.452,4,4.2794,27.90,0.156,4.0998,1.2248,-0.0647,3.5964,-1.2773,0.1353
761.767,4,4.4977,28.53,0.880,4.1852,1.6445,-0.0932,2.2311,-0.2528,0.1068
834.676,2,4.1831,25.80,1.514,4.1497,-0.5225,-0.0686,16.4354,-1.8647,0.1314
835.047,2,4.3023,26.49,0.181,4.2761,-0.4703,-0.0615,16.6484,-1.8527,0.1385
835.359,2,4.1556,26.90,0.033,4.1242,-0.5061,-0.0633,16.5868,-1.8637,0.1367
836.044,2,4.0235,26.77,1.455,3.9967,-0.4587,-0.0696,16.6324,-1.8566,0.1304
838.668,2,4.3977,28.84,1.793,4.3969,0.0040,-0.0836,17.6470,-1.5472,0.1164
839.362,2,4.4829,24.69,1.517,4.4795,0.1441,-0.0956,17.8965,-1.4720,0.1044
839.656,2,4.4666,24.94,0.371,4.4641,0.1248,-0.0851,17.9752,-1.4857,0.1149
840.039,2,4.3056,25.98,1.662,4.3035,0.0983,-0.0957,17.9007,-1.4945,0.1043
841.659,2,4.2446,28.69,1.120,4.2012,-0.5973,-0.0968,18.2415,-1.4161,0.1032
842.035,2,4.0522,30.76,1.191,3.9551,-0.8763,-0.0952,18.1335,-1.4431,0.1048
842.367,2,3.9301,32.83,1.168,3.7642,-1.1260,-0.0939,18.0915,-1.4443,0.1061
842.669,2,4.2020,30.72,0.140,3.8979,-1.5666,-0.0952,18.4336,-1.3730,0.1048
843.037,2,4.1746,33.76,0.187,3.6946,-1.9411,-0.0968,18.4712,-1.3593,0.1032
843.661,5,4.1910,27.95,0.381,4.1200,0.7655,-0.0646,16.6445,1.5894,0.1354
851.345,5,4.4769,26.08,0.550,4.4648,-0.3116,-0.1030,17.7204,3.2917,0.0970
851.666,5,4.3325,26.49,0.296,4.3239,-0.2536,-0.1023,17.6854,3.2438,0.0977
852.027,5,4.2976,27.11,0.575,4.2932,-0.1643,-0.1028,17.7180,3.2889,0.0972
852.347,5,4.0882,28.70,0.708,4.0866,-0.0479,-0.1023,17.6470,3.1927,0.0977
852.666,5,4.1700,28.28,0.937,4.1683,0.0629,-0.1013,17.7192,3.3278,0.0987
853.019,5,3.9907,29.22,0.649,3.9854,0.1793,-0.1024,17.6579,3.2590,0.0976
853.346,5,3.8353,30.45,0.630,3.8268,0.2342,-0.1020,17.6126,3.2116,0.0980
853.667,5,3.7260,31.26,0.579,3.7137,0.2845,-0.1020,17.6001,3.2062,0.0980
854.022,5,3.7042,31.56,0.690,3.6998,0.1484,-0.1016,17.6325,3.2619,0.0984
854.341,5,3.5712,32.66,0.665,3.5687,0.0882,-0.1014,17.6054,3.2228,0.0986
854.678,5,3.4593,33.65,0.623,3.4577,0.0339,-0.1015,17.5932,3.2022,0.0985
855.026,5,3.5023,34.78,1.509,3.5007,-0.0160,-0.1067,17.6707,3.3049,0.0933
855.359,5,3.3866,35.82,1.452,3.3844,-0.0552,-0.1064,17.6545,3.2816,0.0936
855.667,5,3.3115,36.85,1.650,3.3086,-0.0869,-0.1061,17.6637,3.2923,0.0939
856.028,5,3.2191,37.88,1.620,3.2155,-0.1090,-0.1059,17.6675,3.2896,0.0941
856.352,5,3.1299,38.89,1.610,3.1256,-0.1256,-0.1057,17.6787,3.2595,0.0943
856.654,5,2.7738,41.29,0.154,2.7682,-0.1460,-0.0978,17.5248,3.0359,0.1022
857.026,5,2.7197,41.89,0.006,2.7134,-0.1571,-0.0978,17.5462,3.0647,0.1022
857.337,5,2.6569,42.89,0.043,2.6488,-0.1831,-0.0979,17.5476,3.0651,0.1021
857.672,5,2.6597,43.80,0.239,2.6286,-0.3939,-0.0979,17.5497,3.0634,0.1021
858.020,5,2.6445,45.05,0.105,2.5528,-0.6834,-0.0980,17.5391,3.0437,0.1020
858.357,5,2.6233,47.93,0.183,2.4199,-1.0082,-0.0959,17.5208,3.0133,0.1041
898.973,5,4.3837,25.98,1.690,4.3206,-0.7349,-0.0960,16.9936,3.0049,0.1040
901.281,5,4.4175,27.58,0.125,4.1770,-1.4343,-0.0976,17.6255,3.0138,0.1024
901.650,5,4.2987,28.66,0.128,4.0144,-1.5342,-0.0977,17.5926,3.0146,0.1023
901.971,5,4.3252,29.63,0.192,4.0134,-1.6094,-0.0976,17.7006,3.0111,0.1024
902.279,5,4.1976,31.29,0.123,3.8494,-1.6710,-0.0970,17.6518,2.9914,0.1030
902.655,5,4.0286,31.81,0.095,3.7143,-1.5570,-0.0972,17.5419,3.0009,0.1028
902.967,5,4.0336,31.74,0.122,3.7213,-1.5530,-0.0973,17.6273,2.9917,0.1027
903.270,5,3.8683,33.86,0.091,3.4806,-1.6851,-0.0974,17.5424,3.0019,0.1026
903.975,5,3.7117,36.40,0.087,3.2703,-1.7529,-0.0974,17.5427,2.9915,0.1026
919.631,5,2.8739,43.89,0.076,2.5564,-1.3094,-0.0980,17.4631,3.0110,0.1020
919.972,5,2.9164,40.89,0.556,2.8311,-0.6931,-0.1008,17.5002,2.9387,0.0992
920.272,5,3.0223,40.58,1.604,2.9990,-0.3600,-0.1047,17.5446,2.8116,0.0953
920.629,5,3.0848,39.89,1.772,3.0829,0.0083,-0.1054,17.5972,2.7734,0.0946
920.961,5,3.0086,40.90,1.528,2.9819,0.3866,-0.1043,17.5443,2.8225,0.0957
921.276,5,2.8785,43.29,1.705,2.7648,0.7940,-0.1049,17.4696,2.8935,0.0951
921.627,5,2.7076,47.68,0.321,2.4535,1.1412,-0.0950,17.3542,2.9878,0.1050
1096.437,1,4.4916,24.73,0.233,4.4899,0.1088,-0.0654,-2.7867,-6.1597,0.1346
1096.765,1,4.4889,24.73,0.234,4.4879,0.0682,-0.0654,-2.8661,-6.1821,0.1346
1097.116,1,4.2858,25.89,0.046,4.2848,0.0660,-0.0619,-2.7510,-6.1553,0.1381
1097.444,1,4.3026,25.81,0.215,4.3012,0.0896,-0.0618,-2.8058,-6.2232,0.1382
1097.761,1,4.1446,25.77,1.467,4.1371,0.2400,-0.0685,-2.7349,-6.2240,0.1315
1098.764,1,4.0279,26.71,1.433,4.0034,0.4378,-0.0699,-2.8752,-6.2625,0.1301
1099.114,1,4.0091,27.82,0.033,3.9864,0.4208,-0.0648,-2.9429,-6.2704,0.1352
1101.441,1,4.4204,28.76,1.775,4.4120,0.2584,-0.0847,-3.9463,-6.4867,0.1153
1102.759,1,4.2682,26.15,0.706,4.2573,0.2882,-0.0998,-4.1534,-6.5318,0.1002
1104.439,1,4.0262,29.62,2.713,3.9754,0.6298,-0.0991,-4.3084,-6.6156,0.1009
