t,robot,x,y
128.0,leo2,1.837,0.016
130.0,leo2,1.837,0.016
132.0,leo2,1.837,0.016
134.0,leo2,1.837,0.016
136.0,leo2,1.837,0.016
138.0,leo2,1.856,0.012
140.0,leo2,1.866,0.012
142.0,leo2,1.839,-0.000
144.0,leo2,1.612,-0.159
146.0,leo2,1.013,-0.364
148.0,leo2,0.545,-0.588
150.0,leo2,0.232,-0.737
152.0,leo2,-0.263,-0.767
154.0,leo2,-0.790,-0.800
156.0,leo2,-1.156,-0.897
158.0,leo2,-1.352,-1.019
160.0,leo2,-1.730,-1.369
162.0,leo2,-2.132,-1.677
164.0,leo2,-2.541,-1.999
166.0,leo2,-2.980,-2.336
168.0,leo2,-3.384,-2.602
170.0,leo2,-3.604,-2.783
172.0,leo2,-3.588,-2.765
174.0,leo2,-3.725,-2.630
176.0,leo2,-3.864,-2.120
178.0,leo2,-4.087,-1.638
180.0,leo2,-4.292,-1.281
182.0,leo2,-4.335,-1.214
184.0,leo2,-4.307,-1.204
186.0,leo2,-4.512,-1.088
188.0,leo2,-4.818,-0.705
190.0,leo2,-5.078,-0.254
192.0,leo2,-5.430,0.081
194.0,leo2,-5.624,0.227
196.0,leo2,-5.624,0.227
198.0,leo2,-5.606,0.219
200.0,leo2,-5.621,0.202
202.0,leo2,-5.608,0.214
204.0,leo2,-5.470,-0.042
206.0,leo2,-5.096,-0.437
208.0,leo2,-4.662,-0.880
210.0,leo2,-4.301,-1.271
212.0,leo2,-3.952,-1.628
214.0,leo2,-3.570,-2.018
216.0,leo2,-3.197,-2.367
218.0,leo2,-2.812,-2.735
220.0,leo2,-2.419,-3.100
222.0,leo2,-2.106,-3.508
224.0,leo2,-2.023,-3.947
226.0,leo2,-1.984,-4.265
228.0,leo2,-2.137,-4.566
230.0,leo2,-2.487,-4.944
232.0,leo2,-2.874,-5.373
234.0,leo2,-3.063,-5.634
236.0,leo2,-3.076,-5.658
238.0,leo2,-3.079,-5.663
240.0,leo2,-3.081,-5.647
242.0,leo2,-3.398,-5.517
244.0,leo2,-3.636,-5.607
246.0,leo2,-3.796,-5.840
248.0,leo2,-3.903,-6.359
250.0,leo2,-4.121,-6.849
252.0,leo2,-4.452,-7.271
254.0,leo2,-4.762,-7.669
256.0,leo2,-5.089,-8.081
258.0,leo2,-5.193,-8.198
260.0,leo2,-5.169,-8.208
262.0,leo2,-5.112,-8.227
264.0,leo2,-4.754,-8.154
266.0,leo2,-4.133,-8.085
268.0,leo2,-3.622,-8.198
270.0,leo2,-3.168,-8.461
272.0,leo2,-2.701,-8.712
274.0,leo2,-2.369,-8.922
276.0,leo2,-2.341,-8.943
278.0,leo2,-2.339,-8.945
280.0,leo2,-2.275,-9.218
282.0,leo2,-2.286,-9.753
284.0,leo2,-2.217,-10.267
286.0,leo2,-2.168,-10.765
288.0,leo2,-2.054,-11.280
290.0,leo2,-1.942,-11.573
292.0,leo2,-1.942,-11.573
294.0,leo2,-1.933,-11.590
296.0,leo2,-1.982,-11.576
298.0,leo2,-1.897,-11.515
300.0,leo2,-1.835,-11.193
302.0,leo2,-1.906,-10.692
304.0,leo2,-1.950,-10.468
306.0,leo2,-1.950,-10.468
308.0,leo2,-1.950,-10.468
310.0,leo2,-1.947,-10.552
312.0,leo2,-1.942,-10.654
314.0,leo2,-1.938,-10.760
316.0,leo2,-1.939,-10.776
318.0,leo2,-1.938,-10.777
320.0,leo2,-1.938,-10.777
322.0,leo2,-1.938,-10.777
324.0,leo2,-1.835,-10.754
326.0,leo2,-1.741,-10.733
328.0,leo2,-1.642,-10.711
330.0,leo2,-1.660,-10.702
332.0,leo2,-1.743,-10.523
334.0,leo2,-1.804,-10.066
336.0,leo2,-1.817,-9.682
338.0,leo2,-1.858,-9.590
340.0,leo2,-1.858,-9.590
342.0,leo2,-1.858,-9.589
344.0,leo2,-1.938,-9.609
346.0,leo2,-2.326,-9.852
348.0,leo2,-2.769,-10.242
350.0,leo2,-3.168,-10.554
352.0,leo2,-3.583,-10.882
354.0,leo2,-4.016,-11.167
356.0,leo2,-4.468,-11.465
358.0,leo2,-4.879,-11.740
360.0,leo2,-5.274,-12.038
362.0,leo2,-5.409,-12.149
364.0,leo2,-5.421,-12.126
366.0,leo2,-5.473,-12.034
368.0,leo2,-5.499,-11.599
370.0,leo2,-5.472,-11.013
372.0,leo2,-5.498,-10.494
374.0,leo2,-5.537,-9.968
376.0,leo2,-5.547,-9.452
378.0,leo2,-5.579,-8.923
380.0,leo2,-5.522,-8.409
382.0,leo2,-5.435,-7.894
384.0,leo2,-5.368,-7.649
386.0,leo2,-5.212,-7.468
388.0,leo2,-4.816,-7.297
390.0,leo2,-4.400,-6.977
392.0,leo2,-4.087,-6.672
394.0,leo2,-3.987,-6.170
396.0,leo2,-4.150,-5.776
398.0,leo2,-4.370,-5.578
400.0,leo2,-4.856,-5.490
402.0,leo2,-5.367,-5.376
404.0,leo2,-5.867,-5.269
406.0,leo2,-6.366,-5.104
408.0,leo2,-6.864,-4.915
410.0,leo2,-7.082,-4.809
412.0,leo2,-7.084,-4.799
