t,tag_x,tag_y,tag_yaw_deg,tag_conf,map_x,map_y,map_yaw_deg,map_conf,locked,err_xy_m,err_yaw_deg,n_leo1_tags,n_leo2_tags,n_common
143.5,,,,nan,,,,nan,0,,,0,0,0
145.0,,,,0.000,,,,nan,0,,,0,0,0
150.0,,,,0.000,,,,nan,0,,,0,0,0
155.0,,,,0.000,,,,nan,0,,,0,0,0
160.0,,,,0.000,,,,nan,0,,,0,0,0
165.0,,,,0.000,,,,nan,0,,,0,1,0
170.0,,,,0.000,,,,0.459,0,,,0,1,0
175.0,,,,0.000,,,,0.459,0,,,0,1,0
180.0,,,,0.000,,,,0.365,0,,,0,1,0
185.0,,,,0.000,,,,0.365,0,,,0,1,0
190.0,,,,0.000,,,,0.368,0,,,0,1,0
195.0,,,,0.000,4.6000,-1.3000,-89.000,0.461,0,7.8645,91.000,0,1,0
200.0,,,,0.000,4.6000,-1.3000,-89.000,0.460,0,7.8645,91.000,1,1,0
205.0,2.2684,-9.4233,174.649,0.175,4.6000,-1.3000,-89.000,0.333,0,7.8645,91.000,1,2,1
210.0,1.5376,-8.4590,-151.281,0.175,4.6000,-1.3000,-89.000,0.525,0,7.8645,91.000,1,2,1
215.0,1.9985,-8.2107,-160.770,0.175,4.6000,-1.3000,-89.000,0.534,0,7.8645,91.000,1,2,1
220.0,1.9985,-8.2107,-160.770,0.175,4.6000,-1.3000,-89.000,0.562,0,7.8645,91.000,1,2,1
225.0,1.9985,-8.2107,-160.770,0.175,4.6000,-1.3000,-89.000,0.562,0,7.8645,91.000,1,2,1
230.0,1.9985,-8.2107,-160.770,0.175,4.6000,-1.3000,-89.000,0.590,0,7.8645,91.000,1,2,1
235.0,1.9985,-8.2107,-160.770,0.175,4.6000,-1.3000,-89.000,0.602,0,7.8645,91.000,1,2,1
240.0,1.9985,-8.2107,-160.770,0.175,4.6000,-1.3000,-89.000,0.642,0,7.8645,91.000,1,2,1
245.0,1.9985,-8.2107,-160.770,0.175,4.6000,-1.3000,-89.000,0.665,0,7.8645,91.000,1,2,1
250.0,1.9985,-8.2107,-160.770,0.175,4.6000,-1.3000,-89.000,0.666,0,7.8645,91.000,1,2,1
255.0,1.9985,-8.2107,-160.770,0.175,4.6000,-1.3000,-89.000,0.629,0,7.8645,91.000,1,2,1
260.0,1.9985,-8.2107,-160.770,0.175,4.6000,-1.3000,-89.000,0.623,0,7.8645,91.000,1,3,1
265.0,1.9985,-8.2107,-160.770,0.175,4.6000,-1.3000,-89.000,0.648,0,7.8645,91.000,1,3,1
270.0,1.9985,-8.2107,-160.770,0.175,4.6000,-1.3000,-89.000,0.648,0,7.8645,91.000,1,3,1
275.0,1.9985,-8.2107,-160.770,0.175,4.6000,-1.3000,-89.000,0.648,0,7.8645,91.000,1,3,1
280.0,1.9985,-8.2107,-160.770,0.175,4.6000,-1.3000,-89.000,0.634,0,7.8645,91.000,1,3,1
285.0,1.9985,-8.2107,-160.770,0.350,4.6000,-1.3000,-89.000,0.640,0,7.8645,91.000,2,3,2
290.0,1.9985,-8.2107,-160.770,0.350,4.6000,-1.3000,-89.000,0.660,0,7.8645,91.000,2,4,2
295.0,1.9985,-8.2107,-160.770,0.350,4.6000,-1.3000,-89.000,0.666,0,7.8645,91.000,2,4,2
300.0,1.9985,-8.2107,-160.770,0.350,4.6000,-1.3000,-89.000,0.666,0,7.8645,91.000,2,4,2
305.0,1.9985,-8.2107,-160.770,0.569,4.6000,-1.3000,-89.000,0.694,1,7.8645,91.000,3,4,3
310.0,1.9985,-8.2107,-160.770,0.625,4.6000,-1.3000,-89.000,0.771,1,7.8645,91.000,3,4,3
315.0,1.9985,-8.2107,-160.770,0.624,4.6000,-1.3000,-89.000,0.775,1,7.8645,91.000,3,4,3
