t,id,range_m,side_px,reproj_px,cam_x,cam_y,cam_z,map_x,map_y,map_z
187.686,5,3.1129,42.90,0.399,2.7295,1.4934,-0.0989,2.1085,-6.5489,0.1011
193.676,6,4.3781,25.90,0.276,4.3355,0.6063,-0.0601,0.3972,-9.3265,0.1399
194.358,6,4.3201,25.78,0.219,4.3019,0.3922,-0.0616,0.3888,-9.4443,0.1384
194.669,6,4.1649,25.78,1.507,4.1427,0.4245,-0.0684,0.3435,-9.3725,0.1316
195.668,6,3.9872,26.78,1.474,3.9859,-0.0766,-0.0694,0.3642,-9.4581,0.1306
198.669,6,4.4786,24.76,1.556,4.4497,0.4995,-0.0912,0.2372,-10.7096,0.1088
199.021,6,4.4842,24.88,0.400,4.4661,0.3896,-0.1006,0.2815,-10.8074,0.0994
200.671,6,4.3920,27.64,1.145,4.2967,0.9047,-0.0981,0.3473,-11.1785,0.1019
201.667,6,4.1213,29.86,1.112,3.9616,1.1321,-0.0980,0.3493,-11.1652,0.1020
201.972,6,4.0308,30.67,1.054,3.8315,1.2479,-0.0972,0.3519,-11.1614,0.1028
202.349,6,4.2525,29.63,0.090,3.9959,1.4516,-0.0956,0.3523,-11.4685,0.1044
202.673,6,4.1961,30.85,0.162,3.8946,1.5587,-0.0967,0.3581,-11.4930,0.1033
202.984,6,4.1308,31.85,0.090,3.7891,1.6423,-0.0977,0.3572,-11.5116,0.1023
203.348,6,3.9931,33.87,0.083,3.6185,1.6860,-0.0959,0.3574,-11.4541,0.1041
203.661,6,3.9413,34.90,0.052,3.5379,1.7344,-0.0974,0.3106,-11.4312,0.1026
203.981,6,3.7728,35.89,0.136,3.4141,1.6029,-0.0943,0.2841,-11.3322,0.1057
204.336,6,3.7601,34.86,0.158,3.4521,1.4872,-0.0968,0.2981,-11.4023,0.1032
204.680,6,3.6350,35.90,0.117,3.3514,1.4043,-0.0957,0.2984,-11.3555,0.1043
204.978,6,3.6147,35.90,0.012,3.3242,1.4165,-0.0975,0.3008,-11.4080,0.1025
205.338,6,3.4984,38.90,0.099,3.1579,1.5023,-0.0959,0.3026,-11.3324,0.1041
276.577,5,4.0093,28.93,0.340,3.9744,0.5235,-0.0659,0.9475,-7.6122,0.1341
283.260,5,4.4167,29.20,0.488,3.9546,1.9644,-0.1018,2.2586,-6.2453,0.0982
283.926,5,4.2664,30.00,0.164,3.7725,1.9898,-0.1021,2.1339,-6.2178,0.0979
284.263,5,4.1875,31.20,0.445,3.6919,1.9735,-0.1016,2.1219,-6.2124,0.0984
293.572,4,4.4631,25.85,0.105,4.3462,1.0128,-0.0626,5.4383,-5.6087,0.1374
