t,robot,x,y
144.0,leo1,0.919,0.020
146.0,leo1,0.919,0.020
148.0,leo1,0.919,0.020
150.0,leo1,0.919,0.020
152.0,leo1,0.919,0.020
154.0,leo1,0.938,0.012
156.0,leo1,0.924,0.048
158.0,leo1,0.843,-0.074
160.0,leo1,0.497,-0.245
162.0,leo1,-0.049,-0.433
164.0,leo1,-0.180,-0.534
166.0,leo1,-0.177,-0.529
168.0,leo1,-0.147,-0.544
170.0,leo1,0.065,-0.686
172.0,leo1,0.663,-0.864
174.0,leo1,1.128,-1.088
176.0,leo1,1.568,-1.356
178.0,leo1,1.744,-1.455
180.0,leo1,1.751,-1.541
182.0,leo1,1.587,-1.917
184.0,leo1,1.325,-2.405
186.0,leo1,1.260,-2.907
188.0,leo1,1.198,-3.425
190.0,leo1,1.057,-3.918
192.0,leo1,0.892,-4.440
194.0,leo1,0.749,-4.806
196.0,leo1,0.685,-5.334
198.0,leo1,0.628,-5.839
200.0,leo1,0.536,-6.360
202.0,leo1,0.385,-6.942
204.0,leo1,0.187,-7.362
206.0,leo1,0.094,-7.621
208.0,leo1,-0.087,-7.724
210.0,leo1,-0.603,-7.749
212.0,leo1,-1.035,-7.798
214.0,leo1,-1.538,-7.874
216.0,leo1,-2.040,-7.952
218.0,leo1,-2.555,-8.047
220.0,leo1,-3.087,-8.153
222.0,leo1,-3.581,-8.298
224.0,leo1,-3.910,-8.387
226.0,leo1,-3.939,-8.398
228.0,leo1,-3.940,-8.398
230.0,leo1,-4.137,-8.542
232.0,leo1,-4.450,-8.958
234.0,leo1,-4.697,-9.343
236.0,leo1,-4.856,-9.815
238.0,leo1,-5.084,-10.290
240.0,leo1,-5.203,-10.455
242.0,leo1,-5.192,-10.421
244.0,leo1,-5.106,-10.512
246.0,leo1,-4.636,-10.639
248.0,leo1,-4.253,-10.870
250.0,leo1,-3.797,-10.979
252.0,leo1,-3.317,-10.891
254.0,leo1,-3.179,-10.851
256.0,leo1,-3.178,-10.851
258.0,leo1,-2.712,-10.815
260.0,leo1,-2.203,-10.681
262.0,leo1,-2.085,-10.645
264.0,leo1,-2.086,-10.639
266.0,leo1,-2.086,-10.639
268.0,leo1,-2.077,-10.660
270.0,leo1,-2.038,-10.754
272.0,leo1,-1.996,-10.852
274.0,leo1,-1.968,-10.921
276.0,leo1,-1.905,-10.827
278.0,leo1,-1.602,-10.641
280.0,leo1,-1.070,-10.468
282.0,leo1,-0.603,-10.211
284.0,leo1,-0.217,-9.966
286.0,leo1,0.232,-9.709
288.0,leo1,0.706,-9.408
290.0,leo1,1.142,-9.099
292.0,leo1,1.530,-8.835
294.0,leo1,1.970,-8.569
296.0,leo1,2.489,-8.511
298.0,leo1,2.815,-8.500
300.0,leo1,3.176,-8.246
302.0,leo1,3.556,-7.867
304.0,leo1,3.950,-7.540
304.0,leo2,-2.978,-4.903
306.0,leo1,4.354,-7.194
306.0,leo2,-2.728,-4.434
308.0,leo1,4.742,-6.865
308.0,leo2,-2.516,-3.965
310.0,leo1,5.113,-6.540
310.0,leo2,-2.355,-3.477
312.0,leo1,5.203,-6.460
312.0,leo2,-2.248,-2.978
314.0,leo1,5.263,-6.378
314.0,leo2,-2.199,-2.490
316.0,leo1,5.261,-6.371
316.0,leo2,-2.160,-1.958
318.0,leo1,5.261,-6.371
318.0,leo2,-2.083,-1.436
320.0,leo1,5.261,-6.371
320.0,leo2,-1.985,-0.920
322.0,leo1,5.311,-6.387
322.0,leo2,-1.916,-0.790
324.0,leo1,5.413,-6.420
