t,robot,x,y
144.0,leo2,0.694,0.005
146.0,leo2,0.694,0.005
148.0,leo2,0.694,0.005
150.0,leo2,0.694,0.005
152.0,leo2,0.694,0.005
154.0,leo2,0.712,-0.003
156.0,leo2,0.716,0.002
158.0,leo2,0.693,-0.019
160.0,leo2,0.498,-0.128
162.0,leo2,0.075,-0.061
164.0,leo2,-0.219,0.010
166.0,leo2,-0.220,0.004
168.0,leo2,-0.309,-0.119
170.0,leo2,-0.340,-0.596
172.0,leo2,-0.470,-1.080
174.0,leo2,-0.529,-1.226
176.0,leo2,-0.529,-1.226
178.0,leo2,-0.688,-1.447
180.0,leo2,-0.963,-1.894
182.0,leo2,-1.188,-2.120
184.0,leo2,-1.187,-2.120
186.0,leo2,-1.254,-2.210
188.0,leo2,-1.366,-2.655
190.0,leo2,-1.529,-3.157
192.0,leo2,-1.639,-3.351
194.0,leo2,-1.632,-3.330
196.0,leo2,-1.623,-3.349
198.0,leo2,-1.575,-3.324
200.0,leo2,-1.259,-3.079
202.0,leo2,-0.869,-2.621
204.0,leo2,-0.547,-2.196
206.0,leo2,-0.237,-1.783
208.0,leo2,0.055,-1.331
210.0,leo2,0.322,-0.935
212.0,leo2,0.743,-0.619
214.0,leo2,1.163,-0.549
216.0,leo2,1.650,-0.440
218.0,leo2,2.147,-0.290
220.0,leo2,2.632,-0.119
222.0,leo2,3.103,0.122
224.0,leo2,3.456,0.317
226.0,leo2,3.481,0.332
228.0,leo2,3.481,0.332
230.0,leo2,3.769,0.512
232.0,leo2,4.150,0.765
234.0,leo2,4.592,1.040
236.0,leo2,5.036,1.286
238.0,leo2,5.492,1.565
240.0,leo2,5.933,1.747
242.0,leo2,6.050,1.758
244.0,leo2,6.064,1.755
246.0,leo2,6.056,1.791
248.0,leo2,6.056,1.791
250.0,leo2,6.056,1.791
252.0,leo2,6.057,1.790
254.0,leo2,6.046,1.819
256.0,leo2,5.951,1.730
258.0,leo2,5.552,1.615
260.0,leo2,5.076,1.319
262.0,leo2,4.972,1.067
264.0,leo2,5.071,0.569
266.0,leo2,5.241,0.066
268.0,leo2,5.542,-0.359
270.0,leo2,5.978,-0.627
272.0,leo2,6.449,-0.868
274.0,leo2,6.856,-1.164
276.0,leo2,7.275,-1.478
278.0,leo2,7.716,-1.805
280.0,leo2,7.957,-2.012
282.0,leo2,7.948,-1.994
