t,tag_x,tag_y,tag_yaw_deg,tag_conf,map_x,map_y,map_yaw_deg,map_conf,locked,err_xy_m,err_yaw_deg,n_leo1_tags,n_leo2_tags,n_common
146.0,,,,0.000,,,,nan,0,,,0,0,0
150.0,,,,0.000,,,,nan,0,,,0,0,0
155.0,,,,0.000,,,,0.541,0,,,0,0,0
160.0,,,,0.000,,,,0.541,0,,,0,0,0
165.0,,,,0.000,,,,0.541,0,,,0,0,0
170.0,,,,0.000,,,,0.522,0,,,0,0,0
175.0,,,,0.000,,,,0.522,0,,,0,0,0
180.0,,,,0.000,,,,0.461,0,,,0,0,0
185.0,,,,0.000,,,,0.419,0,,,0,0,0
190.0,,,,0.000,,,,0.464,0,,,0,0,0
195.0,,,,0.000,,,,0.464,0,,,0,0,0
200.0,,,,0.000,,,,0.465,0,,,0,0,0
205.0,,,,0.000,,,,0.467,0,,,0,0,0
210.0,,,,0.000,,,,0.472,0,,,0,0,0
215.0,,,,0.000,,,,0.450,0,,,1,0,0
220.0,,,,0.000,,,,0.450,0,,,1,0,0
225.0,,,,0.000,,,,0.450,0,,,1,0,0
230.0,,,,0.000,,,,0.459,0,,,1,1,0
235.0,,,,0.000,3.0000,0.1000,1.000,0.485,0,12.8845,-179.000,1,1,0
240.0,,,,0.000,3.0000,0.1000,1.000,0.525,0,12.8845,-179.000,1,1,0
245.0,,,,0.000,3.0000,0.1000,1.000,0.525,0,12.8845,-179.000,1,1,0
250.0,,,,0.000,3.0000,0.1000,1.000,0.516,0,12.8845,-179.000,1,1,0
255.0,,,,0.000,3.0000,0.1000,1.000,0.480,0,12.8845,-179.000,1,1,0
260.0,,,,0.000,3.0000,0.1000,1.000,0.503,0,12.8845,-179.000,1,1,0
265.0,,,,0.000,3.0000,0.1000,1.000,0.397,0,12.8845,-179.000,1,1,0
270.0,,,,0.000,3.0000,0.1000,1.000,0.528,0,12.8845,-179.000,1,1,0
275.0,,,,0.000,3.0000,0.1000,1.000,0.534,0,12.8845,-179.000,1,1,0
280.0,,,,0.000,3.0000,0.1000,1.000,0.534,0,12.8845,-179.000,1,1,0
285.0,,,,0.000,3.1000,0.0500,-0.054,0.540,0,12.7833,179.947,1,1,0
290.0,,,,0.000,3.1000,0.0500,-0.054,0.491,0,12.7833,179.947,1,1,0
295.0,,,,0.000,3.1000,0.0500,-0.054,0.407,0,12.7833,179.947,1,1,0
