t,id,range_m,side_px,reproj_px,cam_x,cam_y,cam_z,map_x,map_y,map_z
208.975,3,3.0762,44.90,0.010,2.7470,1.3810,-0.0978,-1.0404,2.8978,0.1022
209.349,3,3.0117,41.91,0.044,2.8163,1.0626,-0.0977,-1.0541,2.9049,0.1023
209.676,3,2.9462,39.90,0.083,2.8482,0.7471,-0.0977,-1.0948,2.8980,0.1023
209.978,3,2.8211,40.92,0.127,2.7627,0.5626,-0.0974,-1.1095,2.8538,0.1026
210.336,3,2.7554,40.90,0.012,2.7133,0.4698,-0.0978,-1.1107,2.8804,0.1022
210.673,3,2.6754,41.91,0.009,2.6485,0.3654,-0.0979,-1.1158,2.8970,0.1021
210.966,3,2.6018,42.90,0.010,2.5864,0.2659,-0.0979,-1.1212,2.9102,0.1021
211.332,3,2.4992,44.85,0.138,2.4929,0.1466,-0.0979,-1.1196,2.8971,0.1021
211.666,3,2.3698,46.89,0.201,2.3677,0.0328,-0.0937,-1.1126,2.8618,0.1063
211.963,3,2.2955,48.84,0.129,2.2928,-0.0594,-0.0939,-1.1140,2.8836,0.1061
212.342,3,2.2080,50.86,0.020,2.2008,-0.1518,-0.0943,-1.1175,2.8864,0.1057
212.667,3,2.1156,53.89,0.135,2.0972,-0.2619,-0.0945,-1.1140,2.8788,0.1055
212.966,3,2.0252,56.87,0.106,1.9860,-0.3852,-0.0948,-1.1093,2.8789,0.1052
213.334,3,1.9591,60.93,0.055,1.8850,-0.5252,-0.0951,-1.0576,2.8611,0.1049
213.671,3,1.8763,66.95,0.160,1.7523,-0.6640,-0.0954,-1.0593,2.8641,0.1046
213.976,3,1.7955,75.87,0.121,1.6150,-0.7785,-0.0957,-1.0625,2.8566,0.1043
340.171,8,2.9565,41.90,0.114,2.6488,1.3096,-0.0979,4.2571,-6.2193,0.1021
340.539,8,2.9265,38.88,0.021,2.8878,0.4645,-0.0977,4.2465,-6.2091,0.1023
340.872,8,2.8953,38.89,0.119,2.8903,-0.1393,-0.0977,4.1943,-6.2546,0.1023
341.169,8,2.8960,39.87,0.050,2.8526,-0.4895,-0.0977,4.1964,-6.2540,0.1023
341.538,8,2.9090,40.89,0.034,2.7810,-0.8481,-0.0978,4.1919,-6.2366,0.1022
341.865,8,2.8860,43.86,0.053,2.6143,-1.2185,-0.0979,4.1936,-6.2306,0.1021
406.139,6,3.9162,33.49,1.695,3.5984,-1.5424,-0.0920,-4.4530,-10.1342,0.1080
406.467,6,4.0915,28.67,0.116,3.8741,-1.3123,-0.0983,-4.6771,-10.0033,0.1017
406.768,6,4.0324,31.62,1.196,3.8736,-1.1166,-0.0933,-4.6904,-9.9781,0.1067
407.124,6,3.7176,32.60,1.643,3.5564,-1.0788,-0.0936,-4.4459,-10.0019,0.1064
407.467,6,3.8011,31.86,0.039,3.4847,-1.5150,-0.0977,-4.5953,-9.9506,0.1023
407.781,6,3.7202,32.87,0.064,3.3797,-1.5517,-0.0976,-4.6044,-9.9802,0.1024
408.130,6,3.6617,32.02,0.110,3.4755,-1.1488,-0.0975,-4.6173,-9.9434,0.1025
408.464,6,3.5846,31.82,0.096,3.4876,-0.8227,-0.0977,-4.6477,-10.0504,0.1023
409.128,6,3.4071,32.79,0.173,3.3833,-0.3896,-0.0978,-4.6334,-10.0284,0.1022
409.462,6,3.3599,33.88,0.187,3.3428,-0.3232,-0.0979,-4.6674,-10.0131,0.1021
409.777,6,3.2359,34.88,0.079,3.2239,-0.2606,-0.0975,-4.6410,-10.0246,0.1025
410.127,6,3.1384,35.92,0.037,3.1300,-0.2073,-0.0976,-4.6335,-10.0275,0.1024
410.467,6,3.0506,36.91,0.008,3.0456,-0.1449,-0.0977,-4.6347,-10.0286,0.1023
410.784,6,2.9658,37.90,0.027,2.9626,-0.0956,-0.0977,-4.6409,-10.0241,0.1023
411.131,6,2.8913,38.88,0.058,2.8885,-0.0821,-0.0977,-4.6540,-10.0122,0.1023
411.461,6,2.7851,40.89,0.253,2.7821,-0.0840,-0.0977,-4.6371,-10.0272,0.1023
411.780,6,2.6819,41.91,0.087,2.6764,-0.1414,-0.0979,-4.6391,-10.1148,0.1021
412.136,6,2.6098,43.24,0.025,2.6058,-0.1072,-0.0979,-4.6536,-10.1083,0.1021
412.473,6,2.5268,44.86,0.118,2.5227,-0.1043,-0.0980,-4.6289,-10.0902,0.1020
412.769,6,2.4253,46.78,0.068,2.4211,-0.1070,-0.0959,-4.6025,-10.1054,0.1041
