t,robot,x,y
146.0,leo1,0.928,0.031
148.0,leo1,0.928,0.031
150.0,leo1,0.928,0.031
152.0,leo1,0.928,0.031
154.0,leo1,0.928,0.031
156.0,leo1,0.928,0.031
158.0,leo1,0.957,0.023
160.0,leo1,1.020,-0.070
162.0,leo1,1.044,-0.505
164.0,leo1,0.941,-1.016
166.0,leo1,0.926,-1.217
168.0,leo1,0.926,-1.217
170.0,leo1,0.863,-1.363
172.0,leo1,0.492,-1.717
174.0,leo1,0.180,-2.048
176.0,leo1,0.068,-2.163
178.0,leo1,0.069,-2.162
180.0,leo1,0.069,-2.162
182.0,leo1,-0.060,-2.234
184.0,leo1,-0.538,-2.253
186.0,leo1,-1.057,-2.258
188.0,leo1,-1.565,-2.262
190.0,leo1,-2.089,-2.274
192.0,leo1,-2.609,-2.282
194.0,leo1,-2.784,-2.259
196.0,leo1,-2.772,-2.290
198.0,leo1,-2.701,-2.109
200.0,leo1,-2.354,-1.748
202.0,leo1,-1.836,-1.375
204.0,leo1,-1.381,-1.096
206.0,leo1,-0.933,-0.855
208.0,leo1,-0.615,-0.560
210.0,leo1,-0.498,-0.147
212.0,leo1,-0.572,0.423
214.0,leo1,-0.730,0.867
216.0,leo1,-1.065,1.261
218.0,leo1,-1.280,1.438
220.0,leo1,-1.291,1.434
222.0,leo1,-1.291,1.434
224.0,leo1,-1.291,1.434
226.0,leo1,-1.381,1.377
228.0,leo1,-1.818,1.340
230.0,leo1,-2.356,1.330
232.0,leo1,-2.848,1.337
234.0,leo1,-3.381,1.377
236.0,leo1,-3.624,1.439
238.0,leo1,-3.645,1.428
240.0,leo1,-3.713,1.299
242.0,leo1,-3.650,0.764
244.0,leo1,-3.542,0.229
246.0,leo1,-3.463,-0.238
248.0,leo1,-3.360,-0.751
250.0,leo1,-3.131,-1.235
252.0,leo1,-2.861,-1.667
254.0,leo1,-2.558,-2.093
256.0,leo1,-2.217,-2.486
258.0,leo1,-1.819,-2.830
260.0,leo1,-1.396,-3.138
262.0,leo1,-1.084,-3.474
264.0,leo1,-0.962,-3.976
266.0,leo1,-1.067,-4.445
268.0,leo1,-1.401,-4.824
270.0,leo1,-1.718,-5.139
272.0,leo1,-1.777,-5.192
274.0,leo1,-1.773,-5.194
276.0,leo1,-1.685,-5.257
278.0,leo1,-1.247,-5.292
280.0,leo1,-0.663,-5.310
282.0,leo1,-0.136,-5.338
284.0,leo1,0.381,-5.418
286.0,leo1,0.819,-5.659
288.0,leo1,1.134,-6.057
290.0,leo1,1.243,-6.358
292.0,leo1,1.246,-6.354
294.0,leo1,1.246,-6.354
296.0,leo1,1.246,-6.354
298.0,leo1,1.184,-6.391
300.0,leo1,1.098,-6.443
302.0,leo1,1.011,-6.496
304.0,leo1,0.961,-6.517
306.0,leo1,1.108,-6.573
308.0,leo1,1.525,-6.935
310.0,leo1,1.896,-7.301
312.0,leo1,2.245,-7.650
314.0,leo1,2.628,-8.003
316.0,leo1,2.981,-8.396
318.0,leo1,3.322,-8.792
320.0,leo1,3.666,-9.189
322.0,leo1,3.754,-9.294
324.0,leo1,3.764,-9.289
326.0,leo1,3.845,-9.235
328.0,leo1,4.251,-9.223
330.0,leo1,4.774,-9.147
332.0,leo1,5.285,-9.023
334.0,leo1,5.789,-8.890
336.0,leo1,6.039,-8.821
338.0,leo1,6.053,-8.814
340.0,leo1,6.038,-8.857
342.0,leo1,5.954,-8.767
344.0,leo1,5.565,-8.717
346.0,leo1,4.946,-8.717
348.0,leo1,4.403,-8.719
350.0,leo1,3.915,-8.715
352.0,leo1,3.396,-8.720
354.0,leo1,3.152,-8.720
356.0,leo1,3.152,-8.720
358.0,leo1,3.158,-8.720
360.0,leo1,3.258,-8.720
362.0,leo1,3.354,-8.719
364.0,leo1,3.454,-8.719
366.0,leo1,3.453,-8.718
368.0,leo1,3.453,-8.718
370.0,leo1,3.453,-8.718
372.0,leo1,3.448,-8.680
374.0,leo1,3.436,-8.582
