t,id,range_m,side_px,reproj_px,cam_x,cam_y,cam_z,map_x,map_y,map_z
50.639,2,2.1298,59.88,0.024,1.9850,0.7660,-0.0948,3.4103,-6.8235,0.1052
50.828,2,2.0845,55.27,0.255,2.0342,0.4453,-0.0946,3.4322,-6.7783,0.1054
51.038,2,2.1012,52.88,0.000,2.0966,0.1021,-0.0945,3.4756,-6.7852,0.1055
51.233,2,2.0928,53.89,0.049,2.0731,-0.2703,-0.0946,3.4872,-6.7758,0.1054
51.427,2,2.1151,56.88,0.013,2.0227,-0.6110,-0.0947,3.5131,-6.7930,0.1053
51.629,2,2.1228,63.48,0.044,1.9171,-0.9067,-0.0950,3.5665,-6.7868,0.1050
54.642,4,4.2534,28.14,1.344,4.1130,1.0821,-0.0616,3.9505,-0.0962,0.1384
54.838,4,4.9664,25.65,1.482,4.9078,0.7562,-0.0809,4.0418,0.6202,0.1191
55.033,4,4.8388,26.27,1.647,4.8326,0.2310,-0.0810,3.9750,0.5052,0.1190
55.227,4,3.9567,28.94,0.160,3.9494,-0.2302,-0.0661,3.7355,-0.3482,0.1339
55.425,4,4.8459,26.67,1.792,4.7783,-0.8026,-0.0787,3.8201,0.5347,0.1213
55.638,4,4.7247,28.14,1.904,4.5323,-1.3324,-0.0798,3.7852,0.4092,0.1202
60.836,2,2.1141,64.92,0.187,1.8997,0.9228,-0.0946,4.8753,-5.9017,0.1054
61.031,2,2.1032,57.89,0.040,2.0013,0.6397,-0.0948,4.8884,-5.8784,0.1052
61.230,2,2.1054,53.88,0.196,2.0793,0.3172,-0.0945,4.8947,-5.8770,0.1055
61.433,2,2.0993,52.88,0.000,2.0966,-0.0492,-0.0945,4.8988,-5.8541,0.1055
61.623,2,2.1003,53.88,0.000,2.0577,-0.4101,-0.0946,4.9178,-5.8334,0.1054
61.835,2,2.1196,58.92,0.179,1.9869,-0.7322,-0.0948,4.9463,-5.8264,0.1052
65.032,4,4.0478,28.94,0.250,3.9561,0.8538,-0.0678,0.9461,-0.7234,0.1322
65.431,4,3.9524,28.95,0.187,3.9518,0.0190,-0.0660,0.8874,-0.8608,0.1340
65.624,4,3.9792,28.94,0.190,3.9582,-0.4024,-0.0660,0.8068,-0.8797,0.1340
65.832,4,4.7563,27.78,2.069,4.6480,-1.0064,-0.0790,0.3413,-0.2606,0.1210
66.037,4,4.8660,27.82,2.372,4.5888,-1.6169,-0.0823,0.2405,-0.2081,0.1177
71.228,2,2.1184,60.92,0.159,1.9514,0.8188,-0.0948,5.3458,-4.4957,0.1052
71.437,2,2.1076,55.89,0.040,2.0402,0.5199,-0.0947,5.3393,-4.4492,0.1053
71.627,2,2.1062,52.88,0.000,2.0966,0.1777,-0.0945,5.3375,-4.4324,0.1055
71.832,2,2.1083,52.88,0.000,2.0966,-0.2004,-0.0945,5.3371,-4.3969,0.1055
72.032,2,2.1142,55.89,0.062,2.0403,-0.5458,-0.0947,5.3425,-4.3767,0.1053
72.233,2,2.1323,61.92,0.034,1.9511,-0.8551,-0.0949,5.3600,-4.3764,0.1051
75.427,4,4.0857,28.94,0.510,4.0258,0.6942,-0.0672,-0.8872,-2.5687,0.1328
75.629,4,4.8860,25.93,1.561,4.8736,0.3379,-0.0809,-1.6291,-2.2588,0.1191
75.826,4,3.9530,28.94,0.167,3.9498,-0.1448,-0.0661,-0.8138,-2.7165,0.1339
76.040,4,4.0339,28.94,0.358,3.9904,-0.5866,-0.0656,-0.9014,-2.7220,0.1344
76.223,4,4.6923,28.14,1.899,4.5329,-1.2100,-0.0798,-1.5466,-2.5764,0.1202
81.636,2,2.1021,57.88,0.232,1.9803,0.6987,-0.0948,4.8540,-3.0906,0.1052
81.826,2,2.1177,53.89,0.143,2.0793,0.3905,-0.0945,4.8453,-3.0480,0.1055
82.020,2,2.0989,52.88,0.000,2.0966,0.0303,-0.0945,4.8015,-3.0288,0.1055
82.227,2,2.1087,53.89,0.067,2.0787,-0.3419,-0.0946,4.7993,-3.0066,0.1054
82.422,2,2.1131,57.89,0.012,2.0022,-0.6689,-0.0948,4.7691,-2.9645,0.1052
82.639,2,2.1199,65.88,0.119,1.8892,-0.9571,-0.0951,4.7515,-2.9397,0.1049
85.233,4,5.3390,25.37,1.832,4.7573,2.4211,-0.1081,-2.3758,-5.9158,0.0919
85.632,4,4.7437,28.17,2.078,4.6094,1.1180,-0.0791,-1.8072,-5.8597,0.1209
85.819,4,4.9628,25.56,1.466,4.9181,0.6597,-0.0808,-2.0083,-5.9729,0.1192
86.025,4,4.8430,26.20,1.634,4.8404,0.1353,-0.0810,-1.8665,-6.0315,0.1190
86.233,4,4.7361,27.17,1.897,4.7219,-0.3577,-0.0789,-1.7338,-6.0903,0.1211
86.437,4,4.8322,26.95,1.863,4.7454,-0.9080,-0.0788,-1.7920,-6.1999,0.1212
86.833,4,5.3833,24.18,1.600,4.8570,-2.3191,-0.1042,-2.2306,-6.5232,0.0958
