t,robot,x,y
53.0,leo1,0.000,0.000
54.0,leo1,0.000,0.000
55.0,leo1,0.000,0.000
56.0,leo1,0.000,0.000
57.0,leo1,0.000,0.000
58.0,leo1,0.000,0.000
59.0,leo1,0.000,0.000
60.0,leo1,0.089,-0.007
61.0,leo1,0.148,-0.002
62.0,leo1,0.200,-0.002
63.0,leo1,0.261,-0.005
64.0,leo1,0.325,-0.008
65.0,leo1,0.400,-0.004
66.0,leo1,0.478,-0.005
67.0,leo1,0.562,-0.009
68.0,leo1,0.642,-0.014
69.0,leo1,0.760,-0.017
70.0,leo1,0.856,-0.021
71.0,leo1,0.962,-0.025
72.0,leo1,1.055,-0.030
73.0,leo1,1.149,-0.023
74.0,leo1,1.119,-0.023
75.0,leo1,1.119,-0.023
76.0,leo1,1.119,-0.023
77.0,leo1,1.119,-0.023
78.0,leo1,1.120,-0.023
79.0,leo1,1.136,-0.023
80.0,leo1,1.149,-0.021
81.0,leo1,1.160,-0.019
82.0,leo1,1.191,0.020
83.0,leo1,1.195,0.021
84.0,leo1,1.161,0.006
85.0,leo1,1.115,-0.003
86.0,leo1,1.080,-0.020
87.0,leo1,1.040,-0.038
88.0,leo1,0.988,-0.055
89.0,leo1,0.952,-0.072
90.0,leo1,0.943,-0.081
91.0,leo1,0.947,-0.079
92.0,leo1,0.950,-0.078
93.0,leo1,0.951,-0.077
94.0,leo1,0.951,-0.077
95.0,leo1,0.951,-0.077
96.0,leo1,0.949,-0.078
97.0,leo1,0.946,-0.080
98.0,leo1,0.941,-0.082
99.0,leo1,0.946,-0.080
100.0,leo1,0.949,-0.078
101.0,leo1,0.950,-0.077
102.0,leo1,0.950,-0.077
103.0,leo1,0.950,-0.077
104.0,leo1,0.950,-0.077
105.0,leo1,0.951,-0.077
106.0,leo1,0.950,-0.077
107.0,leo1,0.947,-0.079
108.0,leo1,0.942,-0.081
109.0,leo1,0.945,-0.080
110.0,leo1,0.947,-0.079
111.0,leo1,0.949,-0.077
112.0,leo1,0.950,-0.077
113.0,leo1,0.949,-0.077
114.0,leo1,0.950,-0.077
115.0,leo1,0.950,-0.077
116.0,leo1,0.949,-0.078
117.0,leo1,0.947,-0.079
118.0,leo1,0.942,-0.081
119.0,leo1,0.941,-0.082
120.0,leo1,0.944,-0.080
121.0,leo1,0.947,-0.079
122.0,leo1,0.948,-0.078
123.0,leo1,0.947,-0.078
124.0,leo1,0.947,-0.079
125.0,leo1,0.947,-0.079
