t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
53.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0726,0.0000,0.0000,0.0726
54.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0737,0.0000,0.0000,0.0737
54.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0750,0.0000,0.0000,0.0750
55.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0756,0.0000,0.0000,0.0756
55.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0766,0.0000,0.0000,0.0766
56.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0776,0.0000,0.0000,0.0776
56.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0787,0.0000,0.0000,0.0787
57.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0799,0.0000,0.0000,0.0799
57.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0810,0.0000,0.0000,0.0810
58.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0820,0.0000,0.0000,0.0820
58.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0832,0.0000,0.0000,0.0832
59.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0843,0.0000,0.0000,0.0843
59.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0858,0.0000,0.0000,0.0858
60.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0866,0.0000,0.0000,0.0866
60.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0880,0.0000,0.0000,0.0880
61.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0888,0.0000,0.0000,0.0888
61.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0906,0.0000,0.0000,0.0906
62.00,0.0393,-0.0000,-0.0000,0.0380,0.0035,0.0916,0.0380,0.0035,0.0916
62.50,0.0993,-0.0000,-0.0000,0.0989,0.0091,0.0922,0.0582,0.0001,0.0189
63.00,0.1593,-0.0000,-0.0000,0.1616,0.0149,0.0930,0.0712,0.0013,0.0198
63.50,0.2193,-0.0000,-0.0000,0.2208,0.0205,0.0941,0.0807,0.0026,0.0208
64.00,0.2793,-0.0000,-0.0000,0.2801,0.0261,0.0959,0.0706,0.0043,0.0196
64.50,0.3393,-0.0000,-0.0000,0.3428,0.0322,0.0966,0.1232,0.0056,0.0198
65.00,0.3993,-0.0000,-0.0000,0.4036,0.0381,0.0970,0.1043,0.0074,0.0168
65.50,0.4593,-0.0000,-0.0000,0.4628,0.0439,0.0979,0.1638,0.0084,0.0176
66.00,0.5193,-0.0000,-0.0000,0.5293,0.0504,0.0989,0.1071,0.0009,0.0186
66.50,0.5793,-0.0000,-0.0000,0.5916,0.0566,0.0997,0.1231,0.0008,0.0195
67.00,0.6393,-0.0000,-0.0000,0.6569,0.0632,0.1011,0.1488,0.0021,0.0208
67.50,0.6993,-0.0000,-0.0000,0.7159,0.0692,0.1020,0.1681,0.0034,0.0217
68.00,0.7593,-0.0000,-0.0000,0.7785,0.0757,0.1028,0.2136,0.0053,0.0195
68.50,0.8193,-0.0000,-0.0000,0.8433,0.0824,0.1038,0.2461,0.0071,0.0166
69.00,0.8793,-0.0000,-0.0000,0.8998,0.0883,0.1047,0.2729,0.0081,0.0174
69.50,0.9393,-0.0000,-0.0000,0.9570,0.0943,0.1064,0.3304,0.0091,0.0192
70.00,0.9993,-0.0000,-0.0000,1.0141,0.1005,0.1070,0.3678,0.0107,0.0162
70.50,1.0593,-0.0000,-0.0000,1.0742,0.1069,0.1081,0.4282,0.0117,0.0174
71.00,1.1193,-0.0000,-0.0000,1.1349,0.1136,0.1088,0.4893,0.0128,0.0181
71.50,1.1793,-0.0000,-0.0000,1.1959,0.1203,0.1099,0.5307,0.0144,0.0157
72.00,1.2275,-0.0000,-0.0000,1.2416,0.1253,0.1109,0.5679,0.0151,0.0167
72.50,1.2275,-0.0000,-0.0000,1.2416,0.1253,0.1119,0.5666,0.0151,0.0177
73.00,1.2275,-0.0000,-0.0000,1.2416,0.1253,0.1126,0.5666,0.0151,0.0183
73.50,1.2275,-0.0000,-0.0000,1.2416,0.1253,0.1133,0.5666,0.0151,0.0191
74.00,1.2275,-0.0000,-0.0000,1.2416,0.1253,0.1146,0.5666,0.0151,0.0203
74.50,1.2275,-0.0000,-0.0000,1.2416,0.1253,0.1151,0.5666,0.0151,0.0209
75.00,1.2275,-0.0000,-0.0000,1.2416,0.1253,0.1162,0.5666,0.0151,0.0220
75.50,1.2275,-0.0000,-0.0000,1.2416,0.1253,0.1175,0.5666,0.0151,0.0233
76.00,1.2275,-0.0000,-0.0000,1.2416,0.1253,0.1183,0.5666,0.0151,0.0241
76.50,1.2275,-0.0000,-0.0000,1.2416,0.1253,0.1202,0.5666,0.0151,0.0260
77.00,1.2275,-0.0000,-0.0000,1.2416,0.1253,0.1212,0.5666,0.0151,0.0269
77.50,1.2275,-0.0000,-0.0000,1.2416,0.1253,0.1228,0.5666,0.0151,0.0286
78.00,1.2275,-0.0000,-0.0000,1.2416,0.1253,0.1240,0.5666,0.0151,0.0297
78.50,1.2275,-0.0000,-0.0000,1.2416,0.1253,0.1249,0.5666,0.0151,0.0307
79.00,1.2275,-0.0000,-0.0000,1.2416,0.1253,0.1261,0.5666,0.0151,0.0319
79.50,1.2275,-0.0000,-0.0000,1.2416,0.1253,0.1277,0.5666,0.0151,0.0335
80.00,1.2275,-0.0000,-0.0000,1.2416,0.1253,0.1291,0.5666,0.0151,0.0349
80.50,1.2275,0.0015,0.0263,1.2434,0.1256,0.1520,0.5684,0.0152,0.0578
81.00,1.2275,0.0087,0.0782,1.2516,0.1271,0.2048,0.5768,0.0159,0.1106
81.50,1.2275,0.0159,0.1282,1.2588,0.1287,0.2557,0.5841,0.0169,0.1614
82.00,1.2275,0.0226,0.1765,1.2663,0.1309,0.3048,0.5918,0.0184,0.2106
82.50,1.2275,0.0288,0.2232,1.2736,0.1334,0.3529,0.5784,0.0341,0.2377
83.00,1.2276,0.0345,0.2685,1.2801,0.1360,0.3994,0.5852,0.0359,0.2842
83.50,1.2276,0.0397,0.3124,1.2850,0.1382,0.4443,0.5903,0.0375,0.3291
84.00,1.2276,0.0445,0.3551,1.2896,0.1405,0.4880,0.5951,0.0393,0.3728
84.50,1.2277,0.0487,0.3965,1.2936,0.1427,0.5308,0.5993,0.0410,0.4157
85.00,1.2277,0.0525,0.4368,1.2963,0.1443,0.5724,0.6022,0.0424,0.4572
85.50,1.2278,0.0558,0.4760,1.2988,0.1460,0.6125,0.6049,0.0438,0.4973
86.00,1.2278,0.0586,0.5142,1.3007,0.1474,0.6517,0.6070,0.0449,0.5365
86.50,1.2279,0.0609,0.5514,1.3026,0.1489,0.6898,0.6090,0.0462,0.5746
87.00,1.2279,0.0628,0.5876,1.3039,0.1500,0.7269,0.6104,0.0471,0.6117
87.50,1.2280,0.0643,0.6228,1.3056,0.1516,0.7632,0.6123,0.0485,0.6481
88.00,1.2280,0.0652,0.6572,1.3062,0.1522,0.7991,0.6130,0.0490,0.6840
88.50,1.2281,0.0658,0.6907,1.3065,0.1525,0.8342,0.6133,0.0494,0.7190
89.00,1.2281,0.0659,0.7233,1.3068,0.1528,0.8673,0.6136,0.0496,0.7522
89.50,1.2279,0.0658,0.7562,1.3067,0.1527,0.9012,0.6135,0.0495,0.7860
90.00,1.2278,0.0658,0.7903,1.3066,0.1526,0.9359,0.6134,0.0494,0.8208
90.50,1.2278,0.0654,0.8240,1.3066,0.1525,0.9709,0.6134,0.0494,0.8557
91.00,1.2279,0.0652,0.8567,1.3064,0.1523,1.0052,0.6132,0.0491,0.8900
91.50,1.2277,0.0651,0.8895,1.3063,0.1522,1.0390,0.6131,0.0490,0.9239
92.00,1.2270,0.0651,0.9232,1.3060,0.1516,1.0739,0.6127,0.0485,0.9588
92.50,1.2259,0.0650,0.9578,1.3054,0.1504,1.1094,0.6119,0.0473,0.9942
93.00,1.2243,0.0650,0.9934,1.3046,0.1487,1.1459,0.6110,0.0458,1.0307
93.50,1.2223,0.0649,1.0298,1.3040,0.1474,1.1832,0.6102,0.0445,1.0680
94.00,1.2199,0.0649,1.0673,1.3026,0.1437,1.2217,0.6084,0.0410,1.1065
94.50,1.2169,0.0648,1.1058,1.3016,0.1409,1.2608,0.6071,0.0383,1.1456
95.00,1.2135,0.0648,1.1453,1.3005,0.1372,1.3019,0.6056,0.0348,1.1867
95.50,1.2096,0.0647,1.1859,1.2995,0.1330,1.3431,0.6040,0.0308,1.2280
96.00,1.2052,0.0647,1.2277,1.2986,0.1288,1.3861,0.6027,0.0267,1.2709
96.50,1.2003,0.0646,1.2707,1.2979,0.1245,1.4298,0.6015,0.0225,1.3146
97.00,1.1949,0.0646,1.3149,1.2973,0.1194,1.4751,0.6003,0.0175,1.3599
97.50,1.1891,0.0646,1.3606,1.2968,0.1140,1.5221,0.5993,0.0122,1.4070
98.00,1.1827,0.0646,1.4078,1.2966,0.1068,1.5703,0.5982,0.0050,1.4551
98.50,1.1759,0.0645,1.4565,1.2968,0.0983,1.6200,0.5975,-0.0034,1.5048
99.00,1.1686,0.0645,1.5070,1.2973,0.0918,1.6718,0.5301,0.0706,1.5218
99.50,1.1609,0.0645,1.5595,1.2984,0.0834,1.7253,0.5299,0.0621,1.5752
100.00,1.1529,0.0645,1.6128,1.2975,0.0879,1.7801,0.5297,0.0667,1.6301
100.50,1.1478,0.0645,1.6564,1.2965,0.0922,1.8251,0.5293,0.0711,1.6751
101.00,1.1409,0.0645,1.7061,1.2945,0.0992,1.8756,0.5283,0.0783,1.7255
101.50,1.1343,0.0646,1.7542,1.2926,0.1049,1.9249,0.5273,0.0842,1.7748
102.00,1.1281,0.0646,1.8007,1.2906,0.1099,1.9728,0.5261,0.0895,1.8227
102.50,1.1225,0.0646,1.8458,1.2875,0.1166,2.0188,0.5241,0.0966,1.8687
103.00,1.1173,0.0647,1.8895,1.2850,0.1217,2.0638,0.5223,0.1020,1.9137
103.50,1.1127,0.0647,1.9319,1.2826,0.1259,2.1065,0.5206,0.1065,1.9564
104.00,1.1085,0.0647,1.9732,1.2807,0.1289,2.1484,0.5192,0.1098,1.9983
104.50,1.1048,0.0648,2.0134,1.2788,0.1318,2.1889,0.5177,0.1129,2.0388
105.00,1.1016,0.0648,2.0524,1.2768,0.1345,2.2293,0.5161,0.1159,2.0792
105.50,1.0926,0.0832,2.1366,1.2660,0.1473,2.3061,0.5074,0.1302,2.1561
106.00,1.0464,0.1499,2.2728,1.2071,0.2026,2.4464,0.4371,0.1535,2.2929
106.50,0.9602,0.2441,2.3369,1.1027,0.2824,2.5195,0.3560,0.2583,2.3625
107.00,0.8681,0.3358,2.3660,0.9945,0.3566,2.5555,0.2231,0.3382,2.3914
107.50,0.7782,0.4301,2.2786,0.8874,0.4323,2.4795,0.1271,0.4304,2.3120
108.00,0.6975,0.5332,2.1845,0.7869,0.5207,2.3744,0.0736,0.5338,2.1929
108.50,0.6405,0.6128,2.2141,0.7138,0.5912,2.3951,0.0138,0.6168,2.2241
109.00,0.5906,0.6702,2.3679,0.6513,0.6422,2.5397,-0.0212,0.6746,2.3800
109.50,0.5064,0.7362,2.5377,0.5595,0.6923,2.7210,-0.1061,0.7329,2.5691
110.00,0.3974,0.8035,2.5883,0.4455,0.7378,2.7842,-0.1973,0.7983,2.6153
110.50,0.3199,0.8562,2.5059,0.3573,0.7729,2.7131,-0.2718,0.8463,2.5334
111.00,0.2683,0.9020,2.3188,0.2924,0.8092,2.5310,-0.3247,0.8934,2.3460
111.50,0.2392,0.9381,2.1431,0.2533,0.8415,2.3524,-0.3518,0.9338,2.1604
112.00,0.2282,0.9460,2.0456,0.2433,0.8525,2.2437,-0.3607,0.9451,2.0517
112.50,0.2268,0.9492,2.0344,0.2410,0.8552,2.2371,-0.3624,0.9482,2.0452
113.00,0.2157,0.9969,1.9083,0.2144,0.8929,2.1232,-0.3618,0.9814,1.9399
113.50,0.2108,1.1065,1.6452,0.1687,0.9959,1.8571,-0.3259,1.0909,1.6616
114.00,0.2151,1.2363,1.4972,0.1436,1.1233,1.6937,-0.3649,1.2221,1.5048
114.50,0.2266,1.3659,1.4629,0.1284,1.2579,1.6667,-0.3536,1.3658,1.4922
115.00,0.2461,1.4938,1.3148,0.1245,1.3924,1.5214,-0.3264,1.4889,1.3334
115.50,0.2769,1.6178,1.2270,0.1372,1.5216,1.4313,-0.2981,1.6133,1.2463
116.00,0.3105,1.7084,1.2257,0.1531,1.6214,1.4205,-0.2742,1.7086,1.2355
116.50,0.3244,1.7405,1.2679,0.1584,1.6590,1.4644,-0.2605,1.7440,1.2899
117.00,0.3238,1.7406,1.3121,0.1584,1.6583,1.5100,-0.2607,1.7434,1.3355
117.50,0.3180,1.7406,1.3576,0.1581,1.6514,1.5562,-0.2621,1.7366,1.3817
118.00,0.3117,1.7406,1.4047,0.1582,1.6437,1.6033,-0.2634,1.7290,1.4288
118.50,0.3049,1.7406,1.4533,0.1586,1.6365,1.6528,-0.2642,1.7218,1.4783
119.00,0.2976,1.7405,1.5037,0.1594,1.6294,1.7040,-0.2647,1.7146,1.5295
119.50,0.2899,1.7405,1.5561,0.1608,1.6206,1.7571,-0.2648,1.7058,1.5826
120.00,0.2819,1.7405,1.6094,0.1601,1.6235,1.8112,-0.2650,1.7087,1.6367
120.50,0.2744,1.7405,1.6608,0.1577,1.6322,1.8630,-0.2658,1.7178,1.6885
121.00,0.2673,1.7406,1.7104,0.1550,1.6405,1.9135,-0.2670,1.7263,1.7390
121.50,0.2608,1.7406,1.7584,0.1531,1.6455,1.9629,-0.2681,1.7316,1.7884
122.00,0.2547,1.7406,1.8047,0.1506,1.6512,2.0106,-0.2696,1.7377,1.8361
122.50,0.2491,1.7406,1.8497,0.1479,1.6565,2.0568,-0.2713,1.7433,1.8823
123.00,0.2439,1.7407,1.8933,0.1454,1.6610,2.1010,-0.2730,1.7482,1.9265
123.50,0.2393,1.7407,1.9356,0.1426,1.6655,2.1440,-0.2749,1.7531,1.9695
124.00,0.2352,1.7407,1.9768,0.1399,1.6695,2.1861,-0.3313,1.7392,1.9995
124.50,0.2315,1.7408,2.0169,0.1377,1.6725,2.2279,-0.3410,1.7398,2.0395
125.00,0.2283,1.7408,2.0558,0.1361,1.6745,2.2678,-0.3422,1.7421,2.0793
125.50,0.2256,1.7409,2.0938,0.1342,1.6766,2.3066,-0.3437,1.7445,2.1182
