t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
53.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0135,,,
53.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0134,0.0000,0.0000,-0.0134
54.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0139,0.0000,0.0000,-0.0139
54.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0146,0.0000,0.0000,-0.0146
55.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0145,0.0000,0.0000,-0.0145
55.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0149,0.0000,0.0000,-0.0149
56.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0147,0.0000,0.0000,-0.0147
56.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0152,0.0000,0.0000,-0.0152
57.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0155,0.0000,0.0000,-0.0155
57.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0155,0.0000,0.0000,-0.0155
58.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0158,0.0000,0.0000,-0.0158
58.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0158,0.0000,0.0000,-0.0158
59.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0160,0.0000,0.0000,-0.0160
59.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0164,0.0000,0.0000,-0.0164
60.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0162,0.0000,0.0000,-0.0162
60.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0162,0.0000,0.0000,-0.0162
61.00,0.0301,-0.0000,-0.0000,0.0248,-0.0004,-0.0170,0.0248,-0.0004,-0.0170
61.50,0.0901,-0.0000,-0.0000,0.0857,-0.0015,-0.0171,0.0857,-0.0025,-0.0111
62.00,0.1501,-0.0000,-0.0000,0.1465,-0.0025,-0.0171,0.1464,-0.0037,-0.0067
62.50,0.2101,-0.0000,-0.0000,0.2132,-0.0037,-0.0173,0.2132,0.0059,-0.0068
63.00,0.2701,-0.0000,-0.0000,0.2714,-0.0047,-0.0177,0.2714,0.0060,-0.0108
63.50,0.3301,-0.0000,-0.0000,0.3339,-0.0058,-0.0182,0.3339,-0.0012,-0.0072
64.00,0.3901,-0.0000,-0.0000,0.3920,-0.0069,-0.0182,0.3820,-0.0056,-0.0078
64.50,0.4501,-0.0000,-0.0000,0.4537,-0.0080,-0.0184,0.4438,-0.0061,-0.0079
65.00,0.5101,-0.0000,-0.0000,0.5205,-0.0092,-0.0186,0.5205,-0.0066,-0.0082
65.50,0.5701,-0.0000,-0.0000,0.5827,-0.0104,-0.0190,0.5727,-0.0074,-0.0079
66.00,0.6301,-0.0000,-0.0000,0.6455,-0.0116,-0.0190,0.6356,-0.0082,-0.0050
66.50,0.6901,-0.0000,-0.0000,0.7052,-0.0127,-0.0194,0.6952,0.0020,-0.0089
67.00,0.7501,-0.0000,-0.0000,0.7675,-0.0140,-0.0196,0.7576,0.0014,-0.0091
67.50,0.8101,-0.0000,-0.0000,0.8263,-0.0151,-0.0198,0.8063,0.0005,-0.0058
68.00,0.8701,-0.0000,-0.0000,0.8860,-0.0163,-0.0202,0.8661,-0.0099,-0.0062
68.50,0.9301,-0.0000,-0.0000,0.9504,-0.0176,-0.0205,0.9305,-0.0103,-0.0066
69.00,0.9901,-0.0000,-0.0000,1.0106,-0.0189,-0.0212,0.9907,-0.0103,-0.0107
69.50,1.0501,-0.0000,-0.0000,1.0726,-0.0202,-0.0213,1.0527,-0.0113,-0.0088
70.00,1.1101,-0.0000,-0.0000,1.1327,-0.0215,-0.0215,1.1129,-0.0120,-0.0075
70.50,1.1701,-0.0000,-0.0000,1.1964,-0.0229,-0.0222,1.1765,-0.0120,-0.0118
71.00,1.2240,-0.0000,-0.0000,1.2541,-0.0242,-0.0228,1.2342,-0.0132,-0.0089
71.50,1.2240,-0.0000,-0.0000,1.2545,-0.0242,-0.0235,1.2347,-0.0132,-0.0095
72.00,1.2240,-0.0000,-0.0000,1.2545,-0.0242,-0.0236,1.2347,-0.0132,-0.0096
72.50,1.2240,-0.0000,-0.0000,1.2545,-0.0242,-0.0244,1.2347,-0.0132,-0.0104
73.00,1.2240,-0.0000,-0.0000,1.2545,-0.0242,-0.0248,1.2347,-0.0132,-0.0109
73.50,1.2240,-0.0000,-0.0000,1.2545,-0.0242,-0.0254,1.2347,-0.0132,-0.0115
74.00,1.2240,-0.0000,-0.0000,1.2545,-0.0242,-0.0256,1.2347,-0.0132,-0.0117
74.50,1.2240,-0.0000,-0.0000,1.2545,-0.0242,-0.0258,1.2347,-0.0132,-0.0118
75.00,1.2240,-0.0000,-0.0000,1.2545,-0.0242,-0.0265,1.2347,-0.0132,-0.0126
75.50,1.2240,-0.0000,-0.0000,1.2545,-0.0242,-0.0272,1.2347,-0.0132,-0.0132
76.00,1.2240,-0.0000,-0.0000,1.2545,-0.0242,-0.0274,1.2347,-0.0132,-0.0135
76.50,1.2240,-0.0000,-0.0000,1.2545,-0.0242,-0.0275,1.2347,-0.0132,-0.0135
