t,robot,x,y
55.0,leo1,0.000,0.000
56.0,leo1,0.000,0.000
57.0,leo1,0.000,0.000
58.0,leo1,0.000,0.000
59.0,leo1,0.000,0.000
60.0,leo1,0.000,0.000
61.0,leo1,0.025,-0.000
62.0,leo1,0.146,-0.004
63.0,leo1,0.271,0.006
64.0,leo1,0.382,-0.006
65.0,leo1,0.521,-0.007
66.0,leo1,0.636,-0.008
67.0,leo1,0.758,0.001
68.0,leo1,0.866,-0.010
69.0,leo1,0.991,-0.010
70.0,leo1,1.113,-0.012
71.0,leo1,1.234,-0.013
72.0,leo1,1.235,-0.013
73.0,leo1,1.235,-0.013
74.0,leo1,1.235,-0.013
75.0,leo1,1.235,-0.013
76.0,leo1,1.235,-0.013
77.0,leo1,1.235,-0.013
78.0,leo1,1.235,-0.013
79.0,leo1,1.235,-0.013
80.0,leo1,1.244,-0.013
81.0,leo1,1.257,-0.011
82.0,leo1,1.240,0.009
83.0,leo1,1.247,0.011
84.0,leo1,1.227,0.005
85.0,leo1,1.186,-0.008
86.0,leo1,1.139,0.000
87.0,leo1,1.099,-0.012
88.0,leo1,1.059,-0.026
89.0,leo1,1.020,-0.038
90.0,leo1,0.991,-0.048
91.0,leo1,1.000,-0.045
92.0,leo1,1.005,-0.042
93.0,leo1,1.010,-0.040
94.0,leo1,1.012,-0.038
95.0,leo1,1.013,-0.037
96.0,leo1,1.013,-0.038
97.0,leo1,1.013,-0.038
98.0,leo1,1.012,-0.038
99.0,leo1,1.011,-0.040
100.0,leo1,1.008,-0.044
101.0,leo1,1.006,-0.049
102.0,leo1,1.003,-0.056
103.0,leo1,0.999,-0.067
104.0,leo1,0.996,-0.077
105.0,leo1,0.999,-0.031
106.0,leo1,0.914,0.262
107.0,leo1,0.908,0.512
108.0,leo1,0.865,0.772
109.0,leo1,0.815,1.025
110.0,leo1,0.750,1.229
111.0,leo1,0.745,1.243
112.0,leo1,0.746,1.229
113.0,leo1,0.746,1.226
114.0,leo1,0.748,1.242
115.0,leo1,0.751,1.257
116.0,leo1,0.754,1.267
117.0,leo1,0.759,1.279
118.0,leo1,0.921,1.402
119.0,leo1,1.065,1.625
120.0,leo1,1.214,1.819
121.0,leo1,1.251,1.862
122.0,leo1,1.251,1.862
123.0,leo1,1.251,1.862
124.0,leo1,1.249,1.860
125.0,leo1,1.252,1.862
126.0,leo1,1.395,1.964
127.0,leo1,1.568,2.149
128.0,leo1,1.744,2.349
129.0,leo1,1.931,2.483
130.0,leo1,2.162,2.555
131.0,leo1,2.271,2.579
132.0,leo1,2.282,2.572
133.0,leo1,2.297,2.564
134.0,leo1,2.309,2.561
135.0,leo1,2.320,2.557
136.0,leo1,2.276,2.524
137.0,leo1,2.280,2.522
138.0,leo1,2.283,2.521
139.0,leo1,2.285,2.519
140.0,leo1,2.286,2.518
141.0,leo1,2.286,2.518
142.0,leo1,2.286,2.518
143.0,leo1,2.286,2.518
144.0,leo1,2.287,2.518
145.0,leo1,2.286,2.518
146.0,leo1,2.285,2.520
147.0,leo1,2.283,2.523
148.0,leo1,2.282,2.526
149.0,leo1,2.279,2.532
150.0,leo1,2.276,2.538
151.0,leo1,2.274,2.546
152.0,leo1,2.272,2.557
153.0,leo1,2.270,2.570
154.0,leo1,2.225,2.534
155.0,leo1,2.224,2.520
156.0,leo1,2.222,2.510
157.0,leo1,2.219,2.499
158.0,leo1,2.216,2.490
159.0,leo1,2.213,2.484
160.0,leo1,2.211,2.479
161.0,leo1,2.148,2.516
162.0,leo1,2.146,2.514
163.0,leo1,2.145,2.512
164.0,leo1,2.145,2.512
165.0,leo1,2.144,2.512
166.0,leo1,2.144,2.511
167.0,leo1,2.144,2.511
168.0,leo1,2.144,2.511
169.0,leo1,2.146,2.512
170.0,leo1,2.148,2.514
171.0,leo1,2.151,2.515
172.0,leo1,2.151,2.515
173.0,leo1,2.151,2.515
174.0,leo1,2.155,2.517
175.0,leo1,2.160,2.520
176.0,leo1,1.976,2.545
177.0,leo1,1.848,2.561
178.0,leo1,1.843,2.559
179.0,leo1,1.830,2.557
180.0,leo1,1.821,2.554
181.0,leo1,1.852,2.512
182.0,leo1,1.726,2.454
183.0,leo1,1.505,2.329
184.0,leo1,1.311,2.162
185.0,leo1,1.117,1.983
186.0,leo1,0.926,1.800
187.0,leo1,0.723,1.634
188.0,leo1,0.537,1.458
189.0,leo1,0.343,1.284
190.0,leo1,0.144,1.102
191.0,leo1,-0.059,0.928
192.0,leo1,-0.241,0.769
193.0,leo1,-0.455,0.601
194.0,leo1,-0.660,0.435
195.0,leo1,-0.846,0.262
196.0,leo1,-0.901,0.203
197.0,leo1,-0.900,0.203
198.0,leo1,-0.899,0.205
199.0,leo1,-0.897,0.209
200.0,leo1,-0.894,0.215
201.0,leo1,-0.890,0.222
202.0,leo1,-0.886,0.234
