t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
53.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0335,0.0000,0.0000,0.0335
54.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0342,0.0000,0.0000,0.0342
54.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0348,0.0000,0.0000,0.0348
55.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0351,0.0000,0.0000,0.0351
55.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0353,0.0000,0.0000,0.0353
56.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0358,0.0000,0.0000,0.0358
56.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0364,0.0000,0.0000,0.0364
57.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0370,0.0000,0.0000,0.0370
57.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0380,0.0000,0.0000,0.0380
58.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0384,0.0000,0.0000,0.0384
58.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0386,0.0000,0.0000,0.0386
59.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0392,0.0000,0.0000,0.0392
59.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0401,0.0000,0.0000,0.0401
60.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0405,0.0000,0.0000,0.0405
60.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0413,0.0000,0.0000,0.0413
61.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0423,0.0000,0.0000,0.0423
61.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0431,0.0000,0.0000,0.0431
62.00,0.0534,-0.0000,-0.0000,0.0490,0.0021,0.0437,0.0490,0.0021,0.0437
62.50,0.1134,-0.0000,-0.0000,0.1066,0.0047,0.0439,0.0565,-0.0002,0.0090
63.00,0.1734,-0.0000,-0.0000,0.1659,0.0073,0.0449,0.1158,0.0004,0.0100
63.50,0.2334,-0.0000,-0.0000,0.2245,0.0099,0.0458,0.0945,0.0010,0.0109
64.00,0.2934,-0.0000,-0.0000,0.2848,0.0127,0.0466,0.0849,0.0016,0.0117
64.50,0.3534,-0.0000,-0.0000,0.3502,0.0158,0.0470,0.1503,0.0024,0.0121
65.00,0.4134,-0.0000,-0.0000,0.4046,0.0184,0.0480,0.1147,0.0031,0.0131
65.50,0.4734,-0.0000,-0.0000,0.4663,0.0213,0.0479,0.1766,0.0039,0.0130
66.00,0.5334,-0.0000,-0.0000,0.5282,0.0243,0.0482,0.1175,0.0047,0.0133
66.50,0.5934,-0.0000,-0.0000,0.5835,0.0270,0.0491,0.1538,0.0055,0.0142
67.00,0.6534,-0.0000,-0.0000,0.6479,0.0302,0.0495,0.1483,0.0069,0.0111
67.50,0.7134,-0.0000,-0.0000,0.7121,0.0334,0.0499,0.1726,0.0076,0.0115
68.00,0.7734,-0.0000,-0.0000,0.7683,0.0362,0.0508,0.1889,-0.0017,0.0124
68.50,0.8334,-0.0000,-0.0000,0.8307,0.0394,0.0517,0.2314,0.0097,0.0098
69.00,0.8934,-0.0000,-0.0000,0.8892,0.0424,0.0520,0.2899,0.0102,0.0101
69.50,0.9534,-0.0000,-0.0000,0.9505,0.0456,0.0523,0.3213,0.0009,0.0104
70.00,1.0134,-0.0000,-0.0000,1.0161,0.0491,0.0530,0.3807,0.0081,0.0089
70.50,1.0734,-0.0000,-0.0000,1.0760,0.0523,0.0534,0.4069,0.0126,0.0081
71.00,1.1334,-0.0000,-0.0000,1.1353,0.0555,0.0537,0.4663,0.0131,0.0083
71.50,1.1934,-0.0000,-0.0000,1.2002,0.0590,0.0542,0.5213,0.0141,0.0054
72.00,1.2274,-0.0000,-0.0000,1.2413,0.0612,0.0549,0.5500,0.0081,0.0061
72.50,1.2274,-0.0000,-0.0000,1.2413,0.0612,0.0552,0.5424,0.0043,0.0064
73.00,1.2274,-0.0000,-0.0000,1.2413,0.0612,0.0557,0.5424,0.0043,0.0068
73.50,1.2274,-0.0000,-0.0000,1.2413,0.0612,0.0557,0.5424,0.0043,0.0069
74.00,1.2274,-0.0000,-0.0000,1.2413,0.0612,0.0564,0.5424,0.0043,0.0075
74.50,1.2274,-0.0000,-0.0000,1.2413,0.0612,0.0568,0.5424,0.0043,0.0079
75.00,1.2274,-0.0000,-0.0000,1.2413,0.0612,0.0566,0.5424,0.0043,0.0077
75.50,1.2274,-0.0000,-0.0000,1.2413,0.0612,0.0569,0.5424,0.0043,0.0081
76.00,1.2274,-0.0000,-0.0000,1.2413,0.0612,0.0571,0.5424,0.0043,0.0082
76.50,1.2274,-0.0000,-0.0000,1.2413,0.0612,0.0575,0.5424,0.0043,0.0087
77.00,1.2274,-0.0000,-0.0000,1.2413,0.0612,0.0583,0.5424,0.0043,0.0095
77.50,1.2274,-0.0000,-0.0000,1.2413,0.0612,0.0593,0.5424,0.0043,0.0104
78.00,1.2274,-0.0000,-0.0000,1.2413,0.0612,0.0601,0.5424,0.0043,0.0112
78.50,1.2274,-0.0000,-0.0000,1.2413,0.0612,0.0605,0.5424,0.0043,0.0117
79.00,1.2274,-0.0000,-0.0000,1.2413,0.0612,0.0605,0.5424,0.0043,0.0117
79.50,1.2274,-0.0000,-0.0000,1.2413,0.0612,0.0608,0.5424,0.0043,0.0120
80.00,1.2274,-0.0000,-0.0000,1.2413,0.0612,0.0620,0.5424,0.0043,0.0131
80.50,1.2274,0.0044,0.0490,1.2444,0.0615,0.1082,0.5456,0.0045,0.0594
81.00,1.2274,0.0119,0.1000,1.2517,0.0625,0.1603,0.5529,0.0051,0.1114
81.50,1.2274,0.0188,0.1493,1.2591,0.0639,0.2099,0.5604,0.0061,0.1611
82.00,1.2274,0.0253,0.1969,1.2663,0.0656,0.2576,0.5677,0.0075,0.2088
82.50,1.2274,0.0313,0.2430,1.2731,0.0675,0.3040,0.5745,0.0091,0.2552
83.00,1.2275,0.0368,0.2876,1.2782,0.0692,0.3487,0.5994,0.0419,0.2929
83.50,1.2275,0.0418,0.3310,1.2838,0.0714,0.3929,0.6051,0.0438,0.3370
84.00,1.2275,0.0464,0.3731,1.2876,0.0731,0.4364,0.6090,0.0452,0.3806
84.50,1.2276,0.0504,0.4140,1.2901,0.0743,0.4784,0.6116,0.0463,0.4226
85.00,1.2276,0.0540,0.4539,1.2942,0.0765,0.5190,0.6157,0.0483,0.4631
85.50,1.2277,0.0570,0.4926,1.2960,0.0776,0.5580,0.6176,0.0492,0.5022
86.00,1.2277,0.0597,0.5304,1.2974,0.0785,0.5962,0.6191,0.0501,0.5404
86.50,1.2278,0.0618,0.5671,1.2995,0.0800,0.6340,0.6213,0.0514,0.5782
87.00,1.2278,0.0635,0.6029,1.3016,0.0816,0.6701,0.6234,0.0529,0.6142
87.50,1.2279,0.0647,0.6378,1.3026,0.0824,0.7056,0.6245,0.0537,0.6498
88.00,1.2279,0.0655,0.6718,1.3033,0.0830,0.7401,0.6252,0.0542,0.6843
88.50,1.2280,0.0659,0.7049,1.3036,0.0833,0.7735,0.6256,0.0545,0.7176
89.00,1.2280,0.0658,0.7374,1.3036,0.0833,0.8063,0.6255,0.0545,0.7505
89.50,1.2277,0.0658,0.7708,1.3035,0.0832,0.8398,0.6254,0.0544,0.7840
90.00,1.2277,0.0656,0.8050,1.3034,0.0831,0.8745,0.6253,0.0543,0.8186
90.50,1.2278,0.0652,0.8382,1.3032,0.0828,0.9082,0.6251,0.0541,0.8524
91.00,1.2277,0.0651,0.8707,1.3031,0.0826,0.9411,0.6249,0.0539,0.8853
91.50,1.2273,0.0651,0.9040,1.3029,0.0823,0.9744,0.6247,0.0536,0.9186
92.00,1.2265,0.0650,0.9381,1.3025,0.0818,1.0090,0.6243,0.0531,0.9532
92.50,1.2252,0.0650,0.9731,1.3018,0.0806,1.0449,0.6236,0.0519,0.9891
93.00,1.2234,0.0649,1.0090,1.3008,0.0788,1.0812,0.6224,0.0501,1.0253
93.50,1.2212,0.0649,1.0459,1.2997,0.0768,1.1181,0.6213,0.0482,1.0623
94.00,1.2185,0.0648,1.0838,1.2988,0.0748,1.1566,0.6203,0.0463,1.1008
