t,robot,x,y
55.0,leo1,0.000,0.000
56.0,leo1,0.000,0.000
57.0,leo1,0.000,0.000
58.0,leo1,0.000,0.000
59.0,leo1,0.000,0.000
60.0,leo1,0.000,0.000
61.0,leo1,0.000,0.000
62.0,leo1,0.049,0.002
63.0,leo1,0.116,0.000
64.0,leo1,0.085,0.002
65.0,leo1,0.115,0.003
66.0,leo1,0.117,0.005
67.0,leo1,0.148,0.007
68.0,leo1,0.189,-0.002
69.0,leo1,0.290,0.010
70.0,leo1,0.381,0.008
71.0,leo1,0.466,0.013
72.0,leo1,0.550,0.008
73.0,leo1,0.542,0.004
74.0,leo1,0.542,0.004
75.0,leo1,0.542,0.004
76.0,leo1,0.542,0.004
77.0,leo1,0.542,0.004
78.0,leo1,0.542,0.004
79.0,leo1,0.542,0.004
80.0,leo1,0.542,0.004
81.0,leo1,0.553,0.005
82.0,leo1,0.568,0.007
83.0,leo1,0.599,0.042
84.0,leo1,0.609,0.045
85.0,leo1,0.616,0.048
86.0,leo1,0.619,0.050
87.0,leo1,0.623,0.053
88.0,leo1,0.625,0.054
89.0,leo1,0.626,0.055
90.0,leo1,0.625,0.054
91.0,leo1,0.625,0.054
92.0,leo1,0.624,0.053
93.0,leo1,0.622,0.050
94.0,leo1,0.620,0.046
95.0,leo1,0.617,0.040
96.0,leo1,0.614,0.031
97.0,leo1,0.612,0.022
98.0,leo1,0.610,0.009
99.0,leo1,0.609,-0.003
100.0,leo1,0.586,0.069
101.0,leo1,0.584,0.082
102.0,leo1,0.581,0.094
103.0,leo1,0.578,0.105
104.0,leo1,0.574,0.113
105.0,leo1,0.478,0.130
106.0,leo1,0.266,0.317
107.0,leo1,0.127,0.514
108.0,leo1,-0.032,0.639
109.0,leo1,-0.207,0.718
110.0,leo1,-0.226,0.727
111.0,leo1,-0.230,0.729
112.0,leo1,-0.233,0.731
113.0,leo1,-0.234,0.732
114.0,leo1,-0.234,0.732
115.0,leo1,-0.235,0.732
116.0,leo1,-0.267,0.776
117.0,leo1,-0.335,0.994
118.0,leo1,-0.387,1.199
119.0,leo1,-0.403,1.418
120.0,leo1,-0.300,1.667
121.0,leo1,-0.255,1.840
122.0,leo1,-0.244,1.834
123.0,leo1,-0.245,1.821
124.0,leo1,-0.246,1.837
125.0,leo1,-0.248,1.850
126.0,leo1,-0.251,1.860
127.0,leo1,-0.254,1.869
128.0,leo1,-0.257,1.876
129.0,leo1,-0.260,1.881
130.0,leo1,-0.323,1.844
131.0,leo1,-0.324,1.845
132.0,leo1,-0.324,1.845
133.0,leo1,-0.324,1.845
134.0,leo1,-0.324,1.845
135.0,leo1,-0.323,1.844
136.0,leo1,-0.320,1.842
137.0,leo1,-0.315,1.840
138.0,leo1,-0.308,1.837
139.0,leo1,-0.300,1.834
140.0,leo1,-0.290,1.832
141.0,leo1,-0.278,1.830
142.0,leo1,-0.302,1.787
143.0,leo1,-0.310,1.786
144.0,leo1,-0.323,1.784
145.0,leo1,-0.335,1.781
146.0,leo1,-0.342,1.779
147.0,leo1,-0.350,1.775
148.0,leo1,-0.352,1.774
149.0,leo1,-0.356,1.772
150.0,leo1,-0.358,1.771
151.0,leo1,-0.329,1.709
152.0,leo1,-0.329,1.709
153.0,leo1,-0.360,1.673
154.0,leo1,-0.466,1.453
155.0,leo1,-0.582,1.241
156.0,leo1,-0.684,1.105
157.0,leo1,-0.664,1.121
158.0,leo1,-0.642,1.155
159.0,leo1,-0.620,1.190
160.0,leo1,-0.607,1.224
161.0,leo1,-0.584,1.260
162.0,leo1,-0.551,1.296
163.0,leo1,-0.534,1.322
164.0,leo1,-0.534,1.322
165.0,leo1,-0.534,1.322
166.0,leo1,-0.532,1.326
167.0,leo1,-0.527,1.356
168.0,leo1,-0.474,1.306
169.0,leo1,-0.478,1.332
170.0,leo1,-0.489,1.381
171.0,leo1,-0.499,1.426
172.0,leo1,-0.505,1.468
173.0,leo1,-0.510,1.498
174.0,leo1,-0.515,1.536
175.0,leo1,-0.519,1.560
176.0,leo1,-0.520,1.570
177.0,leo1,-0.520,1.566
178.0,leo1,-0.521,1.552
179.0,leo1,-0.524,1.541
180.0,leo1,-0.586,1.463
181.0,leo1,-0.679,1.234
182.0,leo1,-0.794,0.990
183.0,leo1,-0.955,0.801
184.0,leo1,-1.173,0.666
185.0,leo1,-1.423,0.575
186.0,leo1,-1.665,0.562
187.0,leo1,-1.920,0.508
188.0,leo1,-2.178,0.447
189.0,leo1,-2.414,0.394
190.0,leo1,-2.678,0.326
191.0,leo1,-2.916,0.259
192.0,leo1,-3.033,0.225
193.0,leo1,-3.034,0.224
194.0,leo1,-3.170,0.207
195.0,leo1,-3.419,0.158
196.0,leo1,-3.650,0.062
197.0,leo1,-3.908,-0.013
198.0,leo1,-4.095,-0.064
199.0,leo1,-4.120,-0.098
200.0,leo1,-4.121,-0.098
201.0,leo1,-4.121,-0.098
202.0,leo1,-4.121,-0.098
203.0,leo1,-4.119,-0.097
