t,id,range_m,side_px,reproj_px,cam_x,cam_y,cam_z,map_x,map_y,map_z
28.428,2,5.8081,19.15,0.014,5.7965,0.3609,-0.0631,9.4917,0.3609,0.1369
28.628,2,5.8220,19.11,0.135,5.8104,0.3620,-0.0629,9.5655,0.3620,0.1371
28.829,2,5.6775,19.82,0.145,5.6660,0.3567,-0.0613,9.4811,0.3567,0.1387
29.029,2,5.7176,19.74,0.226,5.7059,0.3601,-0.0617,9.5811,0.3601,0.1383
29.227,2,5.7183,19.74,0.229,5.7066,0.3603,-0.0618,9.6384,0.3603,0.1382
29.428,2,5.7263,19.69,0.186,5.7140,0.3707,-0.0619,9.6941,0.3707,0.1381
29.629,2,5.7228,19.70,0.182,5.7104,0.3705,-0.0620,9.7315,0.3705,0.1380
29.832,2,5.5334,20.10,0.016,5.5214,0.3588,-0.0648,9.5771,0.3588,0.1353
30.028,2,5.5337,20.10,0.016,5.5217,0.3588,-0.0648,9.5790,0.3588,0.1352
30.227,2,5.5337,20.10,0.016,5.5217,0.3588,-0.0648,9.5790,0.3588,0.1352
30.628,2,5.3572,20.76,0.013,5.3452,0.3518,-0.0627,9.5027,0.3518,0.1373
30.828,2,5.3543,20.78,0.011,5.3424,0.3517,-0.0627,9.5599,0.3517,0.1373
31.028,2,5.3742,20.73,0.176,5.3622,0.3529,-0.0627,9.6398,0.3529,0.1373
31.828,2,5.1206,21.70,0.007,5.1082,0.3502,-0.0644,9.6257,0.3501,0.1356
32.028,2,5.2759,21.09,0.018,5.2627,0.3657,-0.0665,9.8403,0.3657,0.1335
32.427,2,5.1178,21.74,0.009,5.1048,0.3590,-0.0645,9.8023,0.3590,0.1355
33.228,2,4.8981,22.71,0.007,4.8846,0.3568,-0.0661,9.8221,0.3568,0.1339
33.827,2,4.8981,22.72,0.007,4.8840,0.3656,-0.0661,10.0015,0.3656,0.1339
34.030,2,4.7065,23.70,0.074,4.6927,0.3553,-0.0629,9.8702,0.3553,0.1371
34.234,2,4.6980,23.68,0.012,4.6841,0.3549,-0.0675,9.9216,0.3549,0.1325
34.432,2,4.4997,24.80,0.235,4.4861,0.3432,-0.0652,9.7836,0.3432,0.1348
34.632,2,4.6950,23.70,0.005,4.6805,0.3630,-0.0675,10.0380,0.3630,0.1325
34.833,2,4.5201,24.69,0.077,4.5058,0.3534,-0.0656,9.9233,0.3534,0.1344
35.029,2,4.3025,24.81,1.505,4.2881,0.3454,-0.0672,9.7656,0.3454,0.1328
35.229,2,5.1655,25.91,2.470,5.1503,0.3894,-0.0743,10.6878,0.3894,0.1257
35.429,2,4.2973,25.90,0.029,4.2831,0.3441,-0.0618,9.8806,0.3441,0.1382
35.636,2,4.1518,25.77,1.474,4.1370,0.3443,-0.0684,9.7945,0.3443,0.1316
35.829,2,4.1508,25.79,1.483,4.1359,0.3443,-0.0685,9.8534,0.3443,0.1315
36.029,2,4.1389,26.90,0.030,4.1242,0.3425,-0.0632,9.9017,0.3425,0.1368
36.429,2,4.9025,26.88,2.479,4.8828,0.4325,-0.0746,10.7803,0.4325,0.1254
36.630,2,4.0100,26.77,1.485,3.9955,0.3338,-0.0695,9.9530,0.3338,0.1305
36.830,2,4.0099,26.77,1.455,3.9940,0.3504,-0.0696,10.0115,0.3504,0.1304
37.630,2,4.5738,28.90,2.437,4.5547,0.4065,-0.0950,10.8123,0.4065,0.1050
37.833,2,5.8606,19.00,0.030,5.8356,0.5313,-0.0999,12.1531,0.5313,0.1001
38.027,2,4.5217,28.88,2.469,4.5004,0.4310,-0.0769,10.8779,0.4310,0.1231
38.231,2,5.8616,19.00,0.030,5.8356,0.5418,-0.0999,12.2731,0.5418,0.1001
38.429,2,4.6152,27.85,1.802,4.5944,0.4307,-0.0744,11.0919,0.4307,0.1256
38.830,2,5.5700,20.00,0.035,5.5438,0.5297,-0.0999,12.1613,0.5297,0.1001
39.029,2,4.6856,23.66,1.523,4.6615,0.4651,-0.0954,11.3390,0.4651,0.1046
39.229,2,3.8816,28.85,0.287,3.8624,0.3794,-0.0710,10.5999,0.3794,0.1290
39.429,2,4.5142,24.68,1.531,4.4896,0.4602,-0.0958,11.2871,0.4602,0.1042
39.629,2,4.4961,24.94,1.589,4.4738,0.4374,-0.0949,11.3313,0.4374,0.1051
39.829,2,5.3453,20.95,0.027,5.3168,0.5420,-0.1005,12.2343,0.5420,0.0995
40.029,2,4.3402,25.89,0.420,4.3182,0.4283,-0.0828,11.2957,0.4283,0.1172
40.229,2,4.3333,25.93,1.626,4.3076,0.4608,-0.0956,11.3451,0.4608,0.1044
40.429,2,4.1782,26.96,0.555,4.1528,0.4531,-0.0808,11.2503,0.4531,0.1192
40.629,2,4.1720,26.93,0.526,4.1458,0.4596,-0.0808,11.3033,0.4596,0.1192
40.828,2,4.1390,26.98,0.520,4.1136,0.4463,-0.1001,11.3311,0.4463,0.0999
41.028,2,4.8473,23.17,0.115,4.8177,0.5262,-0.0994,12.0952,0.5262,0.1006
41.229,2,4.8474,23.05,0.021,4.8168,0.5345,-0.0999,12.1543,0.5344,0.1001
41.429,2,4.8152,23.38,0.072,4.7841,0.5375,-0.0993,12.1816,0.5375,0.1007
41.629,2,4.2042,28.66,1.179,4.1752,0.4830,-0.0962,11.6327,0.4830,0.1038
41.829,2,4.5680,24.45,0.117,4.5367,0.5248,-0.0975,12.0542,0.5248,0.1025
42.028,2,4.4086,25.50,0.038,4.3775,0.5132,-0.0979,11.9551,0.5132,0.1021
42.228,2,4.3975,25.54,0.100,4.3659,0.5168,-0.0973,12.0034,0.5168,0.1027
42.429,2,3.9256,30.74,1.139,3.8952,0.4785,-0.0939,11.5927,0.4785,0.1061
42.629,2,3.9131,30.70,1.189,3.8819,0.4835,-0.0970,11.6394,0.4835,0.1030
42.829,2,4.2162,26.62,0.092,4.1828,0.5208,-0.0974,12.0003,0.5208,0.1026
43.031,2,4.0986,27.65,0.061,4.0656,0.5098,-0.0951,11.9431,0.5098,0.1049
43.229,2,4.0333,27.63,0.013,3.9999,0.5090,-0.0972,11.9338,0.5090,0.1028
43.430,2,4.0503,27.62,0.062,4.0158,0.5184,-0.0974,11.9976,0.5184,0.1026
43.629,2,4.0268,28.03,0.055,3.9918,0.5209,-0.0969,12.0143,0.5209,0.1031
43.829,2,3.8915,28.73,0.044,3.8569,0.5083,-0.0974,11.9139,0.5083,0.1027
44.028,2,3.8609,28.81,0.014,3.8524,0.2363,-0.0970,11.8859,0.5054,0.1030
44.228,2,3.8632,28.66,0.165,3.8525,-0.2705,-0.0958,11.8884,0.5052,0.1042
44.428,2,3.8774,29.70,0.109,3.8055,-0.7370,-0.0963,11.8992,0.5064,0.1037
44.630,2,3.8920,31.27,0.108,3.7120,-1.1657,-0.0971,11.9079,0.5063,0.1029
44.828,2,3.9141,33.36,0.096,3.5882,-1.5607,-0.0971,11.9223,0.5053,0.1029
87.628,5,5.2316,23.91,0.366,4.6485,-2.3982,-0.1004,11.2546,5.2081,0.0996
87.830,5,4.3967,27.86,0.166,3.9839,-1.8586,-0.0717,10.4652,5.4602,0.1283
88.029,5,5.6670,24.93,0.904,5.1952,-2.2623,-0.0864,11.6753,5.0620,0.1136
88.229,5,5.1919,26.77,1.889,4.7719,-2.0442,-0.0816,11.2244,5.2092,0.1184
88.430,5,5.1919,26.77,1.889,4.7719,-2.0442,-0.0816,11.2244,5.2092,0.1184
88.628,5,5.1888,26.80,1.895,4.7691,-2.0428,-0.0816,11.2299,5.2062,0.1184
88.830,5,5.3651,23.58,1.569,4.9479,-2.0731,-0.0731,11.4504,5.1308,0.1269
89.029,5,4.3116,27.83,0.163,3.9891,-1.6344,-0.0720,10.5071,5.4538,0.1280
89.227,5,4.9334,27.85,1.886,4.5693,-1.8585,-0.0824,11.1513,5.2414,0.1176
89.432,5,5.0818,24.90,1.674,4.7059,-1.9157,-0.0958,11.3433,5.1713,0.1042
89.628,5,5.1863,24.94,0.489,4.8008,-1.9603,-0.0874,11.4947,5.1170,0.1126
89.832,5,4.2875,30.11,0.736,3.9729,-1.6104,-0.0717,10.7048,5.4115,0.1283
90.029,5,4.8295,24.89,0.398,4.4697,-1.8264,-0.1005,11.2694,5.2164,0.0995
90.228,5,4.4035,29.34,0.999,4.0688,-1.6820,-0.0833,10.9195,5.3367,0.1167
90.429,5,5.1306,25.56,1.313,4.7352,-1.9734,-0.0800,11.6580,5.0773,0.1200
90.633,5,5.1214,25.72,1.698,4.7128,-2.0028,-0.0787,11.6958,5.0460,0.1213
90.828,5,4.7526,26.98,1.737,4.3699,-1.8661,-0.0971,11.4057,5.1663,0.1029
91.029,5,4.9237,26.67,1.318,4.5222,-1.9460,-0.0807,11.6210,5.0950,0.1193
91.230,5,5.4866,22.96,0.094,5.0325,-2.1831,-0.1002,12.2016,4.8840,0.0998
91.429,5,4.6886,27.99,1.543,4.2843,-1.9022,-0.0974,11.5004,5.1308,0.1026
91.631,5,4.7260,27.72,1.255,4.3143,-1.9275,-0.0804,11.5913,5.1092,0.1196
91.829,5,4.7396,27.80,1.273,4.3178,-1.9527,-0.0808,11.6558,5.0865,0.1192
92.031,5,4.6735,27.44,0.915,4.2473,-1.9482,-0.0803,11.6449,5.0902,0.1197
92.228,5,5.0203,24.97,0.184,4.5549,-2.1087,-0.0979,12.0195,4.9470,0.1021
