t,robot,x,y
18.0,leo1,0.321,-0.000
19.0,leo1,0.621,-0.000
20.0,leo1,0.921,-0.000
21.0,leo1,1.221,-0.000
22.0,leo1,1.521,-0.000
23.0,leo1,1.821,-0.000
24.0,leo1,2.121,-0.000
25.0,leo1,2.421,-0.000
26.0,leo1,2.721,-0.000
27.0,leo1,3.021,-0.000
28.0,leo1,3.321,-0.000
29.0,leo1,3.621,-0.000
30.0,leo1,3.807,-0.000
31.0,leo1,4.024,-0.000
32.0,leo1,4.324,-0.000
33.0,leo1,4.624,-0.000
34.0,leo1,4.924,-0.000
35.0,leo1,5.224,-0.000
36.0,leo1,5.524,-0.000
37.0,leo1,5.824,-0.000
38.0,leo1,6.124,-0.000
39.0,leo1,6.424,-0.000
40.0,leo1,6.724,-0.000
41.0,leo1,7.024,-0.000
42.0,leo1,7.324,-0.000
43.0,leo1,7.624,-0.000
44.0,leo1,7.808,0.000
45.0,leo1,7.808,0.019
46.0,leo1,7.806,0.021
47.0,leo1,7.780,0.021
48.0,leo1,7.781,0.071
49.0,leo1,7.810,0.370
50.0,leo1,7.837,0.668
51.0,leo1,7.864,0.967
52.0,leo1,7.890,1.266
53.0,leo1,7.917,1.565
54.0,leo1,7.943,1.864
55.0,leo1,7.970,2.161
56.0,leo1,7.982,2.305
57.0,leo1,7.959,2.305
58.0,leo1,7.958,2.303
59.0,leo1,7.958,2.277
60.0,leo1,7.893,2.283
61.0,leo1,7.595,2.319
62.0,leo1,7.297,2.353
63.0,leo1,6.999,2.387
64.0,leo1,6.701,2.421
65.0,leo1,6.403,2.454
66.0,leo1,6.190,2.478
67.0,leo1,6.189,2.493
68.0,leo1,6.191,2.494
69.0,leo1,6.219,2.494
70.0,leo1,6.220,2.545
71.0,leo1,6.204,2.844
72.0,leo1,6.189,3.144
73.0,leo1,6.174,3.443
74.0,leo1,6.160,3.743
75.0,leo1,6.145,4.043
76.0,leo1,6.130,4.342
77.0,leo1,6.116,4.642
78.0,leo1,6.101,4.942
79.0,leo1,6.086,5.241
80.0,leo1,6.072,5.541
81.0,leo1,6.057,5.841
82.0,leo1,6.042,6.140
83.0,leo1,6.027,6.440
84.0,leo1,6.013,6.726
85.0,leo1,6.013,6.807
86.0,leo1,6.033,6.808
87.0,leo1,6.033,6.801
88.0,leo1,6.032,6.772
89.0,leo1,6.158,6.781
90.0,leo1,6.458,6.796
91.0,leo1,6.757,6.810
92.0,leo1,7.057,6.824
93.0,leo1,7.357,6.838
94.0,leo1,7.656,6.852
95.0,leo1,7.956,6.866
96.0,leo1,8.256,6.880
97.0,leo1,8.555,6.894
98.0,leo1,8.855,6.909
99.0,leo1,9.155,6.923
100.0,leo1,9.454,6.937
101.0,leo1,9.754,6.951
102.0,leo1,10.054,6.965
103.0,leo1,10.353,6.979
104.0,leo1,10.599,6.991
105.0,leo1,10.612,6.980
106.0,leo1,10.613,6.968
107.0,leo1,10.595,6.968
108.0,leo1,10.576,6.968
109.0,leo1,10.592,6.723
110.0,leo1,10.607,6.423
111.0,leo1,10.622,6.124
112.0,leo1,10.637,5.824
113.0,leo1,10.651,5.524
114.0,leo1,10.666,5.225
115.0,leo1,10.681,4.925
116.0,leo1,10.695,4.626
117.0,leo1,10.710,4.326
118.0,leo1,10.725,4.026
119.0,leo1,10.740,3.727
120.0,leo1,10.754,3.427
121.0,leo1,10.769,3.127
122.0,leo1,10.784,2.830
123.0,leo1,10.790,2.689
124.0,leo1,10.769,2.688
125.0,leo1,10.767,2.691
126.0,leo1,10.768,2.717
127.0,leo1,10.702,2.714
128.0,leo1,10.404,2.689
129.0,leo1,10.105,2.665
130.0,leo1,9.805,2.642
131.0,leo1,9.506,2.618
132.0,leo1,9.207,2.595
133.0,leo1,8.908,2.571
134.0,leo1,8.609,2.548
135.0,leo1,8.314,2.525
136.0,leo1,8.196,2.513
137.0,leo1,8.196,2.497
138.0,leo1,8.205,2.498
139.0,leo1,8.230,2.498
140.0,leo1,8.211,2.329
141.0,leo1,8.183,2.030
142.0,leo1,8.156,1.731
143.0,leo1,8.129,1.433
144.0,leo1,8.102,1.134
145.0,leo1,8.075,0.835
146.0,leo1,8.048,0.536
147.0,leo1,8.023,0.257
148.0,leo1,8.022,0.190
149.0,leo1,8.043,0.189
150.0,leo1,8.042,0.197
151.0,leo1,8.042,0.224
152.0,leo1,8.197,0.208
153.0,leo1,8.496,0.183
154.0,leo1,8.795,0.159
155.0,leo1,9.094,0.136
156.0,leo1,9.393,0.112
157.0,leo1,9.692,0.088
158.0,leo1,9.991,0.064
159.0,leo1,10.290,0.041
160.0,leo1,10.561,0.019
161.0,leo1,10.610,0.009
162.0,leo1,10.611,-0.002
163.0,leo1,10.593,-0.002
164.0,leo1,10.545,-0.002
165.0,leo1,10.527,-0.003
166.0,leo1,10.527,0.012
167.0,leo1,10.527,0.037
168.0,leo1,10.341,0.032
169.0,leo1,10.041,0.030
170.0,leo1,9.741,0.027
171.0,leo1,9.442,0.025
172.0,leo1,9.142,0.023
173.0,leo1,8.842,0.021
174.0,leo1,8.542,0.019
175.0,leo1,8.242,0.016
176.0,leo1,7.942,0.014
177.0,leo1,7.642,0.012
178.0,leo1,7.342,0.010
179.0,leo1,7.042,0.008
180.0,leo1,6.742,0.005
181.0,leo1,6.442,0.003
182.0,leo1,6.198,0.001
183.0,leo1,6.195,-0.012
184.0,leo1,6.195,-0.019
185.0,leo1,6.218,-0.019
186.0,leo1,6.230,-0.019
187.0,leo1,6.204,-0.309
188.0,leo1,6.181,-0.608
189.0,leo1,6.159,-0.907
190.0,leo1,6.136,-1.206
191.0,leo1,6.113,-1.505
192.0,leo1,6.091,-1.804
193.0,leo1,6.068,-2.103
194.0,leo1,6.045,-2.402
195.0,leo1,6.023,-2.696
196.0,leo1,6.016,-2.810
197.0,leo1,6.012,-2.996
198.0,leo1,6.011,-3.296
199.0,leo1,6.010,-3.596
200.0,leo1,6.009,-3.896
201.0,leo1,6.008,-4.196
202.0,leo1,6.007,-4.496
203.0,leo1,6.006,-4.796
204.0,leo1,6.005,-5.096
205.0,leo1,6.005,-5.396
206.0,leo1,6.004,-5.696
207.0,leo1,6.003,-5.996
208.0,leo1,6.002,-6.296
209.0,leo1,6.001,-6.596
210.0,leo1,6.001,-6.810
211.0,leo1,5.985,-6.811
212.0,leo1,5.979,-6.811
213.0,leo1,5.980,-6.786
214.0,leo1,5.959,-6.778
215.0,leo1,5.660,-6.798
216.0,leo1,5.360,-6.815
217.0,leo1,5.061,-6.831
218.0,leo1,4.761,-6.848
219.0,leo1,4.462,-6.864
220.0,leo1,4.162,-6.881
221.0,leo1,3.862,-6.897
222.0,leo1,3.563,-6.914
223.0,leo1,3.263,-6.930
224.0,leo1,2.964,-6.947
225.0,leo1,2.664,-6.963
226.0,leo1,2.365,-6.980
227.0,leo1,2.194,-6.990
228.0,leo1,2.193,-7.008
229.0,leo1,2.198,-7.008
230.0,leo1,2.231,-7.007
231.0,leo1,2.277,-7.008
232.0,leo1,2.278,-7.005
233.0,leo1,2.278,-6.976
234.0,leo1,2.314,-6.968
235.0,leo1,2.614,-6.971
236.0,leo1,2.914,-6.973
237.0,leo1,3.214,-6.974
238.0,leo1,3.514,-6.975
239.0,leo1,3.814,-6.976
240.0,leo1,4.114,-6.977
241.0,leo1,4.414,-6.978
242.0,leo1,4.714,-6.979
243.0,leo1,5.014,-6.980
244.0,leo1,5.314,-6.981
245.0,leo1,5.614,-6.982
246.0,leo1,5.914,-6.983
247.0,leo1,6.214,-6.984
248.0,leo1,6.514,-6.985
249.0,leo1,6.814,-6.986
250.0,leo1,7.114,-6.987
251.0,leo1,7.414,-6.988
252.0,leo1,7.714,-6.989
253.0,leo1,8.014,-6.990
254.0,leo1,8.314,-6.991
255.0,leo1,8.614,-6.992
256.0,leo1,8.914,-6.993
257.0,leo1,9.214,-6.994
258.0,leo1,9.514,-6.996
259.0,leo1,9.814,-6.997
260.0,leo1,10.114,-6.998
261.0,leo1,10.414,-6.999
262.0,leo1,10.611,-6.999
263.0,leo1,10.611,-6.981
264.0,leo1,10.609,-6.978
265.0,leo1,10.583,-6.978
266.0,leo1,10.576,-6.957
267.0,leo1,10.595,-6.658
268.0,leo1,10.612,-6.359
269.0,leo1,10.629,-6.059
270.0,leo1,10.646,-5.760
271.0,leo1,10.663,-5.460
272.0,leo1,10.679,-5.161
273.0,leo1,10.696,-4.861
274.0,leo1,10.713,-4.562
275.0,leo1,10.729,-4.262
276.0,leo1,10.746,-3.963
277.0,leo1,10.763,-3.663
278.0,leo1,10.780,-3.364
279.0,leo1,10.789,-3.193
280.0,leo1,10.768,-3.193
281.0,leo1,10.766,-3.195
282.0,leo1,10.766,-3.222
283.0,leo1,10.745,-3.228
284.0,leo1,10.446,-3.211
285.0,leo1,10.146,-3.196
286.0,leo1,9.847,-3.182
287.0,leo1,9.547,-3.168
288.0,leo1,9.247,-3.154
289.0,leo1,8.948,-3.140
290.0,leo1,8.648,-3.125
291.0,leo1,8.348,-3.111
292.0,leo1,8.049,-3.097
293.0,leo1,7.749,-3.083
294.0,leo1,7.449,-3.069
295.0,leo1,7.150,-3.054
296.0,leo1,6.850,-3.040
297.0,leo1,6.550,-3.026
298.0,leo1,6.267,-3.013
299.0,leo1,6.195,-3.005
300.0,leo1,6.194,-2.990
301.0,leo1,6.207,-2.991
302.0,leo1,6.229,-2.991
303.0,leo1,6.209,-2.776
304.0,leo1,6.186,-2.477
305.0,leo1,6.163,-2.178
306.0,leo1,6.141,-1.879
307.0,leo1,6.118,-1.580
308.0,leo1,6.096,-1.280
309.0,leo1,6.073,-0.981
310.0,leo1,6.051,-0.682
311.0,leo1,6.029,-0.383
312.0,leo1,6.014,-0.195
313.0,leo1,5.997,-0.195
314.0,leo1,5.997,-0.199
315.0,leo1,5.998,-0.228
316.0,leo1,5.917,-0.227
317.0,leo1,5.617,-0.214
318.0,leo1,5.317,-0.203
319.0,leo1,5.018,-0.191
320.0,leo1,4.718,-0.180
321.0,leo1,4.418,-0.168
322.0,leo1,4.118,-0.157
323.0,leo1,3.819,-0.146
324.0,leo1,3.519,-0.134
325.0,leo1,3.219,-0.123
326.0,leo1,2.919,-0.111
327.0,leo1,2.619,-0.100
328.0,leo1,2.320,-0.088
329.0,leo1,2.020,-0.077
330.0,leo1,1.720,-0.066
331.0,leo1,1.420,-0.054
332.0,leo1,1.120,-0.043
333.0,leo1,0.821,-0.031
334.0,leo1,0.521,-0.020
335.0,leo1,0.246,-0.009
336.0,leo1,0.196,-0.001
337.0,leo1,0.194,0.012
338.0,leo1,0.210,0.012
339.0,leo1,0.230,0.011
340.0,leo1,0.209,0.241
341.0,leo1,0.185,0.540
342.0,leo1,0.163,0.840
343.0,leo1,0.140,1.139
344.0,leo1,0.118,1.438
345.0,leo1,0.095,1.737
346.0,leo1,0.073,2.036
347.0,leo1,0.050,2.335
348.0,leo1,0.028,2.634
349.0,leo1,0.015,2.806
350.0,leo1,0.011,2.962
351.0,leo1,0.010,3.262
352.0,leo1,0.009,3.562
353.0,leo1,0.008,3.862
354.0,leo1,0.007,4.162
355.0,leo1,0.007,4.462
356.0,leo1,0.006,4.762
357.0,leo1,0.005,5.062
358.0,leo1,0.004,5.362
359.0,leo1,0.003,5.662
360.0,leo1,0.002,5.962
361.0,leo1,0.002,6.262
362.0,leo1,0.001,6.543
363.0,leo1,-0.005,6.610
364.0,leo1,-0.021,6.610
365.0,leo1,-0.020,6.599
366.0,leo1,-0.020,6.575
367.0,leo1,-0.190,6.591
368.0,leo1,-0.489,6.614
369.0,leo1,-0.788,6.636
370.0,leo1,-1.087,6.658
371.0,leo1,-1.387,6.680
372.0,leo1,-1.686,6.703
373.0,leo1,-1.985,6.725
374.0,leo1,-2.284,6.747
375.0,leo1,-2.583,6.769
376.0,leo1,-2.811,6.786
377.0,leo1,-2.812,6.800
378.0,leo1,-2.811,6.804
379.0,leo1,-2.784,6.803
380.0,leo1,-2.735,6.803
381.0,leo1,-2.729,6.804
382.0,leo1,-2.729,6.779
383.0,leo1,-2.729,6.764
384.0,leo1,-2.438,6.770
385.0,leo1,-2.138,6.772
386.0,leo1,-1.838,6.773
387.0,leo1,-1.538,6.775
388.0,leo1,-1.238,6.777
389.0,leo1,-0.938,6.778
390.0,leo1,-0.638,6.780
391.0,leo1,-0.338,6.782
392.0,leo1,-0.039,6.783
393.0,leo1,0.261,6.785
394.0,leo1,0.561,6.787
395.0,leo1,0.861,6.788
396.0,leo1,1.161,6.790
397.0,leo1,1.461,6.792
398.0,leo1,1.761,6.793
399.0,leo1,2.061,6.795
400.0,leo1,2.361,6.796
401.0,leo1,2.661,6.798
402.0,leo1,2.806,6.798
403.0,leo1,2.806,6.778
404.0,leo1,2.803,6.777
405.0,leo1,2.770,6.778
406.0,leo1,2.731,6.777
407.0,leo1,2.727,6.777
408.0,leo1,2.578,6.560
409.0,leo1,2.405,6.315
410.0,leo1,2.230,6.072
411.0,leo1,2.054,5.829
412.0,leo1,1.877,5.586
413.0,leo1,1.701,5.343
414.0,leo1,1.525,5.100
415.0,leo1,1.349,4.858
416.0,leo1,1.172,4.615
417.0,leo1,0.996,4.372
418.0,leo1,0.820,4.129
419.0,leo1,0.644,3.886
420.0,leo1,0.467,3.644
421.0,leo1,0.291,3.401
422.0,leo1,0.135,3.186
423.0,leo1,0.121,3.155
424.0,leo1,0.142,3.155
425.0,leo1,0.128,2.940
426.0,leo1,0.115,2.640
427.0,leo1,0.102,2.340
428.0,leo1,0.089,2.041
429.0,leo1,0.076,1.741
430.0,leo1,0.063,1.441
431.0,leo1,0.050,1.141
432.0,leo1,0.037,0.842
433.0,leo1,0.024,0.542
434.0,leo1,0.011,0.261
435.0,leo1,0.004,0.191
436.0,leo1,-0.011,0.190
437.0,leo1,-0.010,0.203
438.0,leo1,-0.010,0.227
439.0,leo1,-0.196,0.216
440.0,leo1,-0.496,0.205
441.0,leo1,-0.795,0.194
442.0,leo1,-1.095,0.182
443.0,leo1,-1.395,0.171
444.0,leo1,-1.695,0.160
445.0,leo1,-1.995,0.149
446.0,leo1,-2.294,0.138
447.0,leo1,-2.594,0.127
448.0,leo1,-2.894,0.115
449.0,leo1,-3.194,0.104
450.0,leo1,-3.494,0.093
451.0,leo1,-3.793,0.082
452.0,leo1,-4.093,0.071
453.0,leo1,-4.393,0.060
454.0,leo1,-4.693,0.049
455.0,leo1,-4.993,0.037
456.0,leo1,-5.292,0.026
457.0,leo1,-5.592,0.015
458.0,leo1,-5.808,0.007
459.0,leo1,-5.807,-0.009
460.0,leo1,-5.806,-0.012
461.0,leo1,-5.780,-0.012
462.0,leo1,-5.779,-0.063
463.0,leo1,-5.803,-0.361
464.0,leo1,-5.826,-0.660
465.0,leo1,-5.848,-0.959
466.0,leo1,-5.870,-1.259
467.0,leo1,-5.893,-1.558
468.0,leo1,-5.915,-1.857
469.0,leo1,-5.937,-2.156
470.0,leo1,-5.959,-2.455
471.0,leo1,-5.980,-2.737
472.0,leo1,-5.981,-2.806
473.0,leo1,-5.960,-2.807
474.0,leo1,-5.962,-2.798
475.0,leo1,-5.962,-2.783
476.0,leo1,-5.752,-2.834
477.0,leo1,-5.460,-2.900
478.0,leo1,-5.210,-2.955
479.0,leo1,-5.189,-2.969
480.0,leo1,-5.191,-2.970
481.0,leo1,-5.218,-2.970
482.0,leo1,-5.218,-3.036
483.0,leo1,-5.200,-3.335
484.0,leo1,-5.184,-3.635
485.0,leo1,-5.167,-3.934
486.0,leo1,-5.151,-4.234
487.0,leo1,-5.135,-4.533
488.0,leo1,-5.118,-4.833
489.0,leo1,-5.102,-5.132
490.0,leo1,-5.086,-5.432
491.0,leo1,-5.069,-5.731
492.0,leo1,-5.053,-6.031
493.0,leo1,-5.037,-6.331
494.0,leo1,-5.020,-6.630
495.0,leo1,-5.011,-6.805
496.0,leo1,-5.031,-6.805
497.0,leo1,-5.034,-6.804
498.0,leo1,-5.034,-6.778
499.0,leo1,-5.055,-6.771
500.0,leo1,-5.354,-6.786
501.0,leo1,-5.654,-6.798
502.0,leo1,-5.954,-6.809
503.0,leo1,-6.253,-6.821
504.0,leo1,-6.553,-6.833
505.0,leo1,-6.853,-6.845
506.0,leo1,-7.153,-6.857
507.0,leo1,-7.453,-6.868
508.0,leo1,-7.752,-6.880
509.0,leo1,-8.052,-6.892
510.0,leo1,-8.352,-6.904
