t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
53.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0372,,,
53.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0379,0.0000,0.0000,0.0379
54.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0387,0.0000,0.0000,0.0387
54.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0391,0.0000,0.0000,0.0391
55.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0399,0.0000,0.0000,0.0399
55.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0398,0.0000,0.0000,0.0398
56.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0408,0.0000,0.0000,0.0408
56.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0419,0.0000,0.0000,0.0419
57.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0422,0.0000,0.0000,0.0422
57.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0429,0.0000,0.0000,0.0429
58.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0438,0.0000,0.0000,0.0438
58.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0446,0.0000,0.0000,0.0446
59.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0447,0.0000,0.0000,0.0447
59.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0457,0.0000,0.0000,0.0457
60.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0463,0.0000,0.0000,0.0463
60.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0471,0.0000,0.0000,0.0471
61.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0473,0.0000,0.0000,0.0473
61.50,0.0001,-0.0000,-0.0000,0.0000,0.0000,0.0480,0.0000,0.0000,0.0480
62.00,0.0598,-0.0000,-0.0000,0.0532,0.0026,0.0484,0.0532,0.0026,0.0484
62.50,0.1198,-0.0000,-0.0000,0.1158,0.0056,0.0487,0.1158,0.0056,0.0487
63.00,0.1798,-0.0000,-0.0000,0.1792,0.0087,0.0492,0.1191,0.0036,0.0073
63.50,0.2398,-0.0000,-0.0000,0.2426,0.0118,0.0495,0.1025,0.0041,0.0076
64.00,0.2998,-0.0000,-0.0000,0.3040,0.0149,0.0501,0.1240,0.0046,0.0082
64.50,0.3598,-0.0000,-0.0000,0.3640,0.0179,0.0510,0.1841,0.0051,0.0091
65.00,0.4198,-0.0000,-0.0000,0.4259,0.0211,0.0516,0.1661,0.0057,0.0097
65.50,0.4798,-0.0000,-0.0000,0.4901,0.0244,0.0520,0.1703,0.0068,0.0066
66.00,0.5398,-0.0000,-0.0000,0.5493,0.0275,0.0529,0.1897,0.0073,0.0075
66.50,0.5998,-0.0000,-0.0000,0.6106,0.0308,0.0530,0.2510,0.0077,0.0076
67.00,0.6598,-0.0000,-0.0000,0.6709,0.0340,0.0531,0.2914,0.0086,0.0042
67.50,0.7198,-0.0000,-0.0000,0.7311,0.0372,0.0542,0.3117,0.0089,0.0053
68.00,0.7798,-0.0000,-0.0000,0.7933,0.0406,0.0547,0.3740,0.0092,0.0058
