x,y
0.0000,0.0000
0.5628,0.0106
0.7413,0.0122
0.8197,0.0509
0.7590,0.0740
-0.0600,0.8369
0.1651,2.3842
0.0817,2.4122
0.0978,2.3728
0.0611,2.2813
-0.0943,1.4285
-0.0910,1.2797
-0.0269,1.4144
-0.0323,0.7898
2.2291,0.2301
4.3552,-0.3875
5.6143,-1.2479
5.6286,-1.2809
5.6217,-1.2178
5.8121,-0.8617
6.8879,0.4436
7.3166,1.0381
7.0335,1.9344
6.8507,2.1535
6.8035,2.1336
7.1317,1.6987
6.8477,0.2832
5.9871,0.3722
3.4091,0.3666
0.7783,0.3664
-0.6408,0.3629
-0.8833,0.3147
-0.7780,0.2921
-0.7136,0.2762
-0.0231,0.3603
2.5405,0.1189
4.7521,-0.5972
4.8255,-1.6745
4.8427,-1.6159
5.8307,-2.6427
6.9694,-3.9092
6.9309,-3.8888
6.9717,-3.8722
6.9042,-3.7593
5.7775,-1.6126
6.6008,0.5043
7.9626,2.7237
8.7430,4.9785
7.0188,5.4276
6.9929,2.8428
6.6243,0.4323
5.7227,-1.5156
5.6576,-4.1136
6.0296,-5.2491
5.7981,-5.1389
5.8511,-5.0344
5.8354,-5.0740
5.5866,-3.4746
5.1280,-0.9312
2.8809,-0.0530
0.4585,0.0588
-2.1346,0.0617
-4.6726,-0.3072
-6.1292,-1.0229
-6.1265,-1.0232
-6.1585,-1.0066
-5.7693,-1.9106
-5.7644,-1.8854
-5.7660,-1.8998
-5.9596,-1.6532
-6.9236,-0.3877
-6.9756,-0.4544
-6.8209,-0.4126
-6.7129,-0.3331
-7.2710,0.1814
-7.4466,2.0978
-7.4021,2.1548
-7.3499,2.1393
-7.4109,2.0270
-7.4849,2.0190
-7.4827,2.0920
-8.8992,3.0299
-10.6579,4.7876
-9.9284,5.7778
-9.8894,5.7129
-9.9098,5.7636
-10.0559,5.6725
-10.0503,5.6818
-10.0497,5.6763
-10.7231,5.2728
-9.7266,3.0125
-8.2325,0.8799
-6.5902,-1.1323
-6.5792,-2.5568
-7.7451,-3.6287
-8.2968,-5.7117
-6.7434,-6.1856
-6.7434,-6.1856
-6.7434,-6.1856
