t,robot,x,y
55.0,leo1,0.000,0.000
56.0,leo1,0.000,0.000
57.0,leo1,0.000,0.000
58.0,leo1,0.000,0.000
59.0,leo1,0.000,0.000
60.0,leo1,0.000,0.000
61.0,leo1,0.000,0.000
62.0,leo1,0.053,0.003
63.0,leo1,0.119,0.004
64.0,leo1,0.124,0.005
65.0,leo1,0.166,0.006
66.0,leo1,0.190,0.007
67.0,leo1,0.291,0.009
68.0,leo1,0.374,0.009
69.0,leo1,0.474,0.010
70.0,leo1,0.563,0.011
71.0,leo1,0.682,0.011
72.0,leo1,0.741,0.012
73.0,leo1,0.741,0.012
74.0,leo1,0.741,0.012
75.0,leo1,0.741,0.012
76.0,leo1,0.741,0.012
77.0,leo1,0.741,0.012
78.0,leo1,0.741,0.012
79.0,leo1,0.741,0.012
80.0,leo1,0.741,0.012
81.0,leo1,0.752,0.013
82.0,leo1,0.764,0.015
83.0,leo1,0.794,0.039
84.0,leo1,0.803,0.042
85.0,leo1,0.810,0.045
86.0,leo1,0.816,0.048
87.0,leo1,0.818,0.050
88.0,leo1,0.820,0.051
89.0,leo1,0.820,0.051
90.0,leo1,0.820,0.051
91.0,leo1,0.819,0.051
92.0,leo1,0.818,0.049
93.0,leo1,0.817,0.047
94.0,leo1,0.814,0.042
95.0,leo1,0.811,0.035
96.0,leo1,0.808,0.027
97.0,leo1,0.805,0.016
98.0,leo1,0.803,0.004
99.0,leo1,0.777,0.038
100.0,leo1,0.759,0.074
101.0,leo1,0.757,0.086
102.0,leo1,0.755,0.099
103.0,leo1,0.752,0.109
104.0,leo1,0.749,0.115
105.0,leo1,0.684,0.079
106.0,leo1,0.603,0.172
107.0,leo1,0.426,0.373
108.0,leo1,0.247,0.557
109.0,leo1,0.088,0.708
110.0,leo1,-0.060,0.837
111.0,leo1,-0.161,1.046
112.0,leo1,-0.194,1.298
113.0,leo1,-0.146,1.542
114.0,leo1,-0.049,1.788
115.0,leo1,0.034,2.040
116.0,leo1,0.114,2.280
117.0,leo1,0.170,2.414
118.0,leo1,0.169,2.410
119.0,leo1,0.167,2.398
120.0,leo1,0.165,2.384
121.0,leo1,0.165,2.378
122.0,leo1,0.163,2.396
123.0,leo1,0.161,2.408
124.0,leo1,0.157,2.418
125.0,leo1,0.153,2.429
126.0,leo1,0.150,2.435
127.0,leo1,0.147,2.440
128.0,leo1,0.145,2.443
129.0,leo1,0.082,2.412
130.0,leo1,0.082,2.412
131.0,leo1,0.082,2.412
132.0,leo1,0.083,2.411
133.0,leo1,0.084,2.410
134.0,leo1,0.087,2.409
135.0,leo1,0.092,2.406
136.0,leo1,0.100,2.402
137.0,leo1,0.109,2.399
138.0,leo1,0.113,2.398
139.0,leo1,0.124,2.396
140.0,leo1,0.098,2.373
141.0,leo1,0.101,2.372
142.0,leo1,0.087,2.371
143.0,leo1,0.073,2.368
144.0,leo1,0.062,2.365
145.0,leo1,0.054,2.361
146.0,leo1,0.048,2.358
147.0,leo1,0.043,2.355
148.0,leo1,0.062,2.282
149.0,leo1,0.061,2.281
150.0,leo1,0.061,2.281
151.0,leo1,0.062,2.282
152.0,leo1,0.062,2.282
153.0,leo1,0.063,2.284
154.0,leo1,0.065,2.287
155.0,leo1,0.068,2.292
156.0,leo1,0.071,2.300
157.0,leo1,0.052,2.188
158.0,leo1,0.082,1.912
159.0,leo1,0.001,1.672
160.0,leo1,-0.094,1.429
161.0,leo1,-0.146,1.170
162.0,leo1,-0.159,1.082
163.0,leo1,-0.162,1.087
164.0,leo1,-0.165,1.080
165.0,leo1,-0.165,1.080
166.0,leo1,-0.148,1.114
167.0,leo1,-0.147,1.173
168.0,leo1,-0.129,1.211
169.0,leo1,-0.109,1.243
170.0,leo1,-0.091,1.280
171.0,leo1,-0.072,1.317
172.0,leo1,-0.076,1.322
173.0,leo1,-0.076,1.322
174.0,leo1,-0.076,1.323
175.0,leo1,-0.070,1.348
176.0,leo1,-0.067,1.328
177.0,leo1,-0.068,1.333
178.0,leo1,-0.075,1.362
179.0,leo1,-0.020,1.383
180.0,leo1,-0.027,1.414
181.0,leo1,-0.034,1.445
182.0,leo1,-0.060,1.473
183.0,leo1,-0.066,1.501
184.0,leo1,-0.075,1.537
185.0,leo1,-0.071,1.568
186.0,leo1,-0.082,1.571
187.0,leo1,-0.086,1.488
188.0,leo1,-0.148,1.231
189.0,leo1,-0.134,0.990
190.0,leo1,-0.032,0.790
191.0,leo1,0.186,0.685
192.0,leo1,0.428,0.636
193.0,leo1,0.678,0.599
194.0,leo1,0.918,0.540
195.0,leo1,1.171,0.499
196.0,leo1,1.423,0.456
197.0,leo1,1.647,0.403
198.0,leo1,1.931,0.334
199.0,leo1,2.157,0.256
200.0,leo1,2.229,0.230
201.0,leo1,2.232,0.229
202.0,leo1,2.407,0.223
203.0,leo1,2.630,0.182
204.0,leo1,2.846,0.075
205.0,leo1,3.110,-0.009
206.0,leo1,3.351,-0.068
207.0,leo1,3.611,-0.144
208.0,leo1,3.854,-0.215
209.0,leo1,4.114,-0.287
210.0,leo1,4.355,-0.388
211.0,leo1,4.599,-0.466
212.0,leo1,4.848,-0.562
213.0,leo1,5.087,-0.659
214.0,leo1,5.290,-0.810
215.0,leo1,5.462,-1.012
216.0,leo1,5.590,-1.224
217.0,leo1,5.623,-1.273
218.0,leo1,5.620,-1.267
219.0,leo1,5.617,-1.257
220.0,leo1,5.614,-1.248
221.0,leo1,5.612,-1.237
222.0,leo1,5.615,-1.248
223.0,leo1,5.618,-1.260
224.0,leo1,5.621,-1.267
225.0,leo1,5.624,-1.273
226.0,leo1,5.626,-1.277
227.0,leo1,5.629,-1.281
228.0,leo1,5.629,-1.281
229.0,leo1,5.629,-1.281
230.0,leo1,5.629,-1.281
231.0,leo1,5.628,-1.281
232.0,leo1,5.627,-1.280
233.0,leo1,5.623,-1.277
234.0,leo1,5.618,-1.275
235.0,leo1,5.610,-1.271
236.0,leo1,5.601,-1.268
237.0,leo1,5.592,-1.266
238.0,leo1,5.577,-1.264
239.0,leo1,5.610,-1.218
240.0,leo1,5.622,-1.218
241.0,leo1,5.636,-1.216
242.0,leo1,5.647,-1.213
243.0,leo1,5.657,-1.210
244.0,leo1,5.665,-1.206
245.0,leo1,5.670,-1.203
246.0,leo1,5.622,-1.140
247.0,leo1,5.624,-1.139
248.0,leo1,5.624,-1.139
249.0,leo1,5.671,-1.077
250.0,leo1,5.812,-0.862
251.0,leo1,5.977,-0.649
252.0,leo1,6.131,-0.441
253.0,leo1,6.280,-0.238
254.0,leo1,6.453,-0.039
255.0,leo1,6.627,0.155
256.0,leo1,6.798,0.354
257.0,leo1,6.891,0.445
258.0,leo1,6.892,0.446
259.0,leo1,6.891,0.446
260.0,leo1,6.888,0.444
261.0,leo1,6.889,0.444
262.0,leo1,6.890,0.445
263.0,leo1,6.890,0.445
264.0,leo1,6.891,0.447
265.0,leo1,6.975,0.589
266.0,leo1,7.046,0.782
267.0,leo1,7.178,0.914
268.0,leo1,7.310,1.032
269.0,leo1,7.317,1.039
270.0,leo1,7.317,1.038
271.0,leo1,7.316,1.037
272.0,leo1,7.315,1.036
273.0,leo1,7.312,1.031
274.0,leo1,7.310,1.026
275.0,leo1,7.307,1.019
276.0,leo1,7.308,1.026
277.0,leo1,7.314,1.267
278.0,leo1,7.285,1.515
279.0,leo1,7.197,1.751
280.0,leo1,7.034,1.934
281.0,leo1,6.850,2.117
282.0,leo1,6.799,2.171
283.0,leo1,6.800,2.170
284.0,leo1,6.801,2.169
285.0,leo1,6.805,2.167
286.0,leo1,6.810,2.164
287.0,leo1,6.817,2.161
288.0,leo1,6.826,2.158
289.0,leo1,6.838,2.155
290.0,leo1,6.851,2.153
291.0,leo1,6.869,2.153
292.0,leo1,6.853,2.152
293.0,leo1,6.840,2.150
294.0,leo1,6.829,2.146
295.0,leo1,6.820,2.143
296.0,leo1,6.814,2.140
297.0,leo1,6.809,2.137
298.0,leo1,6.805,2.135
299.0,leo1,6.804,2.134
300.0,leo1,6.803,2.134
301.0,leo1,6.804,2.134
