t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
53.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0372,0.0000,0.0000,0.0372
54.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0382,0.0000,0.0000,0.0382
54.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0389,0.0000,0.0000,0.0389
55.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0395,0.0000,0.0000,0.0395
55.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0399,0.0000,0.0000,0.0399
56.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0402,0.0000,0.0000,0.0402
56.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0414,0.0000,0.0000,0.0414
57.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0423,0.0000,0.0000,0.0423
57.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0425,0.0000,0.0000,0.0425
58.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0431,0.0000,0.0000,0.0431
58.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0444,0.0000,0.0000,0.0444
59.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0446,0.0000,0.0000,0.0446
59.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0452,0.0000,0.0000,0.0452
60.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0461,0.0000,0.0000,0.0461
60.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0465,0.0000,0.0000,0.0465
61.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0472,0.0000,0.0000,0.0472
61.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0477,0.0000,0.0000,0.0477
62.00,0.0484,-0.0000,-0.0000,0.0460,0.0022,0.0481,0.0460,0.0022,0.0481
62.50,0.1084,-0.0000,-0.0000,0.1063,0.0051,0.0486,0.0662,0.0011,0.0068
63.00,0.1684,-0.0000,-0.0000,0.1701,0.0082,0.0490,0.1300,0.0016,0.0071
63.50,0.2284,-0.0000,-0.0000,0.2328,0.0113,0.0493,0.0618,0.0020,0.0074
64.00,0.2884,-0.0000,-0.0000,0.2955,0.0144,0.0496,0.0555,0.0025,0.0077
64.50,0.3484,-0.0000,-0.0000,0.3564,0.0175,0.0507,0.1166,0.0030,0.0088
65.00,0.4084,-0.0000,-0.0000,0.4153,0.0205,0.0510,0.0755,0.0040,0.0057
65.50,0.4684,-0.0000,-0.0000,0.4800,0.0238,0.0517,0.0845,0.0044,0.0064
66.00,0.5284,-0.0000,-0.0000,0.5419,0.0270,0.0526,0.0622,0.0048,0.0072
66.50,0.5884,-0.0000,-0.0000,0.6019,0.0302,0.0528,0.1223,0.0053,0.0074
67.00,0.6484,-0.0000,-0.0000,0.6608,0.0333,0.0532,0.1014,0.0062,0.0044
67.50,0.7084,-0.0000,-0.0000,0.7234,0.0367,0.0534,0.1206,0.0064,0.0045
68.00,0.7684,-0.0000,-0.0000,0.7837,0.0399,0.0542,0.1544,0.0068,0.0054
68.50,0.8284,-0.0000,-0.0000,0.8427,0.0431,0.0546,0.1735,0.0076,0.0023
69.00,0.8884,-0.0000,-0.0000,0.9032,0.0465,0.0552,0.2341,0.0078,0.0029
69.50,0.9484,-0.0000,-0.0000,0.9678,0.0500,0.0554,0.2688,0.0079,0.0030
70.00,1.0084,-0.0000,-0.0000,1.0319,0.0536,0.0560,0.3230,0.0082,0.0037
70.50,1.0684,-0.0000,-0.0000,1.0912,0.0569,0.0562,0.3623,0.0084,0.0039
71.00,1.1284,-0.0000,-0.0000,1.1525,0.0604,0.0567,0.4238,0.0086,0.0043
71.50,1.1884,-0.0000,-0.0000,1.2149,0.0640,0.0573,0.4539,0.0093,0.0015
72.00,1.2194,-0.0000,-0.0000,1.2501,0.0660,0.0582,0.4715,0.0094,0.0024
72.50,1.2194,-0.0000,-0.0000,1.2501,0.0660,0.0590,0.4715,0.0094,0.0032
73.00,1.2194,-0.0000,-0.0000,1.2501,0.0660,0.0599,0.4715,0.0094,0.0040
73.50,1.2194,-0.0000,-0.0000,1.2501,0.0660,0.0605,0.4715,0.0094,0.0047
74.00,1.2194,-0.0000,-0.0000,1.2501,0.0660,0.0611,0.4715,0.0094,0.0053
74.50,1.2194,-0.0000,-0.0000,1.2501,0.0660,0.0610,0.4715,0.0094,0.0052
75.00,1.2194,-0.0000,-0.0000,1.2501,0.0660,0.0614,0.4715,0.0094,0.0055
75.50,1.2194,-0.0000,-0.0000,1.2501,0.0660,0.0619,0.4715,0.0094,0.0060
76.00,1.2194,-0.0000,-0.0000,1.2501,0.0660,0.0624,0.4715,0.0094,0.0066
76.50,1.2194,-0.0000,-0.0000,1.2501,0.0660,0.0627,0.4715,0.0094,0.0069
77.00,1.2194,-0.0000,-0.0000,1.2501,0.0660,0.0635,0.4715,0.0094,0.0076
77.50,1.2194,-0.0000,-0.0000,1.2501,0.0660,0.0640,0.4715,0.0094,0.0082
78.00,1.2194,-0.0000,-0.0000,1.2501,0.0660,0.0644,0.4715,0.0094,0.0086
78.50,1.2194,-0.0000,-0.0000,1.2501,0.0660,0.0649,0.4715,0.0094,0.0091
79.00,1.2194,-0.0000,-0.0000,1.2501,0.0660,0.0654,0.4715,0.0094,0.0095
79.50,1.2194,-0.0000,-0.0000,1.2501,0.0660,0.0659,0.4715,0.0094,0.0101
80.00,1.2194,-0.0000,-0.0000,1.2501,0.0660,0.0663,0.4715,0.0094,0.0104
80.50,1.2194,-0.0000,-0.0000,1.2501,0.0660,0.0674,0.4715,0.0094,0.0116
81.00,1.2194,-0.0000,-0.0000,1.2501,0.0660,0.0680,0.4715,0.0094,0.0121
81.50,1.2135,-0.0000,-0.0000,1.2440,0.0656,0.0683,0.4654,0.0093,0.0124
82.00,1.1935,-0.0000,-0.0000,1.2217,0.0640,0.0688,0.4431,0.0090,0.0129
82.50,1.1735,-0.0000,-0.0000,1.2002,0.0626,0.0690,0.4216,0.0087,0.0132
83.00,1.1535,-0.0000,-0.0000,1.1791,0.0611,0.0695,0.4004,0.0085,0.0136
83.50,1.1335,-0.0000,-0.0000,1.1574,0.0596,0.0697,0.3786,0.0082,0.0138
84.00,1.1135,-0.0000,-0.0000,1.1348,0.0580,0.0700,0.3560,0.0078,0.0141
84.50,1.0935,-0.0000,-0.0000,1.1154,0.0566,0.0704,0.3965,0.0099,0.0041
85.00,1.0735,-0.0000,-0.0000,1.0950,0.0552,0.0707,0.3760,0.0098,0.0043
85.50,1.0535,-0.0000,-0.0000,1.0741,0.0537,0.0713,0.3551,0.0097,0.0050
86.00,1.0335,-0.0000,-0.0000,1.0542,0.0523,0.0714,0.3351,0.0096,0.0051
86.50,1.0135,-0.0000,-0.0000,1.0330,0.0508,0.0715,0.3077,0.0095,0.0052
87.00,0.9935,-0.0000,-0.0000,1.0131,0.0493,0.0722,0.2840,0.0094,0.0058
87.50,0.9735,-0.0000,-0.0000,0.9955,0.0481,0.0724,0.2663,0.0093,0.0061
88.00,0.9715,-0.0000,-0.0000,0.9916,0.0478,0.0724,0.2624,0.0093,0.0061
88.50,0.9715,-0.0000,-0.0000,0.9916,0.0478,0.0727,0.2624,0.0093,0.0064
89.00,0.9715,-0.0000,-0.0000,0.9916,0.0478,0.0732,0.2624,0.0093,0.0069
89.50,0.9715,-0.0000,-0.0000,0.9916,0.0478,0.0740,0.2624,0.0093,0.0077
90.00,0.9715,-0.0000,-0.0000,0.9916,0.0478,0.0745,0.2624,0.0093,0.0082
90.50,0.9714,0.0007,0.0206,0.9915,0.0478,0.0919,0.2623,0.0093,0.0256
91.00,0.9715,0.0086,0.1978,0.9984,0.0491,0.2626,0.2693,0.0101,0.1963
91.50,0.9716,0.0251,0.4149,1.0132,0.0550,0.4817,0.2844,0.0150,0.4154
92.00,0.9719,0.0377,0.5940,1.0246,0.0623,0.6643,0.2963,0.0216,0.5980
