x,y
0.0000,0.0000
0.3230,0.0082
0.4715,0.0094
0.2624,0.0093
0.0750,-0.1025
0.0587,-0.1455
-0.4157,0.9129
-0.3896,0.9019
-1.4381,0.6328
-1.4584,0.6163
-1.3994,0.5707
-1.3055,0.5757
0.0334,0.5833
2.5325,0.1108
4.9603,-0.8257
5.1886,-1.0454
4.2150,-2.1245
4.2761,-2.1432
4.7058,-3.3131
4.6860,-3.2627
4.7078,-3.1838
4.9771,-2.3883
4.1503,-0.6107
1.5716,-0.6229
-1.0071,-0.6238
-3.4905,-0.6243
-5.8497,-0.7074
-6.1082,-0.8096
-5.8130,-1.9353
-5.8353,-1.9338
-6.5172,-2.4868
-6.5088,-2.4634
-6.5186,-2.4635
-6.5363,-1.0329
-8.1511,0.9373
-7.6699,2.2049
-7.7864,2.2346
-9.8656,3.6135
-10.5447,5.5053
-10.3944,5.5927
-10.3698,5.5814
-10.3749,5.5849
-10.3871,5.6082
-10.4952,5.4699
-10.6010,4.1907
-9.1293,2.0488
-7.5202,-0.0160
-6.8756,-2.1724
-8.3095,-4.3417
-8.6247,-5.3260
-8.6699,-5.3114
-8.6117,-5.1824
-8.0499,-3.8300
-6.5170,-1.7299
-4.4496,-0.6679
-2.1705,-0.6327
0.3767,-0.6302
2.9566,-0.6315
5.2477,-1.2829
6.6088,-3.4867
6.6867,-3.6142
6.7608,-3.5104
6.7455,-3.5609
5.6334,-1.4737
6.7306,0.6146
7.1028,2.1744
8.7074,3.7512
8.7119,5.2995
8.7392,5.2577
8.6169,5.1911
8.5351,5.2024
8.5351,5.2024
8.5351,5.2024
8.5351,5.2024
8.5351,5.2024
8.5351,5.2024
8.5351,5.2024
8.5351,5.2024
8.5351,5.2024
8.5351,5.2024
8.5351,5.2024
8.5351,5.2024
8.5351,5.2024
8.5351,5.2024
8.5351,5.2024
8.5351,5.2024
8.5351,5.2024
8.5351,5.2024
8.5351,5.2024
8.5351,5.2024
8.5351,5.2024
8.5351,5.2024
8.5351,5.2024
