t,robot,x,y
55.0,leo1,0.000,0.000
56.0,leo1,0.000,0.000
57.0,leo1,0.000,0.000
58.0,leo1,0.000,0.000
59.0,leo1,0.000,0.000
60.0,leo1,0.000,0.000
61.0,leo1,0.000,0.000
62.0,leo1,0.046,0.002
63.0,leo1,0.130,0.002
64.0,leo1,0.056,0.003
65.0,leo1,0.076,0.004
66.0,leo1,0.062,0.005
67.0,leo1,0.101,0.006
68.0,leo1,0.154,0.007
69.0,leo1,0.234,0.008
70.0,leo1,0.323,0.008
71.0,leo1,0.424,0.009
72.0,leo1,0.472,0.009
73.0,leo1,0.472,0.009
74.0,leo1,0.472,0.009
75.0,leo1,0.472,0.009
76.0,leo1,0.472,0.009
77.0,leo1,0.472,0.009
78.0,leo1,0.472,0.009
79.0,leo1,0.472,0.009
80.0,leo1,0.472,0.009
81.0,leo1,0.472,0.009
82.0,leo1,0.443,0.009
83.0,leo1,0.400,0.008
84.0,leo1,0.356,0.008
85.0,leo1,0.376,0.010
86.0,leo1,0.335,0.010
87.0,leo1,0.284,0.009
88.0,leo1,0.262,0.009
89.0,leo1,0.262,0.009
90.0,leo1,0.262,0.009
91.0,leo1,0.269,0.010
92.0,leo1,0.296,0.022
93.0,leo1,0.298,0.023
94.0,leo1,0.279,0.008
95.0,leo1,0.246,-0.018
96.0,leo1,0.194,-0.021
97.0,leo1,0.163,-0.045
98.0,leo1,0.130,-0.060
99.0,leo1,0.096,-0.086
100.0,leo1,0.075,-0.102
101.0,leo1,0.075,-0.103
102.0,leo1,0.075,-0.103
103.0,leo1,0.074,-0.104
104.0,leo1,0.073,-0.105
105.0,leo1,0.071,-0.107
106.0,leo1,0.068,-0.112
107.0,leo1,0.066,-0.117
108.0,leo1,0.063,-0.124
109.0,leo1,0.061,-0.133
110.0,leo1,0.059,-0.146
111.0,leo1,0.035,-0.121
112.0,leo1,0.033,-0.103
113.0,leo1,-0.047,0.103
114.0,leo1,-0.114,0.354
115.0,leo1,-0.173,0.601
116.0,leo1,-0.298,0.788
117.0,leo1,-0.411,0.909
118.0,leo1,-0.417,0.914
119.0,leo1,-0.417,0.914
120.0,leo1,-0.416,0.913
121.0,leo1,-0.417,0.914
122.0,leo1,-0.417,0.915
123.0,leo1,-0.417,0.914
124.0,leo1,-0.416,0.914
125.0,leo1,-0.416,0.914
126.0,leo1,-0.413,0.912
127.0,leo1,-0.411,0.910
128.0,leo1,-0.406,0.908
129.0,leo1,-0.398,0.905
130.0,leo1,-0.390,0.902
131.0,leo1,-0.379,0.900
132.0,leo1,-0.394,0.871
133.0,leo1,-0.538,0.845
134.0,leo1,-0.849,0.764
135.0,leo1,-1.079,0.702
136.0,leo1,-1.352,0.649
137.0,leo1,-1.438,0.633
138.0,leo1,-1.438,0.633
139.0,leo1,-1.438,0.633
140.0,leo1,-1.438,0.633
141.0,leo1,-1.447,0.631
142.0,leo1,-1.438,0.626
143.0,leo1,-1.446,0.623
144.0,leo1,-1.452,0.620
145.0,leo1,-1.456,0.618
146.0,leo1,-1.458,0.616
147.0,leo1,-1.460,0.615
148.0,leo1,-1.459,0.615
149.0,leo1,-1.459,0.616
150.0,leo1,-1.458,0.616
151.0,leo1,-1.458,0.618
152.0,leo1,-1.455,0.621
153.0,leo1,-1.453,0.626
154.0,leo1,-1.450,0.634
155.0,leo1,-1.447,0.642
156.0,leo1,-1.445,0.653
157.0,leo1,-1.443,0.667
158.0,leo1,-1.403,0.599
159.0,leo1,-1.401,0.583
160.0,leo1,-1.399,0.571
161.0,leo1,-1.396,0.559
162.0,leo1,-1.393,0.551
163.0,leo1,-1.310,0.584
164.0,leo1,-1.307,0.579
165.0,leo1,-1.305,0.576
166.0,leo1,-1.304,0.575
167.0,leo1,-1.304,0.575
168.0,leo1,-1.304,0.575
169.0,leo1,-1.305,0.575
170.0,leo1,-1.305,0.576
171.0,leo1,-1.308,0.577
172.0,leo1,-1.314,0.580
173.0,leo1,-1.320,0.583
174.0,leo1,-1.328,0.586
175.0,leo1,-1.265,0.578
176.0,leo1,-0.974,0.626
177.0,leo1,-0.743,0.583
178.0,leo1,-0.477,0.593
179.0,leo1,-0.218,0.596
180.0,leo1,0.033,0.583
181.0,leo1,0.272,0.574
182.0,leo1,0.521,0.562
183.0,leo1,0.798,0.524
184.0,leo1,1.021,0.513
185.0,leo1,1.267,0.460
186.0,leo1,1.503,0.380
187.0,leo1,1.780,0.329
188.0,leo1,2.028,0.243
189.0,leo1,2.289,0.181
190.0,leo1,2.533,0.111
191.0,leo1,2.788,0.031
192.0,leo1,3.027,-0.046
193.0,leo1,3.271,-0.117
194.0,leo1,3.538,-0.191
195.0,leo1,3.777,-0.276
196.0,leo1,4.042,-0.359
197.0,leo1,4.270,-0.454
198.0,leo1,4.507,-0.554
199.0,leo1,4.754,-0.674
200.0,leo1,4.960,-0.826
201.0,leo1,5.141,-1.002
202.0,leo1,5.205,-1.082
203.0,leo1,5.204,-1.081
204.0,leo1,5.202,-1.076
205.0,leo1,5.199,-1.070
206.0,leo1,5.196,-1.063
207.0,leo1,5.194,-1.055
208.0,leo1,5.191,-1.044
209.0,leo1,5.190,-1.030
210.0,leo1,5.189,-1.045
211.0,leo1,5.075,-1.296
212.0,leo1,4.976,-1.528
213.0,leo1,4.807,-1.727
214.0,leo1,4.594,-1.887
215.0,leo1,4.368,-2.018
216.0,leo1,4.220,-2.119
217.0,leo1,4.215,-2.125
218.0,leo1,4.214,-2.125
219.0,leo1,4.215,-2.125
220.0,leo1,4.215,-2.125
221.0,leo1,4.216,-2.124
222.0,leo1,4.217,-2.122
223.0,leo1,4.219,-2.118
224.0,leo1,4.222,-2.112
225.0,leo1,4.225,-2.104
226.0,leo1,4.228,-2.094
227.0,leo1,4.230,-2.083
228.0,leo1,4.231,-2.069
229.0,leo1,4.275,-2.127
230.0,leo1,4.276,-2.143
231.0,leo1,4.280,-2.163
232.0,leo1,4.329,-2.313
233.0,leo1,4.359,-2.507
234.0,leo1,4.453,-2.749
235.0,leo1,4.540,-2.994
236.0,leo1,4.652,-3.232
237.0,leo1,4.701,-3.318
238.0,leo1,4.704,-3.311
239.0,leo1,4.706,-3.313
240.0,leo1,4.706,-3.313
241.0,leo1,4.705,-3.313
242.0,leo1,4.705,-3.312
243.0,leo1,4.704,-3.311
244.0,leo1,4.701,-3.310
245.0,leo1,4.696,-3.307
246.0,leo1,4.690,-3.304
247.0,leo1,4.681,-3.301
248.0,leo1,4.671,-3.298
249.0,leo1,4.658,-3.296
250.0,leo1,4.686,-3.263
251.0,leo1,4.693,-3.262
252.0,leo1,4.709,-3.260
253.0,leo1,4.721,-3.258
254.0,leo1,4.730,-3.255
255.0,leo1,4.737,-3.251
256.0,leo1,4.743,-3.248
257.0,leo1,4.705,-3.186
258.0,leo1,4.705,-3.186
259.0,leo1,4.705,-3.186
260.0,leo1,4.708,-3.184
261.0,leo1,4.709,-3.183
262.0,leo1,4.708,-3.184
263.0,leo1,4.708,-3.184
264.0,leo1,4.707,-3.185
265.0,leo1,4.706,-3.187
266.0,leo1,4.704,-3.190
267.0,leo1,4.733,-3.113
268.0,leo1,4.759,-2.840
269.0,leo1,4.863,-2.612
270.0,leo1,4.977,-2.388
271.0,leo1,5.025,-2.135
272.0,leo1,5.010,-1.911
273.0,leo1,4.996,-1.677
274.0,leo1,5.029,-1.417
275.0,leo1,5.040,-1.156
276.0,leo1,5.015,-0.923
277.0,leo1,4.896,-0.750
278.0,leo1,4.659,-0.636
279.0,leo1,4.408,-0.588
280.0,leo1,4.150,-0.611
281.0,leo1,3.896,-0.595
282.0,leo1,3.649,-0.599
283.0,leo1,3.406,-0.614
284.0,leo1,3.154,-0.623
285.0,leo1,2.886,-0.624
286.0,leo1,2.640,-0.624
287.0,leo1,2.381,-0.625
288.0,leo1,2.125,-0.624
289.0,leo1,1.849,-0.623
290.0,leo1,1.572,-0.623
291.0,leo1,1.330,-0.626
292.0,leo1,1.061,-0.625
293.0,leo1,0.821,-0.625
294.0,leo1,0.537,-0.622
