t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
53.00,-0.0000,0.0000,0.0000,,,,,,
53.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0137,0.0000,0.0000,-0.0137
54.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0137,0.0000,0.0000,-0.0137
54.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0147,0.0000,0.0000,-0.0147
55.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0147,0.0000,0.0000,-0.0147
55.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0148,0.0000,0.0000,-0.0148
56.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0149,0.0000,0.0000,-0.0149
56.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0150,0.0000,0.0000,-0.0150
57.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0156,0.0000,0.0000,-0.0156
57.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0153,0.0000,0.0000,-0.0153
58.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0157,0.0000,0.0000,-0.0157
58.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0158,0.0000,0.0000,-0.0158
59.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0161,0.0000,0.0000,-0.0161
59.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0163,0.0000,0.0000,-0.0163
60.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0165,0.0000,0.0000,-0.0165
60.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0164,0.0000,0.0000,-0.0164
61.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0170,0.0000,0.0000,-0.0170
61.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0172,0.0000,0.0000,-0.0172
62.00,0.0484,-0.0000,-0.0000,0.0473,-0.0008,-0.0173,0.0473,-0.0008,-0.0173
62.50,0.1084,-0.0000,-0.0000,0.1060,-0.0018,-0.0174,0.0660,-0.0038,-0.0034
63.00,0.1684,-0.0000,-0.0000,0.1693,-0.0029,-0.0177,0.1293,-0.0041,-0.0037
