x,y
0.0000,0.0000
0.3785,0.0121
0.6251,0.0195
0.6703,0.0857
0.5796,0.0665
0.5754,-0.1699
0.6628,-0.3847
0.6552,-0.3958
-0.9241,-0.4049
-0.8131,-0.3776
-1.4482,-0.3016
-3.0662,-0.3126
-4.2069,-0.3217
-6.4363,-1.3848
-6.6393,-1.7015
-6.6258,-1.7343
-6.5132,-1.6578
-6.1433,-0.9546
-3.9829,-0.7332
-1.4036,-0.6946
1.1707,-0.6327
2.7178,-0.5910
2.6515,-0.5448
4.1425,-0.4597
5.6184,-1.3291
5.5134,-1.2556
5.3917,-1.1455
5.6159,-0.7675
6.6868,0.6019
6.8075,2.1110
6.6558,2.3250
6.6050,2.1985
6.6176,2.2363
7.1565,1.4633
5.1893,0.6990
2.5609,0.6866
2.0477,0.7010
2.0532,0.6904
2.1413,0.7683
2.1994,0.7442
2.2071,0.6794
4.0214,-0.1553
5.4046,-1.2353
5.4187,-3.4693
5.8930,-5.0165
5.8623,-4.9988
5.8962,-4.9833
5.8320,-4.8867
5.6682,-4.1829
5.4527,-1.5889
4.0205,-0.2288
4.1004,-0.0911
4.1257,-0.1156
4.2318,-0.0768
4.0111,-0.0161
4.0869,0.0156
4.2022,0.0689
4.0845,0.2020
4.1194,0.1820
4.0863,0.2769
4.0927,0.2806
4.0962,0.3817
4.2288,0.4081
4.0822,0.4511
4.3484,0.5453
3.9270,0.5818
4.1967,0.6488
4.0689,0.6587
4.3109,0.7170
3.9262,0.6805
3.9637,0.7283
4.1045,0.8378
4.1045,0.8378
4.1045,0.8378
4.1045,0.8378
4.1045,0.8378
4.1045,0.8378
4.1045,0.8378
4.1045,0.8378
4.1045,0.8378
4.1045,0.8378
