[INFO] [1787186815.047614405] [sim_realism_odom]: realistic odom: yaw_scale=0.12 linear_scale=0.02 slip=0.01 -> /leo1/odom_wheel_like / TF leo1/odom->leo1/base_link
[INFO] [1787186823.550826966] [sim_realism_odom]: odom error: pos=0.000 m yaw=+0.0 deg after 0.0 m travelled
[INFO] [1787186833.713695620] [sim_realism_odom]: odom error: pos=0.000 m yaw=+0.0 deg after 0.0 m travelled
[INFO] [1787186843.745676242] [sim_realism_odom]: odom error: pos=0.000 m yaw=+0.0 deg after 0.0 m travelled
[INFO] [1787186853.835529013] [sim_realism_odom]: odom error: pos=0.000 m yaw=+0.0 deg after 0.0 m travelled
[INFO] [1787186863.930654329] [sim_realism_odom]: odom error: pos=0.000 m yaw=+0.0 deg after 0.0 m travelled
[INFO] [1787186873.961341411] [sim_realism_odom]: odom error: pos=0.022 m yaw=+0.0 deg after 1.0 m travelled
[INFO] [1787186883.989871995] [sim_realism_odom]: odom error: pos=0.020 m yaw=+0.0 deg after 1.2 m travelled
[INFO] [1787186893.990687702] [sim_realism_odom]: odom error: pos=0.098 m yaw=+4.6 deg after 1.3 m travelled
[INFO] [1787186903.990573633] [sim_realism_odom]: odom error: pos=0.187 m yaw=+9.9 deg after 1.4 m travelled
[INFO] [1787186913.990584624] [sim_realism_odom]: odom error: pos=0.217 m yaw=+16.1 deg after 2.2 m travelled
[INFO] [1787186923.989872019] [sim_realism_odom]: odom error: pos=0.325 m yaw=+14.0 deg after 2.6 m travelled
[INFO] [1787186933.989873366] [sim_realism_odom]: odom error: pos=0.380 m yaw=+8.1 deg after 3.7 m travelled
[INFO] [1787186943.990263312] [sim_realism_odom]: odom error: pos=0.395 m yaw=+11.5 deg after 4.0 m travelled
[INFO] [1787186953.989080858] [sim_realism_odom]: odom error: pos=0.342 m yaw=+14.0 deg after 4.3 m travelled
[INFO] [1787186963.989293095] [sim_realism_odom]: odom error: pos=0.312 m yaw=+16.3 deg after 4.3 m travelled
[INFO] [1787186973.988999748] [sim_realism_odom]: odom error: pos=0.278 m yaw=+20.0 deg after 4.3 m travelled
[INFO] [1787186983.986473095] [sim_realism_odom]: odom error: pos=0.507 m yaw=+27.0 deg after 5.1 m travelled
[INFO] [1787186993.986501251] [sim_realism_odom]: odom error: pos=0.710 m yaw=+24.0 deg after 5.7 m travelled
[INFO] [1787187003.986869985] [sim_realism_odom]: odom error: pos=1.460 m yaw=+26.8 deg after 7.5 m travelled
[INFO] [1787187013.986543769] [sim_realism_odom]: odom error: pos=1.429 m yaw=+33.9 deg after 7.5 m travelled
[INFO] [1787187023.986507743] [sim_realism_odom]: odom error: pos=1.400 m yaw=+36.8 deg after 7.8 m travelled
[INFO] [1787187033.986765837] [sim_realism_odom]: odom error: pos=1.434 m yaw=+40.0 deg after 7.9 m travelled
[INFO] [1787187043.986648827] [sim_realism_odom]: odom error: pos=0.227 m yaw=+47.2 deg after 9.7 m travelled
[INFO] [1787187053.986514557] [sim_realism_odom]: odom error: pos=2.028 m yaw=+47.5 deg after 12.3 m travelled
[INFO] [1787187063.986544488] [sim_realism_odom]: odom error: pos=4.042 m yaw=+45.3 deg after 14.9 m travelled
