[INFO] [launch]: All log files can be found below /home/smirn/.ros/log/2026-08-20-03-03-50-001211-Tornadosky-93306
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [aruco_detector-1]: process started with pid [93307]
[aruco_detector-1] [INFO] [1787187830.636699568] [aruco_detector]: aruco_detector: dict=DICT_4X4_50 len=0.2 m image=/leo1/camera/image optical_frame=False map_frame=map cv2=4.5.4 allowed_ids=[1, 2, 3, 4, 5, 6, 7, 8]
[aruco_detector-1] [INFO] [1787187830.638473578] [aruco_detector]: frames=0 with_detections=0 confirmed=[] pending=[]
[aruco_detector-1] [INFO] [1787187830.656073576] [aruco_detector]: camera intrinsics: fx=554.4 fy=554.4 cx=320.0 cy=240.0 distortion=5 coeffs
[aruco_detector-1] [INFO] [1787187834.850158960] [aruco_detector]: frames=21 with_detections=0 confirmed=[] pending=[]
[aruco_detector-1] [INFO] [1787187844.870625673] [aruco_detector]: frames=71 with_detections=0 confirmed=[] pending=[]
[aruco_detector-1] [INFO] [1787187854.887484895] [aruco_detector]: frames=121 with_detections=40 confirmed=[] pending=[]
[aruco_detector-1] [INFO] [1787187864.887488351] [aruco_detector]: frames=171 with_detections=49 confirmed=[] pending=[]
[aruco_detector-1] [INFO] [1787187874.887483384] [aruco_detector]: frames=221 with_detections=50 confirmed=[] pending=[]
[aruco_detector-1] [INFO] [1787187884.885029211] [aruco_detector]: frames=271 with_detections=50 confirmed=[] pending=[]
[aruco_detector-1] [INFO] [1787187892.923170529] [aruco_detector]: ArUco 4 CONFIRMED at map (-3.16, 3.69, 0.14) range 4.68 m, reproj 1.38 px
[aruco_detector-1] [INFO] [1787187894.885277407] [aruco_detector]: frames=321 with_detections=57 confirmed=[4] pending=[]
[aruco_detector-1] [INFO] [1787187904.888412144] [aruco_detector]: frames=371 with_detections=81 confirmed=[4] pending=[]
[aruco_detector-1] [INFO] [1787187914.886394032] [aruco_detector]: frames=421 with_detections=95 confirmed=[4] pending=[]
[aruco_detector-1] [INFO] [1787187924.886253500] [aruco_detector]: frames=471 with_detections=101 confirmed=[4] pending=[]
[aruco_detector-1] [INFO] [1787187934.886221069] [aruco_detector]: frames=521 with_detections=105 confirmed=[4] pending=[]
[aruco_detector-1] [INFO] [1787187944.883244252] [aruco_detector]: frames=571 with_detections=105 confirmed=[4] pending=[]
[aruco_detector-1] [INFO] [1787187954.883250534] [aruco_detector]: frames=621 with_detections=105 confirmed=[4] pending=[]
[aruco_detector-1] [INFO] [1787187964.883122941] [aruco_detector]: frames=671 with_detections=105 confirmed=[4] pending=[]
[aruco_detector-1] [INFO] [1787187974.879750918] [aruco_detector]: frames=721 with_detections=109 confirmed=[4] pending=[]
[aruco_detector-1] [INFO] [1787187984.879738290] [aruco_detector]: frames=771 with_detections=115 confirmed=[4] pending=[]
[aruco_detector-1] [INFO] [1787187985.913441198] [aruco_detector]: ArUco 2 CONFIRMED at map (8.76, 0.42, 0.14) range 5.90 m, reproj 0.18 px
[aruco_detector-1] [INFO] [1787187994.879723838] [aruco_detector]: frames=821 with_detections=142 confirmed=[2, 4] pending=[]
[aruco_detector-1] [INFO] [1787187997.916286154] [aruco_detector]: ArUco 7 CONFIRMED at map (3.93, -6.70, 0.12) range 5.42 m, reproj 2.39 px
[aruco_detector-1] [INFO] [1787188004.876829175] [aruco_detector]: frames=871 with_detections=164 confirmed=[2, 4, 7] pending=[]
[aruco_detector-1] [INFO] [1787188014.876946332] [aruco_detector]: frames=921 with_detections=164 confirmed=[2, 4, 7] pending=[]
[aruco_detector-1] [INFO] [1787188024.877865147] [aruco_detector]: frames=971 with_detections=164 confirmed=[2, 4, 7] pending=[]
[aruco_detector-1] [INFO] [1787188034.877455348] [aruco_detector]: frames=1021 with_detections=167 confirmed=[2, 4, 7] pending=[]
[aruco_detector-1] [INFO] [1787188044.877239257] [aruco_detector]: frames=1071 with_detections=170 confirmed=[2, 4, 7] pending=[]
[aruco_detector-1] [INFO] [1787188054.878912068] [aruco_detector]: frames=1121 with_detections=170 confirmed=[2, 4, 7] pending=[]
[aruco_detector-1] [INFO] [1787188064.875714181] [aruco_detector]: frames=1171 with_detections=173 confirmed=[2, 4, 7] pending=[]
[aruco_detector-1] [INFO] [1787188074.885959383] [aruco_detector]: frames=1221 with_detections=184 confirmed=[2, 4, 7] pending=[]
[aruco_detector-1] [INFO] [1787188077.520535918] [aruco_detector]: ArUco 1 CONFIRMED at map (-9.92, -0.19, 0.13) range 5.91 m, reproj 0.19 px
[aruco_detector-1] [INFO] [1787188084.885757423] [aruco_detector]: frames=1271 with_detections=207 confirmed=[1, 2, 4, 7] pending=[]
[aruco_detector-1] [INFO] [1787188094.885315752] [aruco_detector]: frames=1321 with_detections=207 confirmed=[1, 2, 4, 7] pending=[]
[aruco_detector-1] [INFO] [1787188104.885565497] [aruco_detector]: frames=1371 with_detections=207 confirmed=[1, 2, 4, 7] pending=[]
[aruco_detector-1] [INFO] [1787188114.885298659] [aruco_detector]: frames=1421 with_detections=207 confirmed=[1, 2, 4, 7] pending=[]
[aruco_detector-1] [INFO] [1787188124.883916256] [aruco_detector]: frames=1471 with_detections=207 confirmed=[1, 2, 4, 7] pending=[]
[aruco_detector-1] [INFO] [1787188134.884095382] [aruco_detector]: frames=1521 with_detections=207 confirmed=[1, 2, 4, 7] pending=[]
[aruco_detector-1] [INFO] [1787188144.883964097] [aruco_detector]: frames=1571 with_detections=218 confirmed=[1, 2, 4, 7] pending=[]
[aruco_detector-1] [INFO] [1787188152.321537076] [aruco_detector]: ArUco 6 CONFIRMED at map (-10.27, -3.77, 0.14) range 5.83 m, reproj 0.07 px
[aruco_detector-1] [INFO] [1787188154.885744730] [aruco_detector]: frames=1621 with_detections=253 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188164.885582696] [aruco_detector]: frames=1671 with_detections=256 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188174.885722107] [aruco_detector]: frames=1721 with_detections=294 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [WARN] [1787188176.721186771] [aruco_detector]: ignoring ArUco id 32: not in allowed_ids [1, 2, 3, 4, 5, 6, 7, 8]
[aruco_detector-1] [INFO] [1787188184.883624366] [aruco_detector]: frames=1771 with_detections=305 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188194.883577208] [aruco_detector]: frames=1821 with_detections=305 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188204.883544933] [aruco_detector]: frames=1871 with_detections=323 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188214.886215458] [aruco_detector]: frames=1921 with_detections=353 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188224.885963617] [aruco_detector]: frames=1971 with_detections=353 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188234.886056116] [aruco_detector]: frames=2021 with_detections=353 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188244.885503134] [aruco_detector]: frames=2071 with_detections=354 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188254.885579069] [aruco_detector]: frames=2121 with_detections=393 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188264.885478727] [aruco_detector]: frames=2171 with_detections=408 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188274.886043630] [aruco_detector]: frames=2221 with_detections=408 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188284.885927591] [aruco_detector]: frames=2271 with_detections=408 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188294.886000236] [aruco_detector]: frames=2321 with_detections=408 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188304.884333684] [aruco_detector]: frames=2371 with_detections=408 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188314.884328895] [aruco_detector]: frames=2421 with_detections=408 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188324.885442606] [aruco_detector]: frames=2471 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188334.884593810] [aruco_detector]: frames=2521 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188344.886966445] [aruco_detector]: frames=2571 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188354.887278493] [aruco_detector]: frames=2621 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188364.885070871] [aruco_detector]: frames=2671 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188374.886359945] [aruco_detector]: frames=2721 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188384.886089438] [aruco_detector]: frames=2771 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188394.887457417] [aruco_detector]: frames=2821 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188404.887394878] [aruco_detector]: frames=2871 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188414.888737518] [aruco_detector]: frames=2921 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188424.886469896] [aruco_detector]: frames=2971 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188434.886500734] [aruco_detector]: frames=3021 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188444.886376709] [aruco_detector]: frames=3071 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188454.890808346] [aruco_detector]: frames=3121 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188464.891982930] [aruco_detector]: frames=3171 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188474.891968917] [aruco_detector]: frames=3221 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188484.890579925] [aruco_detector]: frames=3271 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188494.890528547] [aruco_detector]: frames=3321 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188504.891513256] [aruco_detector]: frames=3371 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188514.891678785] [aruco_detector]: frames=3421 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
