t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
53.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0372,0.0000,0.0000,0.0372
54.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0382,0.0000,0.0000,0.0382
54.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0389,0.0000,0.0000,0.0389
55.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0395,0.0000,0.0000,0.0395
55.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0399,0.0000,0.0000,0.0399
56.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0402,0.0000,0.0000,0.0402
56.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0414,0.0000,0.0000,0.0414
57.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0423,0.0000,0.0000,0.0423
57.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0424,0.0000,0.0000,0.0424
58.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0431,0.0000,0.0000,0.0431
58.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0444,0.0000,0.0000,0.0444
59.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0446,0.0000,0.0000,0.0446
59.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0452,0.0000,0.0000,0.0452
60.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0461,0.0000,0.0000,0.0461
60.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0465,0.0000,0.0000,0.0465
61.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0472,0.0000,0.0000,0.0472
61.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0476,0.0000,0.0000,0.0476
62.00,0.0423,-0.0000,-0.0000,0.0400,0.0019,0.0481,0.0400,0.0019,0.0481
62.50,0.1023,-0.0000,-0.0000,0.1008,0.0049,0.0486,0.0606,0.0013,0.0067
63.00,0.1623,-0.0000,-0.0000,0.1638,0.0079,0.0489,0.0837,0.0017,0.0070
63.50,0.2223,-0.0000,-0.0000,0.2263,0.0110,0.0492,0.1463,0.0022,0.0073
64.00,0.2823,-0.0000,-0.0000,0.2897,0.0141,0.0495,0.1197,0.0027,0.0077
64.50,0.3423,-0.0000,-0.0000,0.3522,0.0173,0.0506,0.1323,0.0032,0.0087
65.00,0.4023,-0.0000,-0.0000,0.4084,0.0201,0.0510,0.0986,0.0037,0.0091
65.50,0.4623,-0.0000,-0.0000,0.4743,0.0235,0.0517,0.1645,0.0043,0.0098
66.00,0.5223,-0.0000,-0.0000,0.5365,0.0268,0.0526,0.1469,0.0049,0.0107
66.50,0.5823,-0.0000,-0.0000,0.5957,0.0299,0.0527,0.1661,0.0056,0.0108
67.00,0.6423,-0.0000,-0.0000,0.6564,0.0331,0.0532,0.2069,0.0068,0.0078
67.50,0.7023,-0.0000,-0.0000,0.7181,0.0364,0.0533,0.2687,0.0072,0.0080
68.00,0.7623,-0.0000,-0.0000,0.7775,0.0396,0.0542,0.2882,0.0077,0.0088
68.50,0.8223,-0.0000,-0.0000,0.8379,0.0429,0.0546,0.3287,0.0089,0.0057
69.00,0.8823,-0.0000,-0.0000,0.8995,0.0463,0.0552,0.3904,0.0092,0.0063
69.50,0.9423,-0.0000,-0.0000,0.9609,0.0497,0.0553,0.4419,0.0096,0.0065
70.00,1.0023,-0.0000,-0.0000,1.0255,0.0532,0.0560,0.5065,0.0100,0.0071
70.50,1.0623,-0.0000,-0.0000,1.0846,0.0565,0.0562,0.5457,0.0105,0.0073
71.00,1.1223,-0.0000,-0.0000,1.1452,0.0600,0.0566,0.6064,0.0109,0.0078
71.50,1.1823,-0.0000,-0.0000,1.2090,0.0636,0.0573,0.6604,0.0114,0.0084
72.00,1.2293,-0.0000,-0.0000,1.2604,0.0666,0.0582,0.7056,0.0119,0.0093
72.50,1.2293,-0.0000,-0.0000,1.2604,0.0666,0.0590,0.7018,0.0119,0.0101
73.00,1.2293,-0.0000,-0.0000,1.2604,0.0666,0.0598,0.7018,0.0119,0.0109
73.50,1.2293,-0.0000,-0.0000,1.2604,0.0666,0.0605,0.7018,0.0119,0.0116
74.00,1.2293,-0.0000,-0.0000,1.2604,0.0666,0.0611,0.7018,0.0119,0.0122
74.50,1.2293,-0.0000,-0.0000,1.2604,0.0666,0.0610,0.7018,0.0119,0.0121
75.00,1.2293,-0.0000,-0.0000,1.2604,0.0666,0.0613,0.7018,0.0119,0.0125
75.50,1.2293,-0.0000,-0.0000,1.2604,0.0666,0.0618,0.7018,0.0119,0.0130
76.00,1.2293,-0.0000,-0.0000,1.2604,0.0666,0.0624,0.7018,0.0119,0.0135
76.50,1.2293,-0.0000,-0.0000,1.2604,0.0666,0.0627,0.7018,0.0119,0.0138
77.00,1.2293,-0.0000,-0.0000,1.2604,0.0666,0.0634,0.7018,0.0119,0.0146
77.50,1.2293,-0.0000,-0.0000,1.2604,0.0666,0.0640,0.7018,0.0119,0.0151
78.00,1.2293,-0.0000,-0.0000,1.2604,0.0666,0.0644,0.7018,0.0119,0.0155
78.50,1.2293,-0.0000,-0.0000,1.2604,0.0666,0.0649,0.7018,0.0119,0.0160
79.00,1.2293,-0.0000,-0.0000,1.2604,0.0666,0.0653,0.7018,0.0119,0.0165
79.50,1.2293,-0.0000,-0.0000,1.2604,0.0666,0.0659,0.7018,0.0119,0.0170
80.00,1.2293,-0.0000,-0.0000,1.2604,0.0666,0.0662,0.7018,0.0119,0.0174
80.50,1.2293,-0.0000,-0.0000,1.2604,0.0666,0.0674,0.7018,0.0119,0.0185
81.00,1.2293,-0.0000,-0.0000,1.2604,0.0666,0.0679,0.7018,0.0119,0.0191
81.50,1.2293,-0.0000,-0.0000,1.2604,0.0666,0.0682,0.7018,0.0119,0.0194
82.00,1.2194,-0.0000,-0.0000,1.2499,0.0659,0.0687,0.6913,0.0117,0.0198
82.50,1.1994,-0.0000,-0.0000,1.2293,0.0644,0.0690,0.6706,0.0113,0.0201
83.00,1.1794,-0.0000,-0.0000,1.2069,0.0629,0.0694,0.6482,0.0108,0.0206
83.50,1.1594,-0.0000,-0.0000,1.1860,0.0614,0.0696,0.6272,0.0104,0.0208
84.00,1.1394,-0.0000,-0.0000,1.1616,0.0597,0.0699,0.6028,0.0099,0.0211
84.50,1.1194,-0.0000,-0.0000,1.1418,0.0583,0.0703,0.5830,0.0095,0.0215
85.00,1.0994,-0.0000,-0.0000,1.1226,0.0570,0.0706,0.6237,0.0121,0.0078
85.50,1.0794,-0.0000,-0.0000,1.1022,0.0555,0.0713,0.6033,0.0120,0.0084
86.00,1.0594,-0.0000,-0.0000,1.0804,0.0540,0.0714,0.5814,0.0118,0.0086
86.50,1.0394,-0.0000,-0.0000,1.0605,0.0525,0.0715,0.5614,0.0116,0.0086
87.00,1.0194,-0.0000,-0.0000,1.0394,0.0510,0.0721,0.5155,0.0114,0.0093
87.50,0.9994,-0.0000,-0.0000,1.0205,0.0497,0.0724,0.4813,0.0112,0.0095
88.00,0.9814,-0.0000,-0.0000,1.0026,0.0484,0.0723,0.4634,0.0111,0.0095
88.50,0.9813,-0.0000,-0.0000,1.0016,0.0483,0.0726,0.4624,0.0111,0.0098
89.00,0.9813,-0.0000,-0.0000,1.0016,0.0483,0.0732,0.4624,0.0111,0.0104
89.50,0.9813,-0.0000,-0.0000,1.0016,0.0483,0.0740,0.4624,0.0111,0.0112
90.00,0.9813,-0.0000,-0.0000,1.0016,0.0483,0.0744,0.4624,0.0111,0.0116
90.50,0.9813,-0.0000,-0.0000,1.0016,0.0483,0.0755,0.4624,0.0111,0.0126
91.00,0.9813,0.0016,0.0426,1.0018,0.0483,0.1124,0.4625,0.0111,0.0495
91.50,0.9813,0.0112,0.2439,1.0111,0.0503,0.3092,0.4720,0.0125,0.2463
92.00,0.9815,0.0286,0.4547,1.0267,0.0573,0.5223,0.4880,0.0184,0.4595
