t,robot,x,y
55.0,leo1,0.000,0.000
56.0,leo1,0.000,0.000
57.0,leo1,0.000,0.000
58.0,leo1,0.000,0.000
59.0,leo1,0.000,0.000
60.0,leo1,0.000,0.000
61.0,leo1,0.000,0.000
62.0,leo1,0.040,0.002
63.0,leo1,0.084,0.002
64.0,leo1,0.120,0.003
65.0,leo1,0.099,0.004
66.0,leo1,0.147,0.005
67.0,leo1,0.207,0.007
68.0,leo1,0.288,0.008
69.0,leo1,0.390,0.009
70.0,leo1,0.507,0.010
71.0,leo1,0.606,0.011
72.0,leo1,0.706,0.012
73.0,leo1,0.702,0.012
74.0,leo1,0.702,0.012
75.0,leo1,0.702,0.012
76.0,leo1,0.702,0.012
77.0,leo1,0.702,0.012
78.0,leo1,0.702,0.012
79.0,leo1,0.702,0.012
80.0,leo1,0.702,0.012
81.0,leo1,0.702,0.012
82.0,leo1,0.691,0.012
83.0,leo1,0.648,0.011
84.0,leo1,0.603,0.010
85.0,leo1,0.624,0.012
86.0,leo1,0.581,0.012
87.0,leo1,0.515,0.011
88.0,leo1,0.463,0.011
89.0,leo1,0.462,0.011
90.0,leo1,0.462,0.011
91.0,leo1,0.463,0.011
92.0,leo1,0.488,0.018
93.0,leo1,0.498,0.025
94.0,leo1,0.491,0.019
95.0,leo1,0.460,-0.005
96.0,leo1,0.429,-0.031
97.0,leo1,0.405,-0.035
98.0,leo1,0.372,-0.060
99.0,leo1,0.350,-0.075
100.0,leo1,0.316,-0.101
101.0,leo1,0.313,-0.103
102.0,leo1,0.313,-0.103
103.0,leo1,0.313,-0.103
104.0,leo1,0.313,-0.103
105.0,leo1,0.313,-0.103
106.0,leo1,0.314,-0.103
107.0,leo1,0.313,-0.103
108.0,leo1,0.313,-0.104
109.0,leo1,0.313,-0.104
110.0,leo1,0.312,-0.106
111.0,leo1,0.307,-0.108
112.0,leo1,0.305,-0.112
113.0,leo1,0.302,-0.120
114.0,leo1,0.298,-0.130
115.0,leo1,0.295,-0.144
116.0,leo1,0.231,-0.115
117.0,leo1,0.180,0.042
118.0,leo1,0.101,0.278
119.0,leo1,-0.012,0.513
120.0,leo1,-0.068,0.740
121.0,leo1,-0.172,0.965
122.0,leo1,-0.220,1.059
123.0,leo1,-0.177,1.037
124.0,leo1,-0.177,1.037
125.0,leo1,-0.177,1.037
126.0,leo1,-0.177,1.037
127.0,leo1,-0.176,1.036
128.0,leo1,-0.174,1.035
129.0,leo1,-0.172,1.034
130.0,leo1,-0.169,1.032
131.0,leo1,-0.163,1.029
132.0,leo1,-0.156,1.026
133.0,leo1,-0.145,1.024
134.0,leo1,-0.132,1.022
135.0,leo1,-0.192,0.998
136.0,leo1,-0.199,0.998
137.0,leo1,-0.276,0.982
138.0,leo1,-0.522,0.870
139.0,leo1,-0.756,0.786
140.0,leo1,-0.988,0.688
141.0,leo1,-1.240,0.626
142.0,leo1,-1.295,0.602
143.0,leo1,-1.300,0.601
144.0,leo1,-1.485,0.577
145.0,leo1,-1.740,0.527
146.0,leo1,-1.984,0.464
147.0,leo1,-2.244,0.429
148.0,leo1,-2.491,0.372
149.0,leo1,-2.744,0.297
150.0,leo1,-2.994,0.214
151.0,leo1,-3.236,0.145
152.0,leo1,-3.311,0.095
153.0,leo1,-3.290,0.096
154.0,leo1,-3.291,0.095
155.0,leo1,-3.291,0.095
156.0,leo1,-3.291,0.095
157.0,leo1,-3.269,0.116
158.0,leo1,-3.250,0.141
159.0,leo1,-3.218,0.172
160.0,leo1,-3.188,0.200
161.0,leo1,-3.161,0.227
162.0,leo1,-3.132,0.255
163.0,leo1,-3.122,0.272
164.0,leo1,-3.122,0.272
165.0,leo1,-3.122,0.272
166.0,leo1,-3.122,0.272
167.0,leo1,-3.112,0.294
168.0,leo1,-3.078,0.291
169.0,leo1,-3.078,0.291
170.0,leo1,-3.078,0.291
171.0,leo1,-3.078,0.299
172.0,leo1,-3.077,0.293
173.0,leo1,-3.075,0.278
174.0,leo1,-3.072,0.266
175.0,leo1,-3.069,0.256
176.0,leo1,-3.066,0.249
177.0,leo1,-3.063,0.244
178.0,leo1,-3.061,0.240
179.0,leo1,-3.059,0.238
180.0,leo1,-3.059,0.237
181.0,leo1,-3.059,0.237
182.0,leo1,-3.059,0.237
183.0,leo1,-3.060,0.238
184.0,leo1,-3.061,0.239
185.0,leo1,-3.065,0.241
186.0,leo1,-3.071,0.244
187.0,leo1,-3.079,0.247
188.0,leo1,-3.088,0.250
189.0,leo1,-3.056,0.247
190.0,leo1,-2.732,0.351
191.0,leo1,-2.469,0.339
192.0,leo1,-2.226,0.317
193.0,leo1,-1.953,0.322
194.0,leo1,-1.694,0.319
195.0,leo1,-1.449,0.322
196.0,leo1,-1.187,0.315
197.0,leo1,-0.933,0.321
198.0,leo1,-0.659,0.319
199.0,leo1,-0.412,0.319
200.0,leo1,-0.152,0.317
201.0,leo1,0.098,0.317
202.0,leo1,0.385,0.316
203.0,leo1,0.617,0.312
204.0,leo1,0.870,0.310
205.0,leo1,1.126,0.303
206.0,leo1,1.396,0.304
207.0,leo1,1.642,0.304
208.0,leo1,1.907,0.293
209.0,leo1,2.158,0.234
210.0,leo1,2.436,0.162
211.0,leo1,2.681,0.098
212.0,leo1,2.941,0.046
213.0,leo1,3.183,-0.038
214.0,leo1,3.453,-0.099
215.0,leo1,3.683,-0.174
216.0,leo1,3.930,-0.258
217.0,leo1,4.183,-0.342
218.0,leo1,4.459,-0.430
219.0,leo1,4.698,-0.525
220.0,leo1,4.966,-0.623
221.0,leo1,5.167,-0.764
222.0,leo1,5.286,-0.905
223.0,leo1,5.342,-1.153
224.0,leo1,5.349,-1.415
225.0,leo1,5.351,-1.676
226.0,leo1,5.355,-1.926
227.0,leo1,5.369,-2.028
228.0,leo1,5.371,-2.041
229.0,leo1,5.374,-2.052
230.0,leo1,5.378,-2.062
231.0,leo1,5.402,-2.027
232.0,leo1,5.405,-2.032
233.0,leo1,5.407,-2.035
234.0,leo1,5.407,-2.036
235.0,leo1,5.407,-2.035
236.0,leo1,5.407,-2.035
237.0,leo1,5.407,-2.035
238.0,leo1,5.404,-2.033
239.0,leo1,5.402,-2.032
240.0,leo1,5.398,-2.030
241.0,leo1,5.391,-2.026
242.0,leo1,5.381,-2.023
243.0,leo1,5.369,-2.020
244.0,leo1,5.355,-2.019
245.0,leo1,5.399,-1.965
246.0,leo1,5.413,-1.964
247.0,leo1,5.427,-1.962
248.0,leo1,5.437,-1.960
249.0,leo1,5.445,-1.957
250.0,leo1,5.451,-1.954
251.0,leo1,5.456,-1.951
252.0,leo1,5.419,-1.888
253.0,leo1,5.421,-1.886
254.0,leo1,5.422,-1.886
255.0,leo1,5.421,-1.886
256.0,leo1,5.421,-1.886
257.0,leo1,5.420,-1.888
258.0,leo1,5.418,-1.891
259.0,leo1,5.416,-1.894
260.0,leo1,5.412,-1.902
261.0,leo1,5.409,-1.910
262.0,leo1,5.408,-1.914
263.0,leo1,5.373,-1.712
264.0,leo1,5.391,-1.446
265.0,leo1,5.377,-1.195
266.0,leo1,5.332,-0.944
267.0,leo1,5.191,-0.766
268.0,leo1,4.961,-0.642
269.0,leo1,4.687,-0.591
270.0,leo1,4.425,-0.606
271.0,leo1,4.157,-0.588
272.0,leo1,3.900,-0.587
273.0,leo1,3.636,-0.582
274.0,leo1,3.371,-0.585
275.0,leo1,3.101,-0.579
276.0,leo1,2.836,-0.581
277.0,leo1,2.592,-0.581
278.0,leo1,2.344,-0.581
279.0,leo1,2.055,-0.585
280.0,leo1,1.790,-0.580
281.0,leo1,1.531,-0.584
282.0,leo1,1.276,-0.582
283.0,leo1,1.004,-0.581
284.0,leo1,0.760,-0.580
285.0,leo1,0.502,-0.583
286.0,leo1,0.259,-0.587
287.0,leo1,0.015,-0.577
288.0,leo1,-0.275,-0.584
289.0,leo1,-0.542,-0.579
290.0,leo1,-0.801,-0.582
291.0,leo1,-1.060,-0.582
292.0,leo1,-1.303,-0.585
293.0,leo1,-1.573,-0.583
294.0,leo1,-1.831,-0.582
