x,y
0.0000,0.0000
0.5085,-0.0089
0.7225,-0.0112
0.7649,0.0421
0.6791,0.0501
-0.0616,0.7866
0.0803,2.1038
0.0048,1.8888
0.0176,1.9272
0.1567,1.8119
0.1102,1.7711
-0.1506,1.4960
-0.1191,0.9256
0.1341,0.6636
1.4673,0.4075
2.2477,0.0588
3.1937,-0.1343
3.4713,-0.1564
5.2457,-0.9322
5.4852,-1.2070
5.4585,-1.0704
5.3299,-0.9777
5.2558,-0.9774
5.2669,-0.9807
5.2724,-2.3533
5.3011,-2.8513
5.8564,-5.1350
6.1107,-5.2951
6.1076,-5.2235
6.0414,-5.2266
5.6906,-4.8532
5.6644,-2.5098
6.5003,-0.1944
7.2508,0.8654
6.7792,1.9455
6.9675,3.0577
7.2640,5.4616
8.0872,5.6619
8.9121,3.7422
7.7929,1.4639
6.8679,0.1624
6.4703,0.3549
4.8464,0.3919
2.2845,0.5060
-0.3249,0.5067
-2.8885,0.2883
-5.3632,-0.4601
-6.4487,-1.5207
-6.4638,-1.5542
-6.4163,-1.5393
-6.4918,-1.4173
-6.7994,-0.5674
-8.1077,1.5246
-8.1559,1.8013
-8.1860,1.7225
-8.1767,1.6536
-8.1767,1.6516
-8.1497,1.6298
-8.1830,1.6441
-8.0312,1.7695
-8.0480,1.7274
-8.6529,2.3326
-10.3930,4.2689
-10.5543,5.6740
-10.5673,5.6133
-10.5506,5.5321
-10.5521,5.5346
-10.6330,5.5710
-10.1925,5.7497
-8.1403,5.5434
-7.9966,2.9513
-7.7561,0.4773
-6.6238,-0.9945
-6.7113,-1.4924
-6.6689,-1.4778
-6.7437,-1.3389
-6.7502,-1.3344
-6.7480,-1.3364
-6.7494,-1.3354
-6.5744,-1.5376
-6.5302,-1.5258
