ground-truth markers : 8
detected correctly   : 6/8
missed               : 0
false positives      : 2
frames processed     : 5620 (816 contained a marker)
position error       : mean 0.704 m, median 0.756 m, max 1.101 m

 id  status        err_m   detected (x, y)      truth (x, y)
  1  GROSS         1.561   (-10.40, -0.51)   (-11.88,  0.00)
  2  GROSS         2.653   (  9.23,  0.60)   ( 11.88,  0.50)
  3  ok            1.101   ( -8.89,  7.23)   ( -8.00,  7.88)
  4  ok            0.756   ( -4.23,  4.33)   ( -3.88,  5.00)
  5  ok            1.097   ( 10.79,  5.15)   ( 11.88,  5.00)
  6  ok            0.649   (-11.57, -5.57)   (-11.88, -5.00)
  7  ok            0.395   (  4.01, -7.49)   (  4.00, -7.88)
  8  ok            0.224   ( -3.19, -1.20)   ( -3.00, -1.32)
