t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
78.00,-0.0000,0.0000,0.0000,,,,,,
78.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0595,0.0000,0.0000,0.0595
79.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0602,0.0000,0.0000,0.0602
79.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0607,0.0000,0.0000,0.0607
80.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0607,0.0000,0.0000,0.0607
80.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0610,0.0000,0.0000,0.0610
81.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0615,0.0000,0.0000,0.0615
81.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0618,0.0000,0.0000,0.0618
82.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0625,0.0000,0.0000,0.0625
82.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0630,0.0000,0.0000,0.0630
83.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0636,0.0000,0.0000,0.0636
83.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0640,0.0000,0.0000,0.0640
84.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0645,0.0000,0.0000,0.0645
84.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0650,0.0000,0.0000,0.0650
85.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0655,0.0000,0.0000,0.0655
85.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0661,0.0000,0.0000,0.0661
86.00,0.0237,-0.0000,-0.0000,0.0201,0.0013,0.0671,0.0201,0.0013,0.0671
86.50,0.0837,-0.0000,-0.0000,0.0812,0.0055,0.0672,0.0812,0.0055,0.0672
87.00,0.1437,-0.0000,-0.0000,0.1435,0.0097,0.0679,0.1032,-0.0041,0.0085
87.50,0.2037,-0.0000,-0.0000,0.2065,0.0140,0.0681,0.0864,-0.0035,0.0088
88.00,0.2637,-0.0000,-0.0000,0.2694,0.0183,0.0687,0.1094,-0.0030,0.0093
88.50,0.3237,-0.0000,-0.0000,0.3315,0.0226,0.0690,0.1217,-0.0024,0.0097
89.00,0.3837,-0.0000,-0.0000,0.3894,0.0266,0.0691,0.0898,-0.0018,0.0098
89.50,0.4437,-0.0000,-0.0000,0.4539,0.0310,0.0696,0.1544,-0.0011,0.0102
90.00,0.5037,-0.0000,-0.0000,0.5174,0.0355,0.0698,0.1280,-0.0005,0.0105
90.50,0.5637,-0.0000,-0.0000,0.5756,0.0396,0.0702,0.1364,0.0001,0.0108
91.00,0.6237,-0.0000,-0.0000,0.6355,0.0438,0.0709,0.1164,0.0014,0.0081
91.50,0.6837,-0.0000,-0.0000,0.6977,0.0482,0.0711,0.1788,0.0019,0.0083
92.00,0.7437,-0.0000,-0.0000,0.7567,0.0524,0.0712,0.1979,0.0028,0.0049
92.50,0.8037,-0.0000,-0.0000,0.8174,0.0568,0.0716,0.2459,0.0031,0.0053
93.00,0.8637,-0.0000,-0.0000,0.8785,0.0612,0.0721,0.3001,0.0035,0.0058
93.50,0.9237,-0.0000,-0.0000,0.9399,0.0656,0.0719,0.3415,0.0038,0.0056
94.00,0.9837,-0.0000,-0.0000,1.0043,0.0702,0.0722,0.4062,0.0042,0.0059
94.50,1.0437,-0.0000,-0.0000,1.0651,0.0747,0.0729,0.4443,0.0046,0.0066
95.00,1.1037,-0.0000,-0.0000,1.1240,0.0790,0.0734,0.4961,0.0050,0.0071
95.50,1.1637,-0.0000,-0.0000,1.1877,0.0837,0.0743,0.5500,0.0060,0.0045
96.00,1.2237,-0.0000,-0.0000,1.2491,0.0883,0.0752,0.5916,0.0063,0.0054
96.50,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0755,0.6184,0.0065,0.0057
97.00,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0756,0.6184,0.0065,0.0058
97.50,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0764,0.6184,0.0065,0.0066
98.00,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0775,0.6184,0.0065,0.0077
98.50,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0775,0.6184,0.0065,0.0077
99.00,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0779,0.6184,0.0065,0.0081
99.50,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0787,0.6184,0.0065,0.0089
100.00,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0794,0.6184,0.0065,0.0096
100.50,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0797,0.6184,0.0065,0.0099
101.00,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0807,0.6184,0.0065,0.0109
101.50,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0815,0.6184,0.0065,0.0117
102.00,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0821,0.6184,0.0065,0.0123
102.50,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0828,0.6184,0.0065,0.0130
103.00,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0833,0.6184,0.0065,0.0135
103.50,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0837,0.6184,0.0065,0.0139
104.00,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0846,0.6184,0.0065,0.0148
104.50,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0849,0.6184,0.0065,0.0151
105.00,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0856,0.6184,0.0065,0.0158
105.50,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0861,0.6184,0.0065,0.0163
106.00,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0874,0.6184,0.0065,0.0176
106.50,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0879,0.6184,0.0065,0.0181
107.00,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0881,0.6184,0.0065,0.0183
107.50,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0883,0.6184,0.0065,0.0185
108.00,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0892,0.6184,0.0065,0.0194
108.50,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0895,0.6184,0.0065,0.0197
109.00,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0908,0.6184,0.0065,0.0210
109.50,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0912,0.6184,0.0065,0.0214
110.00,1.2586,-0.0000,-0.0000,1.2858,0.0911,0.0919,0.6184,0.0065,0.0221
110.50,1.2586,0.0013,0.0235,1.2865,0.0911,0.1114,0.6192,0.0065,0.0416
111.00,1.2586,0.0086,0.0755,1.2933,0.0921,0.1638,0.6260,0.0070,0.0940
111.50,1.2586,0.0157,0.1256,1.2995,0.0933,0.2142,0.6322,0.0077,0.1444
112.00,1.2586,0.0225,0.1740,1.3054,0.0947,0.2635,0.6382,0.0087,0.1937
112.50,1.2586,0.0287,0.2208,1.3102,0.0961,0.3116,0.6431,0.0098,0.2418
113.00,1.2586,0.0344,0.2661,1.3160,0.0981,0.3576,0.6491,0.0114,0.2878
113.50,1.2587,0.0397,0.3101,1.3211,0.1001,0.4024,0.6543,0.0131,0.3326
114.00,1.2587,0.0445,0.3528,1.3255,0.1021,0.4453,0.6377,0.0480,0.3580
114.50,1.2588,0.0487,0.3943,1.3292,0.1040,0.4874,0.6416,0.0495,0.4001
115.00,1.2588,0.0525,0.4347,1.3325,0.1058,0.5285,0.6450,0.0510,0.4412
115.50,1.2588,0.0559,0.4740,1.3355,0.1076,0.5689,0.6482,0.0526,0.4817
116.00,1.2589,0.0587,0.5122,1.3387,0.1098,0.6086,0.6515,0.0544,0.5213
116.50,1.2589,0.0611,0.5494,1.3402,0.1109,0.6463,0.6532,0.0554,0.5590
117.00,1.2590,0.0630,0.5857,1.3416,0.1119,0.6833,0.6546,0.0563,0.5960
117.50,1.2590,0.0644,0.6210,1.3427,0.1129,0.7194,0.6558,0.0572,0.6322
118.00,1.2591,0.0654,0.6554,1.3433,0.1135,0.7543,0.6565,0.0577,0.6670
118.50,1.2592,0.0660,0.6889,1.3437,0.1138,0.7885,0.6569,0.0580,0.7013
119.00,1.2592,0.0661,0.7216,1.3438,0.1140,0.8226,0.6570,0.0582,0.7354
119.50,1.2590,0.0661,0.7544,1.3437,0.1138,0.8561,0.6569,0.0580,0.7689
120.00,1.2589,0.0660,0.7884,1.3436,0.1136,0.8907,0.6567,0.0579,0.8035
120.50,1.2589,0.0656,0.8222,1.3435,0.1136,0.9252,0.6567,0.0578,0.8379
121.00,1.2590,0.0654,0.8549,1.3433,0.1132,0.9589,0.6564,0.0575,0.8717
121.50,1.2588,0.0653,0.8877,1.3431,0.1129,0.9923,0.6562,0.0572,0.9050
122.00,1.2581,0.0653,0.9214,1.3426,0.1123,1.0270,0.6557,0.0566,0.9398
122.50,1.2571,0.0652,0.9560,1.3422,0.1115,1.0622,0.6552,0.0558,0.9750
123.00,1.2555,0.0652,0.9915,1.3415,0.1101,1.0986,0.6543,0.0545,1.0113
123.50,1.2535,0.0651,1.0279,1.3405,0.1082,1.1357,0.6532,0.0528,1.0485
124.00,1.2511,0.0651,1.0653,1.3395,0.1060,1.1742,0.6520,0.0506,1.0870
124.50,1.2482,0.0650,1.1037,1.3382,0.1027,1.2132,0.6505,0.0474,1.1260
125.00,1.2448,0.0650,1.1431,1.3371,0.0994,1.2537,0.6490,0.0442,1.1664
125.50,1.2409,0.0650,1.1837,1.3357,0.0949,1.2949,0.6473,0.0398,1.2076
126.00,1.2365,0.0649,1.2254,1.3347,0.0910,1.3376,0.6459,0.0361,1.2504
126.50,1.2317,0.0649,1.2683,1.3336,0.0857,1.3811,0.6443,0.0309,1.2938
127.00,1.2263,0.0648,1.3125,1.3326,0.0803,1.4259,0.6429,0.0256,1.3387
127.50,1.2205,0.0648,1.3581,1.3320,0.0753,1.4726,0.6419,0.0206,1.3854
128.00,1.2142,0.0648,1.4052,1.3316,0.0695,1.5206,0.6410,0.0149,1.4334
128.50,1.2074,0.0648,1.4539,1.3315,0.0640,1.5698,0.6403,0.0095,1.4825
129.00,1.2001,0.0648,1.5043,1.3316,0.0559,1.6208,0.6398,0.0014,1.5336
129.50,1.1924,0.0648,1.5567,1.3322,0.0482,1.6745,0.5854,0.0638,1.5663
130.00,1.1844,0.0648,1.6100,1.3319,0.0503,1.7284,0.5853,0.0660,1.6202
130.50,1.1793,0.0648,1.6536,1.3310,0.0549,1.7726,0.5849,0.0706,1.6644
131.00,1.1724,0.0648,1.7034,1.3294,0.0621,1.8228,0.5841,0.0780,1.7146
131.50,1.1657,0.0648,1.7516,1.3272,0.0697,1.8718,0.5828,0.0857,1.7636
132.00,1.1596,0.0648,1.7982,1.3254,0.0751,1.9188,0.5815,0.0913,1.8106
132.50,1.1539,0.0648,1.8433,1.3234,0.0803,1.9644,0.5801,0.0967,1.8562
133.00,1.1487,0.0649,1.8871,1.3212,0.0853,2.0085,0.5785,0.1019,1.9003
133.50,1.1440,0.0649,1.9296,1.3197,0.0884,2.0521,0.5773,0.1052,1.9440
134.00,1.1398,0.0650,1.9710,1.3178,0.0918,2.0941,0.5758,0.1087,1.9859
134.50,1.1361,0.0650,2.0112,1.3161,0.0946,2.1348,0.5744,0.1117,2.0266
135.00,1.1327,0.0658,2.0520,1.3143,0.0975,2.1747,0.5728,0.1148,2.0665
135.50,1.1157,0.1015,2.1508,1.2920,0.1262,2.2735,0.5418,0.1047,2.1514
136.00,1.0578,0.1880,2.1699,1.2264,0.2011,2.2974,0.4758,0.1870,2.1753
136.50,0.9833,0.2949,2.1821,1.1355,0.3019,2.3107,0.3677,0.2981,2.1886
137.00,0.9072,0.4007,2.2039,1.0475,0.3970,2.3297,0.2949,0.4032,2.2098
137.50,0.8314,0.4964,2.2976,0.9578,0.4858,2.4164,0.2136,0.4921,2.2977
138.00,0.7384,0.5862,2.4442,0.8523,0.5657,2.5663,0.1347,0.5839,2.4476
138.50,0.6337,0.6652,2.5628,0.7355,0.6311,2.6910,0.0301,0.6622,2.5689
139.00,0.5242,0.7362,2.5614,0.6121,0.6887,2.6986,-0.0434,0.7353,2.5731
139.50,0.4208,0.8115,2.4324,0.4979,0.7499,2.5776,-0.1328,0.8092,2.4485
140.00,0.3294,0.9038,2.2802,0.3977,0.8259,2.4191,-0.1965,0.8984,2.2888
140.50,0.2585,0.9959,2.1241,0.3123,0.9106,2.2731,-0.2437,0.9977,2.1457
141.00,0.2014,1.1050,1.8769,0.2420,1.0176,2.0258,-0.3035,1.1090,1.8914
141.50,0.1523,1.2255,1.5885,0.1987,1.1463,1.7395,-0.3425,1.2361,1.6086
142.00,0.1309,1.3538,1.3389,0.1935,1.2831,1.4865,-0.3629,1.3559,1.3521
142.50,0.1504,1.4759,1.1280,0.2182,1.4063,1.2696,-0.3593,1.4712,1.1353
143.00,0.2050,1.5887,0.9887,0.2637,1.5192,1.1211,-0.3150,1.5869,0.9924
143.50,0.2782,1.6948,0.9324,0.3242,1.6343,1.0614,-0.2436,1.6930,0.9375
144.00,0.3588,1.7975,0.8823,0.3953,1.7559,1.0146,-0.1579,1.8049,0.8907
144.50,0.4438,1.8960,0.8541,0.4702,1.8708,0.9824,-0.0697,1.8999,0.8550
145.00,0.5260,1.9966,0.9320,0.5433,1.9874,1.0547,0.0079,2.0025,0.9295
145.50,0.5995,2.1039,1.0352,0.6021,2.1048,1.1615,0.0808,2.1053,1.0376
146.00,0.6449,2.1802,1.0513,0.6386,2.1943,1.1859,0.1281,2.1895,1.0620
146.50,0.6599,2.2024,1.0143,0.6500,2.2213,1.1495,0.1416,2.2056,1.0186
147.00,0.6618,2.2024,0.9782,0.6508,2.2232,1.1142,0.1427,2.2073,0.9834
147.50,0.6631,2.2025,0.9431,0.6515,2.2246,1.0802,0.1436,2.2086,0.9494
148.00,0.6640,2.2025,0.9089,0.6521,2.2256,1.0462,0.1443,2.2096,0.9154
148.50,0.6645,2.2026,0.8755,0.6525,2.2263,1.0127,0.1448,2.2102,0.8819
149.00,0.6646,2.2026,0.8430,0.6525,2.2264,0.9809,0.1448,2.2103,0.8500
149.50,0.6645,2.2030,0.8099,0.6530,2.2271,0.9482,0.1453,2.2109,0.8173
150.00,0.6645,2.2032,0.7757,0.6531,2.2272,0.9146,0.1454,2.2110,0.7837
150.50,0.6648,2.2033,0.7422,0.6533,2.2274,0.8817,0.1457,2.2112,0.7509
151.00,0.6648,2.2033,0.7096,0.6533,2.2275,0.8497,0.1458,2.2113,0.7188
