x,y
0.1280,-0.0005
0.6184,0.0065
0.6184,0.0065
0.6567,0.0579
0.5853,0.0660
-0.1965,0.8984
0.1454,2.2110
0.1497,2.1467
0.1686,2.0803
0.0850,2.0792
0.6616,0.5012
1.9114,0.0530
4.3580,-0.4901
5.4496,-1.3902
5.4004,-1.3755
5.3426,-1.2958
5.3770,-1.2413
6.3845,0.1810
6.5101,0.3436
6.4807,0.2821
6.4865,0.3149
7.2115,1.7768
7.2626,2.0860
7.2587,1.9904
7.2967,1.9140
6.4168,0.2092
6.1561,-1.9630
6.8103,-3.2545
7.3568,-4.1255
7.3197,-4.4858
7.3612,-4.4686
7.3010,-4.3333
7.2616,-4.3160
7.2522,-4.1850
6.1973,-1.9254
6.4356,-0.0915
7.1588,1.9193
7.0702,4.4442
7.2467,5.6143
8.3216,5.9750
8.6684,5.3676
8.6684,5.3676
8.6684,5.3676
8.6684,5.3676
8.6684,5.3676
8.6684,5.3676
8.6684,5.3676
8.6684,5.3676
8.6684,5.3676
8.6684,5.3676
8.6684,5.3676
8.6684,5.3676
8.6684,5.3676
8.6684,5.3676
8.6684,5.3676
