t,robot,x,y
79.0,leo1,0.000,0.000
80.0,leo1,0.000,0.000
81.0,leo1,0.000,0.000
82.0,leo1,0.000,0.000
83.0,leo1,0.000,0.000
84.0,leo1,0.000,0.000
85.0,leo1,0.000,0.000
86.0,leo1,0.020,0.001
87.0,leo1,0.103,-0.004
88.0,leo1,0.109,-0.003
89.0,leo1,0.090,-0.002
90.0,leo1,0.128,-0.000
91.0,leo1,0.116,0.001
92.0,leo1,0.198,0.003
93.0,leo1,0.300,0.003
94.0,leo1,0.406,0.004
95.0,leo1,0.496,0.005
96.0,leo1,0.592,0.006
97.0,leo1,0.618,0.006
98.0,leo1,0.618,0.006
99.0,leo1,0.618,0.006
100.0,leo1,0.618,0.006
101.0,leo1,0.618,0.006
102.0,leo1,0.618,0.006
103.0,leo1,0.618,0.006
104.0,leo1,0.618,0.006
105.0,leo1,0.618,0.006
106.0,leo1,0.618,0.006
107.0,leo1,0.618,0.006
108.0,leo1,0.618,0.006
109.0,leo1,0.618,0.006
110.0,leo1,0.618,0.006
111.0,leo1,0.626,0.007
112.0,leo1,0.638,0.009
113.0,leo1,0.649,0.011
114.0,leo1,0.638,0.048
115.0,leo1,0.645,0.051
116.0,leo1,0.652,0.054
117.0,leo1,0.655,0.056
118.0,leo1,0.656,0.058
119.0,leo1,0.657,0.058
120.0,leo1,0.657,0.058
121.0,leo1,0.656,0.057
122.0,leo1,0.656,0.057
123.0,leo1,0.654,0.055
124.0,leo1,0.652,0.051
125.0,leo1,0.649,0.044
126.0,leo1,0.646,0.036
127.0,leo1,0.643,0.026
128.0,leo1,0.641,0.015
129.0,leo1,0.640,0.001
130.0,leo1,0.585,0.066
131.0,leo1,0.584,0.078
132.0,leo1,0.582,0.091
133.0,leo1,0.578,0.102
134.0,leo1,0.576,0.109
135.0,leo1,0.573,0.115
136.0,leo1,0.476,0.187
137.0,leo1,0.295,0.403
138.0,leo1,0.135,0.584
139.0,leo1,-0.043,0.735
140.0,leo1,-0.197,0.898
141.0,leo1,-0.304,1.109
142.0,leo1,-0.363,1.356
143.0,leo1,-0.315,1.587
144.0,leo1,-0.158,1.805
145.0,leo1,0.008,2.002
146.0,leo1,0.128,2.190
147.0,leo1,0.143,2.207
148.0,leo1,0.144,2.210
149.0,leo1,0.145,2.210
150.0,leo1,0.145,2.211
151.0,leo1,0.146,2.211
152.0,leo1,0.145,2.211
153.0,leo1,0.143,2.209
154.0,leo1,0.139,2.207
155.0,leo1,0.135,2.205
156.0,leo1,0.127,2.202
157.0,leo1,0.118,2.199
158.0,leo1,0.106,2.196
159.0,leo1,0.092,2.194
160.0,leo1,0.150,2.147
161.0,leo1,0.164,2.145
162.0,leo1,0.174,2.143
163.0,leo1,0.185,2.140
164.0,leo1,0.170,2.106
165.0,leo1,0.161,2.085
166.0,leo1,0.165,2.083
167.0,leo1,0.165,2.083
168.0,leo1,0.167,2.081
169.0,leo1,0.168,2.081
170.0,leo1,0.169,2.080
171.0,leo1,0.169,2.080
172.0,leo1,0.168,2.081
173.0,leo1,0.167,2.083
174.0,leo1,0.165,2.086
175.0,leo1,0.162,2.092
176.0,leo1,0.158,2.100
177.0,leo1,0.155,2.109
178.0,leo1,0.153,2.120
179.0,leo1,0.151,2.134
180.0,leo1,0.085,2.079
181.0,leo1,0.075,2.017
182.0,leo1,-0.059,1.804
183.0,leo1,-0.195,1.579
184.0,leo1,-0.282,1.331
185.0,leo1,-0.262,1.083
186.0,leo1,-0.140,0.870
187.0,leo1,0.055,0.718
188.0,leo1,0.259,0.592
189.0,leo1,0.475,0.521
190.0,leo1,0.662,0.501
191.0,leo1,0.722,0.502
192.0,leo1,0.738,0.501
193.0,leo1,0.753,0.499
194.0,leo1,0.781,0.456
195.0,leo1,0.966,0.426
196.0,leo1,1.007,0.414
197.0,leo1,1.213,0.349
198.0,leo1,1.457,0.268
199.0,leo1,1.686,0.170
200.0,leo1,1.911,0.053
201.0,leo1,2.176,-0.054
202.0,leo1,2.357,-0.201
203.0,leo1,2.609,-0.298
204.0,leo1,2.856,-0.373
205.0,leo1,3.122,-0.390
206.0,leo1,3.393,-0.384
207.0,leo1,3.638,-0.387
208.0,leo1,3.902,-0.367
209.0,leo1,4.124,-0.399
210.0,leo1,4.358,-0.490
211.0,leo1,4.592,-0.558
212.0,leo1,4.826,-0.584
213.0,leo1,5.038,-0.666
214.0,leo1,5.200,-0.758
215.0,leo1,5.344,-0.928
216.0,leo1,5.409,-1.176
217.0,leo1,5.445,-1.359
218.0,leo1,5.454,-1.366
219.0,leo1,5.452,-1.380
220.0,leo1,5.450,-1.390
221.0,leo1,5.446,-1.400
222.0,leo1,5.404,-1.367
223.0,leo1,5.402,-1.371
224.0,leo1,5.400,-1.374
225.0,leo1,5.398,-1.376
226.0,leo1,5.398,-1.377
227.0,leo1,5.398,-1.377
228.0,leo1,5.398,-1.377
229.0,leo1,5.398,-1.377
230.0,leo1,5.400,-1.375
231.0,leo1,5.405,-1.373
232.0,leo1,5.412,-1.370
233.0,leo1,5.420,-1.367
234.0,leo1,5.429,-1.364
235.0,leo1,5.441,-1.362
236.0,leo1,5.412,-1.324
237.0,leo1,5.375,-1.303
238.0,leo1,5.361,-1.301
239.0,leo1,5.352,-1.299
240.0,leo1,5.343,-1.296
241.0,leo1,5.386,-1.243
242.0,leo1,5.380,-1.240
243.0,leo1,5.376,-1.238
244.0,leo1,5.374,-1.236
245.0,leo1,5.373,-1.236
246.0,leo1,5.373,-1.235
247.0,leo1,5.373,-1.235
248.0,leo1,5.374,-1.236
249.0,leo1,5.375,-1.238
250.0,leo1,5.377,-1.241
251.0,leo1,5.380,-1.247
252.0,leo1,5.382,-1.252
253.0,leo1,5.383,-1.071
254.0,leo1,5.385,-0.857
255.0,leo1,5.438,-0.684
256.0,leo1,5.613,-0.522
257.0,leo1,5.830,-0.373
258.0,leo1,6.024,-0.189
259.0,leo1,6.199,-0.002
260.0,leo1,6.384,0.181
261.0,leo1,6.543,0.337
262.0,leo1,6.571,0.363
263.0,leo1,6.570,0.362
264.0,leo1,6.567,0.360
265.0,leo1,6.562,0.357
266.0,leo1,6.556,0.354
267.0,leo1,6.546,0.350
268.0,leo1,6.536,0.347
269.0,leo1,6.523,0.345
270.0,leo1,6.510,0.344
271.0,leo1,6.536,0.295
272.0,leo1,6.526,0.296
273.0,leo1,6.514,0.298
274.0,leo1,6.504,0.300
275.0,leo1,6.507,0.271
276.0,leo1,6.498,0.274
277.0,leo1,6.490,0.277
278.0,leo1,6.483,0.281
279.0,leo1,6.477,0.285
280.0,leo1,6.481,0.282
281.0,leo1,6.482,0.281
282.0,leo1,6.481,0.282
283.0,leo1,6.478,0.285
284.0,leo1,6.472,0.288
285.0,leo1,6.471,0.275
286.0,leo1,6.463,0.278
287.0,leo1,6.450,0.281
288.0,leo1,6.437,0.283
289.0,leo1,6.470,0.314
290.0,leo1,6.487,0.315
291.0,leo1,6.532,0.325
292.0,leo1,6.631,0.405
293.0,leo1,6.638,0.408
294.0,leo1,6.666,0.425
295.0,leo1,6.824,0.577
296.0,leo1,6.994,0.777
297.0,leo1,7.126,1.009
298.0,leo1,7.193,1.266
299.0,leo1,7.204,1.530
300.0,leo1,7.211,1.777
301.0,leo1,7.212,2.017
302.0,leo1,7.226,2.052
303.0,leo1,7.248,2.053
304.0,leo1,7.251,2.062
305.0,leo1,7.255,2.073
306.0,leo1,7.257,2.078
307.0,leo1,7.260,2.082
308.0,leo1,7.261,2.085
309.0,leo1,7.262,2.085
310.0,leo1,7.263,2.086
311.0,leo1,7.263,2.086
312.0,leo1,7.262,2.086
313.0,leo1,7.260,2.084
314.0,leo1,7.257,2.082
315.0,leo1,7.251,2.079
316.0,leo1,7.243,2.076
317.0,leo1,7.233,2.072
318.0,leo1,7.220,2.069
319.0,leo1,7.205,2.067
320.0,leo1,7.259,1.990
321.0,leo1,7.272,1.989
322.0,leo1,7.284,1.987
323.0,leo1,7.294,1.985
324.0,leo1,7.302,1.982
325.0,leo1,7.307,1.979
326.0,leo1,7.291,1.918
327.0,leo1,7.295,1.915
328.0,leo1,7.296,1.914
329.0,leo1,7.296,1.914
330.0,leo1,7.297,1.914
331.0,leo1,7.297,1.913
332.0,leo1,7.370,1.789
333.0,leo1,7.461,1.547
334.0,leo1,7.481,1.317
335.0,leo1,7.375,1.109
336.0,leo1,7.184,0.942
337.0,leo1,6.995,0.756
338.0,leo1,6.820,0.566
339.0,leo1,6.607,0.381
340.0,leo1,6.417,0.209
341.0,leo1,6.274,0.003
342.0,leo1,6.160,-0.232
343.0,leo1,6.045,-0.469
344.0,leo1,5.923,-0.690
345.0,leo1,5.820,-0.930
346.0,leo1,5.748,-1.128
347.0,leo1,5.743,-1.327
348.0,leo1,5.879,-1.534
349.0,leo1,6.027,-1.731
350.0,leo1,6.156,-1.963
351.0,leo1,6.263,-2.199
352.0,leo1,6.399,-2.417
353.0,leo1,6.521,-2.655
354.0,leo1,6.626,-2.887
355.0,leo1,6.736,-3.126
356.0,leo1,6.819,-3.288
357.0,leo1,6.818,-3.293
358.0,leo1,6.814,-3.281
359.0,leo1,6.812,-3.268
360.0,leo1,6.810,-3.255
361.0,leo1,6.810,-3.254
362.0,leo1,6.812,-3.270
363.0,leo1,6.814,-3.282
364.0,leo1,6.817,-3.294
365.0,leo1,6.821,-3.303
366.0,leo1,6.834,-3.327
367.0,leo1,6.975,-3.493
368.0,leo1,7.154,-3.685
369.0,leo1,7.288,-3.881
370.0,leo1,7.357,-4.126
371.0,leo1,7.351,-4.377
372.0,leo1,7.333,-4.456
373.0,leo1,7.330,-4.466
374.0,leo1,7.327,-4.473
375.0,leo1,7.325,-4.478
376.0,leo1,7.323,-4.482
377.0,leo1,7.321,-4.484
378.0,leo1,7.320,-4.485
379.0,leo1,7.320,-4.485
380.0,leo1,7.320,-4.486
381.0,leo1,7.319,-4.486
382.0,leo1,7.319,-4.486
383.0,leo1,7.320,-4.486
384.0,leo1,7.321,-4.485
385.0,leo1,7.324,-4.483
386.0,leo1,7.327,-4.481
387.0,leo1,7.332,-4.478
388.0,leo1,7.340,-4.475
389.0,leo1,7.349,-4.472
390.0,leo1,7.361,-4.469
391.0,leo1,7.376,-4.466
392.0,leo1,7.301,-4.392
393.0,leo1,7.286,-4.391
394.0,leo1,7.275,-4.389
395.0,leo1,7.263,-4.386
396.0,leo1,7.257,-4.384
397.0,leo1,7.291,-4.324
398.0,leo1,7.287,-4.321
399.0,leo1,7.303,-4.327
400.0,leo1,7.301,-4.333
401.0,leo1,7.301,-4.333
402.0,leo1,7.317,-4.331
403.0,leo1,7.326,-4.330
404.0,leo1,7.309,-4.329
405.0,leo1,7.295,-4.327
406.0,leo1,7.283,-4.324
407.0,leo1,7.275,-4.322
408.0,leo1,7.270,-4.320
409.0,leo1,7.265,-4.318
410.0,leo1,7.262,-4.316
411.0,leo1,7.260,-4.315
412.0,leo1,7.258,-4.314
413.0,leo1,7.257,-4.313
414.0,leo1,7.257,-4.313
415.0,leo1,7.256,-4.312
416.0,leo1,7.256,-4.312
417.0,leo1,7.256,-4.312
418.0,leo1,7.257,-4.313
419.0,leo1,7.259,-4.317
420.0,leo1,7.252,-4.185
421.0,leo1,7.199,-3.925
422.0,leo1,7.154,-3.772
423.0,leo1,7.048,-3.549
424.0,leo1,6.907,-3.326
425.0,leo1,6.806,-3.078
426.0,leo1,6.677,-2.850
427.0,leo1,6.558,-2.618
428.0,leo1,6.428,-2.399
429.0,leo1,6.321,-2.165
430.0,leo1,6.197,-1.925
431.0,leo1,6.043,-1.718
432.0,leo1,5.884,-1.535
433.0,leo1,5.779,-1.305
434.0,leo1,5.732,-1.054
435.0,leo1,5.764,-0.796
436.0,leo1,5.867,-0.601
437.0,leo1,6.064,-0.428
438.0,leo1,6.194,-0.321
439.0,leo1,6.250,-0.267
440.0,leo1,6.436,-0.091
441.0,leo1,6.607,0.090
442.0,leo1,6.771,0.303
443.0,leo1,6.902,0.521
444.0,leo1,7.020,0.755
445.0,leo1,7.132,0.993
446.0,leo1,7.192,1.242
447.0,leo1,7.198,1.503
448.0,leo1,7.205,1.735
449.0,leo1,7.208,1.774
450.0,leo1,7.159,1.919
451.0,leo1,7.092,2.147
452.0,leo1,7.090,2.398
453.0,leo1,7.094,2.652
454.0,leo1,7.077,2.877
455.0,leo1,7.071,3.143
456.0,leo1,7.073,3.409
457.0,leo1,7.071,3.662
458.0,leo1,7.070,3.920
459.0,leo1,7.070,4.181
460.0,leo1,7.070,4.444
