[INFO] [1787192457.882088246] [sim_realism_odom]: realistic odom: yaw_scale=0.12 linear_scale=0.02 slip=0.01 -> /leo1/odom_wheel_like / TF leo1/odom->leo1/base_link
[INFO] [1787192457.883570192] [sim_realism_odom]: odom error: pos=0.000 m yaw=+0.0 deg after 0.0 m travelled
[INFO] [1787192466.266137274] [sim_realism_odom]: odom error: pos=0.000 m yaw=+0.0 deg after 0.0 m travelled
[INFO] [1787192476.311208809] [sim_realism_odom]: odom error: pos=0.000 m yaw=+0.0 deg after 0.0 m travelled
[INFO] [1787192486.328511511] [sim_realism_odom]: odom error: pos=0.000 m yaw=+0.0 deg after 0.0 m travelled
[INFO] [1787192496.352138455] [sim_realism_odom]: odom error: pos=0.000 m yaw=+0.0 deg after 0.0 m travelled
[INFO] [1787192506.409071180] [sim_realism_odom]: odom error: pos=0.000 m yaw=+0.0 deg after 0.0 m travelled
[INFO] [1787192516.441162543] [sim_realism_odom]: odom error: pos=0.020 m yaw=+0.1 deg after 1.1 m travelled
[INFO] [1787192526.463800776] [sim_realism_odom]: odom error: pos=0.033 m yaw=+0.3 deg after 1.2 m travelled
[INFO] [1787192536.464438119] [sim_realism_odom]: odom error: pos=0.095 m yaw=+6.7 deg after 1.3 m travelled
[INFO] [1787192546.480361142] [sim_realism_odom]: odom error: pos=0.144 m yaw=+15.1 deg after 1.7 m travelled
[INFO] [1787192556.480020112] [sim_realism_odom]: odom error: pos=0.456 m yaw=+13.6 deg after 3.2 m travelled
[INFO] [1787192566.479686735] [sim_realism_odom]: odom error: pos=0.461 m yaw=+9.2 deg after 3.2 m travelled
[INFO] [1787192576.479411602] [sim_realism_odom]: odom error: pos=0.446 m yaw=+4.0 deg after 5.6 m travelled
[INFO] [1787192586.479412440] [sim_realism_odom]: odom error: pos=0.409 m yaw=+8.7 deg after 5.8 m travelled
[INFO] [1787192596.478140618] [sim_realism_odom]: odom error: pos=0.345 m yaw=+14.9 deg after 5.9 m travelled
[INFO] [1787192606.478525721] [sim_realism_odom]: odom error: pos=0.316 m yaw=+20.1 deg after 5.9 m travelled
