t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
53.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0772,,,
53.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0780,0.0000,0.0000,-0.0780
54.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0790,0.0000,0.0000,-0.0790
54.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0801,0.0000,0.0000,-0.0801
55.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0814,0.0000,0.0000,-0.0814
55.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0828,0.0000,0.0000,-0.0828
56.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0838,0.0000,0.0000,-0.0838
56.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0846,0.0000,0.0000,-0.0846
57.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0853,0.0000,0.0000,-0.0853
57.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0864,0.0000,0.0000,-0.0864
58.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0874,0.0000,0.0000,-0.0874
58.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0882,0.0000,0.0000,-0.0882
59.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0895,0.0000,0.0000,-0.0895
59.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0898,0.0000,0.0000,-0.0898
60.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0914,0.0000,0.0000,-0.0914
60.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0930,0.0000,0.0000,-0.0930
61.00,0.0293,-0.0000,-0.0000,0.0272,-0.0025,-0.0936,0.0272,-0.0025,-0.0936
61.50,0.0893,-0.0000,-0.0000,0.0875,-0.0082,-0.0941,0.0871,-0.0017,-0.0463
62.00,0.1493,-0.0000,-0.0000,0.1458,-0.0138,-0.0957,0.1354,-0.0008,-0.0294
62.50,0.2093,-0.0000,-0.0000,0.2078,-0.0197,-0.0966,0.2076,-0.0027,-0.0303
63.00,0.2693,-0.0000,-0.0000,0.2649,-0.0253,-0.0969,0.2550,-0.0044,-0.0306
63.50,0.3293,-0.0000,-0.0000,0.3246,-0.0311,-0.0984,0.3150,-0.0063,-0.0321
64.00,0.3893,-0.0000,-0.0000,0.3880,-0.0374,-0.0998,0.3886,-0.0092,-0.0265
64.50,0.4493,-0.0000,-0.0000,0.4510,-0.0438,-0.1013,0.4519,-0.0109,-0.0280
65.00,0.5093,-0.0000,-0.0000,0.5111,-0.0499,-0.1023,0.5022,-0.0127,-0.0290
65.50,0.5693,-0.0000,-0.0000,0.5727,-0.0563,-0.1038,0.5642,-0.0145,-0.0305
66.00,0.6293,-0.0000,-0.0000,0.6311,-0.0624,-0.1050,0.6229,-0.0168,-0.0283
66.50,0.6893,-0.0000,-0.0000,0.6917,-0.0688,-0.1066,0.6937,-0.0185,-0.0298
67.00,0.7493,-0.0000,-0.0000,0.7516,-0.0753,-0.1079,0.7440,-0.0204,-0.0311
67.50,0.8093,-0.0000,-0.0000,0.8131,-0.0820,-0.1089,0.8058,-0.0223,-0.0322
68.00,0.8693,-0.0000,-0.0000,0.8715,-0.0884,-0.1101,0.8645,-0.0242,-0.0333
68.50,0.9293,-0.0000,-0.0000,0.9304,-0.0949,-0.1110,0.9337,-0.0268,-0.0307
69.00,0.9893,-0.0000,-0.0000,0.9918,-0.1018,-0.1122,0.9955,-0.0287,-0.0320
69.50,1.0493,-0.0000,-0.0000,1.0541,-0.1089,-0.1137,1.0481,-0.0217,-0.0264
70.00,1.1093,-0.0000,-0.0000,1.1188,-0.1163,-0.1148,1.1132,-0.0302,-0.0300
70.50,1.1693,-0.0000,-0.0000,1.1796,-0.1234,-0.1158,1.1645,-0.0259,-0.0250
71.00,1.2224,-0.0000,-0.0000,1.2370,-0.1301,-0.1166,1.2222,-0.0273,-0.0259
71.50,1.2224,-0.0000,-0.0000,1.2370,-0.1301,-0.1173,1.2222,-0.0267,-0.0300
72.00,1.2224,-0.0000,-0.0000,1.2370,-0.1301,-0.1179,1.2222,-0.0267,-0.0307
72.50,1.2224,-0.0000,-0.0000,1.2370,-0.1301,-0.1189,1.2222,-0.0267,-0.0316
73.00,1.2224,-0.0000,-0.0000,1.2370,-0.1301,-0.1201,1.2222,-0.0267,-0.0329
73.50,1.2224,-0.0000,-0.0000,1.2370,-0.1301,-0.1211,1.2222,-0.0267,-0.0339
74.00,1.2224,-0.0000,-0.0000,1.2370,-0.1301,-0.1223,1.2222,-0.0267,-0.0350
74.50,1.2224,-0.0000,-0.0000,1.2370,-0.1301,-0.1235,1.2222,-0.0267,-0.0362
75.00,1.2224,-0.0000,-0.0000,1.2370,-0.1301,-0.1250,1.2222,-0.0267,-0.0377
75.50,1.2224,-0.0000,-0.0000,1.2370,-0.1301,-0.1257,1.2222,-0.0267,-0.0385
76.00,1.2224,-0.0000,-0.0000,1.2370,-0.1301,-0.1263,1.2222,-0.0267,-0.0391
76.50,1.2224,-0.0000,-0.0000,1.2370,-0.1301,-0.1279,1.2222,-0.0267,-0.0407
77.00,1.2224,-0.0000,-0.0000,1.2370,-0.1301,-0.1296,1.2222,-0.0267,-0.0423
77.50,1.2224,-0.0000,-0.0000,1.2370,-0.1301,-0.1308,1.2222,-0.0267,-0.0436
78.00,1.2224,-0.0000,-0.0000,1.2370,-0.1301,-0.1317,1.2222,-0.0267,-0.0444
78.50,1.2224,-0.0000,-0.0000,1.2370,-0.1301,-0.1332,1.2222,-0.0267,-0.0459
