x,y
0.0000,0.0000
1.1132,-0.0302
1.2325,-0.0267
1.2478,0.0220
1.1155,0.3798
0.6827,1.7074
0.7648,1.7472
2.9042,2.5361
3.0652,2.5789
2.9706,2.6114
2.9069,2.6117
2.1579,2.5127
0.0892,0.9994
-0.9682,0.1970
-0.8843,0.1176
0.3061,-2.0364
0.5730,-2.4317
2.4133,-3.8328
2.5482,-3.8832
2.4765,-3.8863
2.4851,-3.6454
2.5627,-3.6473
2.5360,-3.6344
4.7598,-4.0233
4.7831,-4.0300
4.7101,-4.0742
4.6348,-4.0576
4.6747,-4.0453
4.6259,-3.9151
4.6192,-3.4043
4.5757,-0.8297
4.5427,-0.7002
4.4950,-0.8060
3.4485,-2.3665
1.5580,-4.0970
0.2762,-4.6997
-0.5808,-3.7524
-2.2824,-2.0012
-4.0081,-0.2933
-4.3058,0.4931
-4.3123,0.5167
-4.3796,0.4200
-5.3062,-1.0659
-5.3277,-3.3699
-5.3345,-3.1704
-5.3512,-3.1646
-5.1379,-2.9241
-3.0516,-1.3832
-1.4185,0.3983
-1.0991,2.5725
1.0850,3.4956
3.3971,4.5140
3.9102,5.3922
4.0062,5.4000
4.8862,5.1250
4.8889,5.1136
4.8933,3.2840
4.6603,1.2315
3.6567,1.2669
3.5788,1.3959
2.7473,1.4263
2.7593,1.4461
2.8262,1.3840
2.8893,1.4148
2.8892,1.4149
2.8892,1.4149
2.8892,1.4149
2.8892,1.4149
2.8892,1.4149
2.8892,1.4149
2.8892,1.4149
2.8892,1.4149
2.8892,1.4149
2.8892,1.4149
2.8892,1.4149
