t,robot,x,y
55.0,leo1,0.000,0.000
56.0,leo1,0.000,0.000
57.0,leo1,0.000,0.000
58.0,leo1,0.000,0.000
59.0,leo1,0.000,0.000
60.0,leo1,0.000,0.000
61.0,leo1,0.027,-0.003
62.0,leo1,0.135,-0.001
63.0,leo1,0.255,-0.004
64.0,leo1,0.389,-0.009
65.0,leo1,0.502,-0.013
66.0,leo1,0.623,-0.017
67.0,leo1,0.744,-0.020
68.0,leo1,0.865,-0.024
69.0,leo1,0.996,-0.029
70.0,leo1,1.113,-0.030
71.0,leo1,1.222,-0.027
72.0,leo1,1.222,-0.027
73.0,leo1,1.222,-0.027
74.0,leo1,1.222,-0.027
75.0,leo1,1.222,-0.027
76.0,leo1,1.222,-0.027
77.0,leo1,1.222,-0.027
78.0,leo1,1.222,-0.027
79.0,leo1,1.222,-0.027
80.0,leo1,1.233,-0.027
81.0,leo1,1.246,-0.026
82.0,leo1,1.260,-0.023
83.0,leo1,1.230,0.014
84.0,leo1,1.236,0.016
85.0,leo1,1.243,0.020
86.0,leo1,1.247,0.022
87.0,leo1,1.248,0.023
88.0,leo1,1.249,0.023
89.0,leo1,1.248,0.023
90.0,leo1,1.248,0.022
91.0,leo1,1.247,0.021
92.0,leo1,1.245,0.019
93.0,leo1,1.242,0.014
94.0,leo1,1.239,0.008
95.0,leo1,1.235,-0.001
96.0,leo1,1.232,-0.010
97.0,leo1,1.228,-0.021
98.0,leo1,1.226,-0.036
99.0,leo1,1.174,0.126
100.0,leo1,1.115,0.380
101.0,leo1,1.048,0.629
102.0,leo1,0.987,0.883
103.0,leo1,0.914,1.133
104.0,leo1,0.819,1.380
105.0,leo1,0.717,1.615
106.0,leo1,0.678,1.732
107.0,leo1,0.679,1.725
108.0,leo1,0.681,1.710
109.0,leo1,0.682,1.693
110.0,leo1,0.683,1.707
111.0,leo1,0.685,1.721
112.0,leo1,0.689,1.732
113.0,leo1,0.692,1.741
114.0,leo1,0.758,1.737
115.0,leo1,0.760,1.741
116.0,leo1,0.762,1.744
117.0,leo1,0.764,1.746
118.0,leo1,0.764,1.747
119.0,leo1,0.765,1.747
120.0,leo1,0.765,1.747
121.0,leo1,0.804,1.771
122.0,leo1,1.037,1.835
123.0,leo1,1.275,1.931
124.0,leo1,1.490,2.086
125.0,leo1,1.671,2.250
126.0,leo1,1.886,2.411
127.0,leo1,2.134,2.507
128.0,leo1,2.389,2.530
129.0,leo1,2.644,2.530
130.0,leo1,2.904,2.536
131.0,leo1,3.031,2.554
132.0,leo1,3.042,2.556
133.0,leo1,3.043,2.569
134.0,leo1,3.051,2.572
135.0,leo1,3.058,2.575
136.0,leo1,3.062,2.577
137.0,leo1,3.065,2.579
138.0,leo1,3.066,2.580
139.0,leo1,3.066,2.580
140.0,leo1,3.065,2.579
141.0,leo1,3.065,2.579
142.0,leo1,3.063,2.576
143.0,leo1,3.062,2.574
144.0,leo1,3.058,2.568
145.0,leo1,3.055,2.560
146.0,leo1,3.051,2.551
147.0,leo1,3.048,2.540
148.0,leo1,3.045,2.528
149.0,leo1,2.971,2.597
150.0,leo1,2.971,2.611
151.0,leo1,2.969,2.624
152.0,leo1,2.966,2.635
153.0,leo1,2.963,2.644
154.0,leo1,2.912,2.602
155.0,leo1,2.910,2.607
156.0,leo1,2.908,2.610
157.0,leo1,2.906,2.612
158.0,leo1,2.906,2.613
159.0,leo1,2.906,2.612
160.0,leo1,2.907,2.612
161.0,leo1,2.908,2.611
162.0,leo1,2.911,2.609
163.0,leo1,2.916,2.606
164.0,leo1,2.923,2.602
165.0,leo1,2.930,2.599
166.0,leo1,2.940,2.595
167.0,leo1,2.928,2.597
168.0,leo1,2.669,2.526
169.0,leo1,2.417,2.523
170.0,leo1,2.158,2.513
171.0,leo1,1.895,2.451
172.0,leo1,1.669,2.347
173.0,leo1,1.470,2.195
174.0,leo1,1.269,2.019
175.0,leo1,1.077,1.849
176.0,leo1,0.885,1.669
177.0,leo1,0.691,1.493
178.0,leo1,0.489,1.332
179.0,leo1,0.298,1.163
180.0,leo1,0.089,0.999
181.0,leo1,-0.115,0.831
182.0,leo1,-0.322,0.684
183.0,leo1,-0.532,0.529
184.0,leo1,-0.741,0.367
185.0,leo1,-0.940,0.224
186.0,leo1,-0.971,0.193
187.0,leo1,-0.971,0.193
188.0,leo1,-0.970,0.194
189.0,leo1,-0.970,0.195
190.0,leo1,-0.968,0.197
191.0,leo1,-0.965,0.201
192.0,leo1,-0.962,0.207
193.0,leo1,-0.959,0.215
194.0,leo1,-0.955,0.225
195.0,leo1,-0.952,0.238
196.0,leo1,-0.949,0.253
197.0,leo1,-0.904,0.194
198.0,leo1,-0.903,0.181
199.0,leo1,-0.901,0.169
200.0,leo1,-0.884,0.118
201.0,leo1,-0.750,-0.072
202.0,leo1,-0.682,-0.288
203.0,leo1,-0.574,-0.484
204.0,leo1,-0.455,-0.721
205.0,leo1,-0.332,-0.962
206.0,leo1,-0.193,-1.169
207.0,leo1,-0.076,-1.409
208.0,leo1,0.068,-1.615
209.0,leo1,0.201,-1.842
210.0,leo1,0.306,-2.036
211.0,leo1,0.314,-2.041
212.0,leo1,0.311,-2.033
213.0,leo1,0.307,-2.022
214.0,leo1,0.305,-2.010
215.0,leo1,0.305,-2.007
216.0,leo1,0.307,-2.020
217.0,leo1,0.310,-2.029
218.0,leo1,0.318,-2.049
219.0,leo1,0.415,-2.224
220.0,leo1,0.573,-2.432
221.0,leo1,0.715,-2.647
222.0,leo1,0.864,-2.876
223.0,leo1,1.018,-3.069
224.0,leo1,1.193,-3.276
225.0,leo1,1.337,-3.490
226.0,leo1,1.483,-3.688
227.0,leo1,1.708,-3.822
228.0,leo1,1.942,-3.895
229.0,leo1,2.162,-3.850
230.0,leo1,2.413,-3.833
231.0,leo1,2.536,-3.833
232.0,leo1,2.550,-3.835
233.0,leo1,2.561,-3.838
234.0,leo1,2.572,-3.843
235.0,leo1,2.538,-3.877
236.0,leo1,2.543,-3.879
237.0,leo1,2.546,-3.881
238.0,leo1,2.547,-3.882
239.0,leo1,2.548,-3.883
240.0,leo1,2.548,-3.883
241.0,leo1,2.548,-3.883
242.0,leo1,2.547,-3.882
243.0,leo1,2.546,-3.879
244.0,leo1,2.544,-3.875
245.0,leo1,2.541,-3.868
246.0,leo1,2.538,-3.859
247.0,leo1,2.535,-3.848
248.0,leo1,2.534,-3.835
249.0,leo1,2.477,-3.880
250.0,leo1,2.477,-3.886
251.0,leo1,2.476,-3.892
252.0,leo1,2.484,-3.849
253.0,leo1,2.450,-3.809
254.0,leo1,2.457,-3.771
255.0,leo1,2.474,-3.729
256.0,leo1,2.481,-3.692
257.0,leo1,2.488,-3.644
258.0,leo1,2.489,-3.632
259.0,leo1,2.486,-3.643
260.0,leo1,2.485,-3.645
261.0,leo1,2.488,-3.637
262.0,leo1,2.491,-3.623
263.0,leo1,2.493,-3.608
264.0,leo1,2.510,-3.644
265.0,leo1,2.512,-3.660
266.0,leo1,2.514,-3.671
267.0,leo1,2.516,-3.680
268.0,leo1,2.558,-3.638
269.0,leo1,2.560,-3.643
270.0,leo1,2.563,-3.647
271.0,leo1,2.564,-3.649
272.0,leo1,2.564,-3.649
273.0,leo1,2.563,-3.649
274.0,leo1,2.563,-3.648
275.0,leo1,2.563,-3.648
276.0,leo1,2.561,-3.647
277.0,leo1,2.557,-3.644
278.0,leo1,2.552,-3.641
279.0,leo1,2.546,-3.638
280.0,leo1,2.536,-3.634
281.0,leo1,2.577,-3.642
282.0,leo1,2.850,-3.563
283.0,leo1,3.060,-3.580
284.0,leo1,3.321,-3.594
285.0,leo1,3.572,-3.629
286.0,leo1,3.828,-3.685
287.0,leo1,4.069,-3.772
288.0,leo1,4.328,-3.845
289.0,leo1,4.565,-3.943
290.0,leo1,4.760,-4.023
291.0,leo1,4.781,-4.034
292.0,leo1,4.785,-4.037
293.0,leo1,4.787,-4.038
294.0,leo1,4.788,-4.039
295.0,leo1,4.788,-4.039
296.0,leo1,4.789,-4.039
297.0,leo1,4.788,-4.039
