t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
64.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.1016,,,
65.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.1026,0.0000,0.0000,-0.1026
65.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.1042,0.0000,0.0000,-0.1042
66.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.1054,0.0000,0.0000,-0.1054
66.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.1071,0.0000,0.0000,-0.1071
67.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.1083,0.0000,0.0000,-0.1083
67.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.1093,0.0000,0.0000,-0.1093
68.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.1103,0.0000,0.0000,-0.1103
68.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.1115,0.0000,0.0000,-0.1115
69.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.1126,0.0000,0.0000,-0.1126
69.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.1137,0.0000,0.0000,-0.1137
70.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.1152,0.0000,0.0000,-0.1152
70.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.1161,0.0000,0.0000,-0.1161
71.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.1169,0.0000,0.0000,-0.1169
71.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.1176,0.0000,0.0000,-0.1176
72.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.1185,0.0000,0.0000,-0.1185
72.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.1193,0.0000,0.0000,-0.1193
73.00,0.0046,-0.0000,-0.0000,0.0031,-0.0004,-0.1206,0.0031,-0.0004,-0.1206
