t,robot,x,y
67.0,leo1,0.000,0.000
68.0,leo1,0.000,0.000
69.0,leo1,0.000,0.000
70.0,leo1,0.000,0.000
71.0,leo1,0.000,0.000
72.0,leo1,0.000,0.000
73.0,leo1,0.003,-0.000
74.0,leo1,0.085,0.002
75.0,leo1,0.082,-0.001
76.0,leo1,0.174,-0.004
77.0,leo1,0.240,-0.008
78.0,leo1,0.290,-0.001
79.0,leo1,0.381,-0.005
80.0,leo1,0.494,-0.009
81.0,leo1,0.592,-0.013
82.0,leo1,0.707,-0.018
83.0,leo1,0.811,-0.021
84.0,leo1,0.825,-0.022
85.0,leo1,0.825,-0.022
86.0,leo1,0.825,-0.022
87.0,leo1,0.825,-0.022
88.0,leo1,0.825,-0.022
89.0,leo1,0.825,-0.022
90.0,leo1,0.825,-0.022
91.0,leo1,0.825,-0.022
92.0,leo1,0.825,-0.022
93.0,leo1,0.822,-0.022
94.0,leo1,0.781,-0.020
95.0,leo1,0.743,-0.018
96.0,leo1,0.726,-0.021
97.0,leo1,0.680,-0.020
98.0,leo1,0.638,-0.019
99.0,leo1,0.600,-0.019
100.0,leo1,0.586,-0.018
101.0,leo1,0.586,-0.018
102.0,leo1,0.586,-0.018
103.0,leo1,0.607,-0.014
104.0,leo1,0.623,-0.007
105.0,leo1,0.620,-0.009
106.0,leo1,0.585,-0.033
107.0,leo1,0.553,-0.030
108.0,leo1,0.522,-0.053
109.0,leo1,0.487,-0.078
110.0,leo1,0.415,-0.093
111.0,leo1,0.380,-0.119
112.0,leo1,0.377,-0.122
113.0,leo1,0.377,-0.122
114.0,leo1,0.377,-0.122
115.0,leo1,0.377,-0.122
116.0,leo1,0.377,-0.122
117.0,leo1,0.377,-0.123
118.0,leo1,0.377,-0.123
119.0,leo1,0.376,-0.124
120.0,leo1,0.375,-0.125
121.0,leo1,0.373,-0.128
122.0,leo1,0.369,-0.135
123.0,leo1,0.366,-0.142
124.0,leo1,0.363,-0.151
125.0,leo1,0.363,-0.151
126.0,leo1,0.363,-0.151
127.0,leo1,0.361,-0.156
128.0,leo1,0.356,-0.130
129.0,leo1,0.353,-0.120
130.0,leo1,0.350,-0.115
131.0,leo1,0.349,-0.113
132.0,leo1,0.348,-0.111
133.0,leo1,0.348,-0.111
134.0,leo1,0.348,-0.112
135.0,leo1,0.349,-0.112
136.0,leo1,0.350,-0.113
137.0,leo1,0.353,-0.116
138.0,leo1,0.357,-0.118
139.0,leo1,0.365,-0.123
140.0,leo1,0.373,-0.126
141.0,leo1,0.382,-0.130
142.0,leo1,0.319,-0.121
143.0,leo1,0.225,-0.191
144.0,leo1,0.068,-0.204
145.0,leo1,-0.203,-0.206
146.0,leo1,-0.435,-0.222
147.0,leo1,-0.687,-0.210
148.0,leo1,-0.949,-0.219
149.0,leo1,-1.222,-0.216
150.0,leo1,-1.493,-0.216
151.0,leo1,-1.709,-0.216
152.0,leo1,-1.936,-0.216
153.0,leo1,-2.169,-0.216
154.0,leo1,-2.400,-0.216
155.0,leo1,-2.635,-0.217
156.0,leo1,-2.862,-0.217
157.0,leo1,-3.094,-0.217
158.0,leo1,-3.325,-0.217
159.0,leo1,-3.566,-0.218
160.0,leo1,-3.822,-0.220
161.0,leo1,-4.095,-0.228
162.0,leo1,-4.340,-0.255
163.0,leo1,-4.587,-0.247
164.0,leo1,-4.866,-0.267
165.0,leo1,-5.110,-0.337
166.0,leo1,-5.343,-0.419
167.0,leo1,-5.605,-0.538
168.0,leo1,-5.776,-0.683
169.0,leo1,-5.915,-0.895
170.0,leo1,-5.977,-1.127
171.0,leo1,-5.936,-1.304
172.0,leo1,-5.926,-1.527
173.0,leo1,-5.932,-1.684
174.0,leo1,-5.935,-1.698
175.0,leo1,-5.938,-1.711
176.0,leo1,-5.942,-1.719
177.0,leo1,-5.967,-1.684
178.0,leo1,-5.969,-1.689
179.0,leo1,-5.971,-1.692
180.0,leo1,-5.972,-1.693
181.0,leo1,-5.973,-1.693
182.0,leo1,-5.973,-1.694
183.0,leo1,-5.973,-1.694
