x,y
0.0000,0.0000
0.2843,0.0157
0.6017,0.0258
0.4236,0.0128
0.2113,-0.0722
0.1669,-0.1074
0.0970,-0.3576
-0.0607,0.2160
-0.3777,1.3673
-0.2140,2.0706
-0.3271,2.1090
-0.3109,2.0569
-0.2996,1.9768
-0.8722,0.8511
-0.8474,0.8446
-0.8042,0.8282
1.0983,0.5125
1.0953,0.5253
0.9693,0.4914
0.9868,0.4974
-1.2238,0.4575
-3.7604,-0.0742
-6.1680,-0.9375
-6.5234,-1.3839
-7.9163,-1.9947
-7.9359,-2.0007
-7.8208,-1.9401
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
-7.8482,-1.7953
