[INFO] [1787195016.076917072] [sim_realism_odom]: realistic odom: yaw_scale=0.12 linear_scale=0.02 slip=0.01 -> /leo1/odom_wheel_like / TF leo1/odom->leo1/base_link
[INFO] [1787195016.078145026] [sim_realism_odom]: odom error: pos=0.000 m yaw=+0.0 deg after 0.0 m travelled
[INFO] [1787195024.419823499] [sim_realism_odom]: odom error: pos=0.000 m yaw=+0.0 deg after 0.0 m travelled
[INFO] [1787195034.467575292] [sim_realism_odom]: odom error: pos=0.000 m yaw=+0.0 deg after 0.0 m travelled
[INFO] [1787195044.518336963] [sim_realism_odom]: odom error: pos=0.000 m yaw=+0.0 deg after 0.0 m travelled
[INFO] [1787195054.527564562] [sim_realism_odom]: odom error: pos=0.000 m yaw=+0.0 deg after 0.0 m travelled
[INFO] [1787195064.527960778] [sim_realism_odom]: odom error: pos=0.000 m yaw=+0.0 deg after 0.0 m travelled
[INFO] [1787195074.574778216] [sim_realism_odom]: odom error: pos=0.000 m yaw=+0.0 deg after 0.0 m travelled
[INFO] [1787195084.599608016] [sim_realism_odom]: odom error: pos=0.026 m yaw=+0.0 deg after 0.9 m travelled
[INFO] [1787195094.611723776] [sim_realism_odom]: odom error: pos=0.030 m yaw=+0.0 deg after 1.2 m travelled
[INFO] [1787195104.611522372] [sim_realism_odom]: odom error: pos=0.100 m yaw=+3.5 deg after 1.4 m travelled
[INFO] [1787195114.611116665] [sim_realism_odom]: odom error: pos=0.115 m yaw=+7.3 deg after 1.6 m travelled
[INFO] [1787195124.610906519] [sim_realism_odom]: odom error: pos=0.130 m yaw=+11.8 deg after 2.5 m travelled
[INFO] [1787195134.610898864] [sim_realism_odom]: odom error: pos=0.244 m yaw=+5.2 deg after 3.4 m travelled
[INFO] [1787195144.610828373] [sim_realism_odom]: odom error: pos=0.273 m yaw=+6.6 deg after 4.6 m travelled
[INFO] [1787195154.610887663] [sim_realism_odom]: odom error: pos=0.187 m yaw=+10.0 deg after 4.7 m travelled
[INFO] [1787195164.614084127] [sim_realism_odom]: odom error: pos=0.169 m yaw=+14.8 deg after 4.7 m travelled
[INFO] [1787195174.613556492] [sim_realism_odom]: odom error: pos=0.175 m yaw=+21.2 deg after 4.9 m travelled
[INFO] [1787195184.613659595] [sim_realism_odom]: odom error: pos=0.092 m yaw=+27.7 deg after 5.2 m travelled
[INFO] [1787195194.615576763] [sim_realism_odom]: odom error: pos=1.036 m yaw=+30.5 deg after 7.4 m travelled
[INFO] [1787195204.615714427] [sim_realism_odom]: odom error: pos=2.419 m yaw=+30.3 deg after 10.0 m travelled
[INFO] [1787195214.616051467] [sim_realism_odom]: odom error: pos=3.278 m yaw=+39.8 deg after 11.8 m travelled
[INFO] [1787195224.615688788] [sim_realism_odom]: odom error: pos=3.240 m yaw=+47.5 deg after 11.9 m travelled
[INFO] [1787195234.615994774] [sim_realism_odom]: odom error: pos=3.250 m yaw=+50.4 deg after 12.0 m travelled
[INFO] [1787195244.616279159] [sim_realism_odom]: odom error: pos=3.336 m yaw=+55.4 deg after 12.1 m travelled
[INFO] [1787195254.616005013] [sim_realism_odom]: odom error: pos=3.276 m yaw=+59.8 deg after 12.6 m travelled
[INFO] [1787195264.616319839] [sim_realism_odom]: odom error: pos=3.765 m yaw=+59.5 deg after 15.2 m travelled
[INFO] [1787195274.616605250] [sim_realism_odom]: odom error: pos=5.553 m yaw=+58.9 deg after 17.8 m travelled
[INFO] [1787195284.616426172] [sim_realism_odom]: odom error: pos=6.845 m yaw=+55.4 deg after 19.5 m travelled
[INFO] [1787195294.617484161] [sim_realism_odom]: odom error: pos=6.622 m yaw=+43.3 deg after 20.3 m travelled
[INFO] [1787195304.617216099] [sim_realism_odom]: odom error: pos=6.411 m yaw=+35.0 deg after 20.7 m travelled
[INFO] [1787195314.617380187] [sim_realism_odom]: odom error: pos=6.390 m yaw=+26.8 deg after 20.8 m travelled
[INFO] [1787195324.616127001] [sim_realism_odom]: odom error: pos=6.458 m yaw=+21.0 deg after 20.9 m travelled
[INFO] [1787195334.616159473] [sim_realism_odom]: odom error: pos=6.531 m yaw=+19.0 deg after 21.2 m travelled
[INFO] [1787195344.616040557] [sim_realism_odom]: odom error: pos=6.620 m yaw=+21.8 deg after 21.5 m travelled
[INFO] [1787195354.615922675] [sim_realism_odom]: odom error: pos=6.681 m yaw=+28.7 deg after 22.1 m travelled
[INFO] [1787195364.616182885] [sim_realism_odom]: odom error: pos=6.671 m yaw=+34.3 deg after 22.2 m travelled
