t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
65.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0187,0.0000,0.0000,-0.0187
65.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0191,0.0000,0.0000,-0.0191
66.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0192,0.0000,0.0000,-0.0192
66.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0195,0.0000,0.0000,-0.0195
67.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0197,0.0000,0.0000,-0.0197
67.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0198,0.0000,0.0000,-0.0198
68.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0203,0.0000,0.0000,-0.0203
68.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0203,0.0000,0.0000,-0.0203
69.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0213,0.0000,0.0000,-0.0213
69.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0215,0.0000,0.0000,-0.0215
70.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0218,0.0000,0.0000,-0.0218
70.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0222,0.0000,0.0000,-0.0222
71.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0230,0.0000,0.0000,-0.0230
71.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0233,0.0000,0.0000,-0.0233
72.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0237,0.0000,0.0000,-0.0237
72.50,0.0263,-0.0000,-0.0000,0.0235,-0.0006,-0.0245,0.0235,-0.0006,-0.0245
73.00,0.0863,-0.0000,-0.0000,0.0844,-0.0021,-0.0247,0.0844,-0.0043,-0.0110
73.50,0.1463,-0.0000,-0.0000,0.1449,-0.0036,-0.0253,0.1449,-0.0055,-0.0078
74.00,0.2063,-0.0000,-0.0000,0.2116,-0.0053,-0.0254,0.2116,0.0040,-0.0079
74.50,0.2663,-0.0000,-0.0000,0.2697,-0.0068,-0.0259,0.2597,0.0035,-0.0085
75.00,0.3263,-0.0000,-0.0000,0.3317,-0.0084,-0.0262,0.3296,0.0030,-0.0088
75.50,0.3863,-0.0000,-0.0000,0.3896,-0.0099,-0.0271,0.3797,0.0025,-0.0096
76.00,0.4463,-0.0000,-0.0000,0.4514,-0.0116,-0.0277,0.4415,0.0018,-0.0102
76.50,0.5063,-0.0000,-0.0000,0.5180,-0.0135,-0.0276,0.5181,0.0012,-0.0101
77.00,0.5663,-0.0000,-0.0000,0.5802,-0.0152,-0.0276,0.5703,0.0001,-0.0074
77.50,0.6263,-0.0000,-0.0000,0.6428,-0.0169,-0.0276,0.6329,-0.0005,-0.0067
78.00,0.6863,-0.0000,-0.0000,0.7025,-0.0186,-0.0283,0.6926,-0.0004,-0.0109
78.50,0.7463,-0.0000,-0.0000,0.7645,-0.0203,-0.0283,0.7547,-0.0011,-0.0109
79.00,0.8063,-0.0000,-0.0000,0.8234,-0.0220,-0.0286,0.8136,-0.0017,-0.0112
79.50,0.8663,-0.0000,-0.0000,0.8830,-0.0238,-0.0292,0.8732,-0.0029,-0.0082
80.00,0.9263,-0.0000,-0.0000,0.9473,-0.0257,-0.0297,0.9376,-0.0035,-0.0087
80.50,0.9863,-0.0000,-0.0000,1.0076,-0.0275,-0.0302,0.9878,-0.0040,-0.0092
81.00,1.0463,-0.0000,-0.0000,1.0697,-0.0294,-0.0308,1.0500,-0.0046,-0.0098
81.50,1.1063,-0.0000,-0.0000,1.1298,-0.0312,-0.0306,1.1101,-0.0052,-0.0097
82.00,1.1663,-0.0000,-0.0000,1.1938,-0.0332,-0.0305,1.1741,-0.0059,-0.0096
82.50,1.2263,-0.0000,-0.0000,1.2520,-0.0350,-0.0311,1.2324,-0.0064,-0.0101
83.00,1.2280,-0.0000,-0.0000,1.2569,-0.0351,-0.0313,1.2373,-0.0065,-0.0103
83.50,1.2280,-0.0000,-0.0000,1.2569,-0.0351,-0.0322,1.2373,-0.0065,-0.0113
84.00,1.2280,-0.0000,-0.0000,1.2569,-0.0351,-0.0323,1.2373,-0.0065,-0.0114
84.50,1.2280,-0.0000,-0.0000,1.2569,-0.0351,-0.0332,1.2373,-0.0065,-0.0122
85.00,1.2280,-0.0000,-0.0000,1.2569,-0.0351,-0.0339,1.2373,-0.0065,-0.0129
85.50,1.2280,-0.0000,-0.0000,1.2569,-0.0351,-0.0343,1.2373,-0.0065,-0.0133
86.00,1.2280,-0.0000,-0.0000,1.2569,-0.0351,-0.0345,1.2373,-0.0065,-0.0136
86.50,1.2280,-0.0000,-0.0000,1.2569,-0.0351,-0.0352,1.2373,-0.0065,-0.0142
87.00,1.2280,-0.0000,-0.0000,1.2569,-0.0351,-0.0356,1.2373,-0.0065,-0.0146
87.50,1.2280,-0.0000,-0.0000,1.2569,-0.0351,-0.0361,1.2373,-0.0065,-0.0151
88.00,1.2280,-0.0000,-0.0000,1.2569,-0.0351,-0.0358,1.2373,-0.0065,-0.0148
