x,y
0.0000,0.0000
0.9376,-0.0035
1.2373,-0.0065
1.1265,-0.0109
1.0098,-0.0701
0.8627,0.8709
1.0147,1.5477
1.8442,2.4639
1.7926,2.4902
1.7151,2.4629
1.6768,2.4110
1.4726,2.1615
1.4093,-0.0666
1.4054,-2.6605
2.1378,-4.1258
2.1534,-4.0032
2.1513,-4.0099
2.0917,-3.9515
1.5295,-3.8024
-0.7259,-2.4897
-2.9386,-1.1260
-4.2589,-0.0920
-3.8832,0.5528
-3.5447,0.6225
-3.5845,0.6374
-3.6020,0.5868
-3.9186,0.6367
-4.1765,0.4472
-4.2922,-0.0383
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
-4.1618,-0.0682
