t,robot,x,y
67.0,leo1,0.000,0.000
68.0,leo1,0.000,0.000
69.0,leo1,0.000,0.000
70.0,leo1,0.000,0.000
71.0,leo1,0.000,0.000
72.0,leo1,0.000,0.000
73.0,leo1,0.084,-0.004
74.0,leo1,0.212,0.004
75.0,leo1,0.330,0.003
76.0,leo1,0.441,0.002
77.0,leo1,0.570,0.000
78.0,leo1,0.693,-0.000
79.0,leo1,0.814,-0.002
80.0,leo1,0.938,-0.003
81.0,leo1,1.050,-0.005
82.0,leo1,1.174,-0.006
83.0,leo1,1.237,-0.006
84.0,leo1,1.237,-0.006
85.0,leo1,1.237,-0.006
86.0,leo1,1.237,-0.006
87.0,leo1,1.237,-0.006
88.0,leo1,1.237,-0.006
89.0,leo1,1.237,-0.006
90.0,leo1,1.237,-0.006
91.0,leo1,1.238,-0.006
92.0,leo1,1.253,-0.006
93.0,leo1,1.246,-0.006
94.0,leo1,1.258,-0.002
95.0,leo1,1.265,0.000
96.0,leo1,1.271,0.003
97.0,leo1,1.270,0.002
98.0,leo1,1.236,-0.015
99.0,leo1,1.203,-0.031
100.0,leo1,1.127,-0.011
101.0,leo1,1.091,-0.029
102.0,leo1,1.054,-0.048
103.0,leo1,1.016,-0.067
104.0,leo1,1.005,-0.072
105.0,leo1,1.009,-0.070
106.0,leo1,1.010,-0.070
107.0,leo1,1.011,-0.069
108.0,leo1,1.010,-0.069
109.0,leo1,1.010,-0.070
110.0,leo1,1.010,-0.070
111.0,leo1,1.008,-0.072
112.0,leo1,1.006,-0.076
113.0,leo1,1.003,-0.082
114.0,leo1,1.000,-0.089
115.0,leo1,0.979,-0.081
116.0,leo1,0.977,-0.087
117.0,leo1,0.937,0.103
118.0,leo1,0.938,0.357
119.0,leo1,0.908,0.615
120.0,leo1,0.863,0.871
121.0,leo1,0.814,1.122
122.0,leo1,0.776,1.240
123.0,leo1,0.777,1.231
124.0,leo1,0.779,1.218
125.0,leo1,0.779,1.214
126.0,leo1,0.781,1.230
127.0,leo1,0.783,1.243
128.0,leo1,0.786,1.254
129.0,leo1,0.887,1.316
130.0,leo1,1.015,1.548
131.0,leo1,1.176,1.751
132.0,leo1,1.332,1.957
133.0,leo1,1.530,2.115
134.0,leo1,1.708,2.287
135.0,leo1,1.835,2.453
136.0,leo1,1.848,2.470
137.0,leo1,1.848,2.470
138.0,leo1,1.848,2.470
139.0,leo1,1.846,2.467
140.0,leo1,1.844,2.464
141.0,leo1,1.841,2.458
142.0,leo1,1.838,2.451
143.0,leo1,1.834,2.440
144.0,leo1,1.831,2.429
145.0,leo1,1.802,2.455
146.0,leo1,1.801,2.441
147.0,leo1,1.800,2.458
148.0,leo1,1.798,2.470
149.0,leo1,1.796,2.481
150.0,leo1,1.793,2.490
151.0,leo1,1.790,2.497
152.0,leo1,1.787,2.502
153.0,leo1,1.785,2.505
154.0,leo1,1.706,2.469
155.0,leo1,1.706,2.469
156.0,leo1,1.706,2.469
157.0,leo1,1.707,2.468
158.0,leo1,1.708,2.467
159.0,leo1,1.710,2.466
160.0,leo1,1.715,2.463
161.0,leo1,1.721,2.460
162.0,leo1,1.729,2.457
163.0,leo1,1.741,2.453
164.0,leo1,1.713,2.423
165.0,leo1,1.727,2.421
166.0,leo1,1.721,2.421
167.0,leo1,1.708,2.420
168.0,leo1,1.694,2.417
169.0,leo1,1.685,2.414
170.0,leo1,1.677,2.411
171.0,leo1,1.671,2.408
172.0,leo1,1.667,2.406
173.0,leo1,1.638,2.283
174.0,leo1,1.478,2.160
175.0,leo1,1.462,2.141
176.0,leo1,1.462,2.142
177.0,leo1,1.463,2.143
178.0,leo1,1.466,2.148
179.0,leo1,1.469,2.154
180.0,leo1,1.473,2.162
181.0,leo1,1.471,2.156
182.0,leo1,1.503,1.937
183.0,leo1,1.454,1.699
184.0,leo1,1.416,1.485
185.0,leo1,1.414,1.231
186.0,leo1,1.408,0.971
187.0,leo1,1.405,0.706
188.0,leo1,1.405,0.454
189.0,leo1,1.407,0.190
190.0,leo1,1.409,-0.067
