t,robot,x,y
55.0,leo1,0.000,0.000
56.0,leo1,0.000,0.000
57.0,leo1,0.000,0.000
58.0,leo1,0.000,0.000
59.0,leo1,0.000,0.000
60.0,leo1,0.000,0.000
61.0,leo1,0.000,0.000
62.0,leo1,0.060,-0.002
63.0,leo1,0.113,-0.001
64.0,leo1,0.103,-0.004
65.0,leo1,0.086,-0.006
66.0,leo1,0.159,-0.008
67.0,leo1,0.200,-0.001
68.0,leo1,0.234,-0.004
69.0,leo1,0.329,0.004
70.0,leo1,0.408,-0.010
71.0,leo1,0.515,-0.013
72.0,leo1,0.580,-0.016
73.0,leo1,0.580,-0.016
74.0,leo1,0.580,-0.016
75.0,leo1,0.580,-0.016
76.0,leo1,0.580,-0.016
77.0,leo1,0.580,-0.016
78.0,leo1,0.580,-0.016
79.0,leo1,0.580,-0.016
80.0,leo1,0.581,-0.016
81.0,leo1,0.597,-0.015
82.0,leo1,0.611,-0.014
83.0,leo1,0.644,0.025
84.0,leo1,0.653,0.028
85.0,leo1,0.660,0.031
86.0,leo1,0.665,0.033
87.0,leo1,0.668,0.035
88.0,leo1,0.670,0.036
89.0,leo1,0.669,0.036
90.0,leo1,0.669,0.035
91.0,leo1,0.669,0.035
92.0,leo1,0.668,0.034
93.0,leo1,0.666,0.031
94.0,leo1,0.663,0.027
95.0,leo1,0.660,0.020
96.0,leo1,0.656,0.011
97.0,leo1,0.652,0.001
98.0,leo1,0.650,-0.011
99.0,leo1,0.596,0.052
100.0,leo1,0.596,0.061
101.0,leo1,0.594,0.074
102.0,leo1,0.592,0.086
103.0,leo1,0.589,0.096
104.0,leo1,0.507,0.055
105.0,leo1,0.416,0.169
106.0,leo1,0.281,0.378
107.0,leo1,0.102,0.548
108.0,leo1,-0.098,0.721
109.0,leo1,-0.237,0.886
110.0,leo1,-0.253,1.086
111.0,leo1,-0.349,1.336
112.0,leo1,-0.270,1.571
113.0,leo1,-0.121,1.786
114.0,leo1,0.040,1.987
115.0,leo1,0.195,2.194
116.0,leo1,0.302,2.337
117.0,leo1,0.304,2.340
118.0,leo1,0.301,2.335
119.0,leo1,0.298,2.327
120.0,leo1,0.295,2.317
121.0,leo1,0.292,2.306
122.0,leo1,0.290,2.291
123.0,leo1,0.232,2.338
124.0,leo1,0.231,2.355
125.0,leo1,0.229,2.368
126.0,leo1,0.226,2.379
127.0,leo1,0.223,2.386
128.0,leo1,0.182,2.353
129.0,leo1,0.180,2.358
130.0,leo1,0.178,2.360
131.0,leo1,0.178,2.361
132.0,leo1,0.178,2.361
133.0,leo1,0.178,2.360
134.0,leo1,0.179,2.360
135.0,leo1,0.181,2.358
136.0,leo1,0.183,2.357
137.0,leo1,0.188,2.354
138.0,leo1,0.194,2.351
139.0,leo1,0.202,2.347
140.0,leo1,0.211,2.344
141.0,leo1,0.223,2.341
142.0,leo1,0.176,2.286
143.0,leo1,0.173,2.286
144.0,leo1,0.161,2.285
145.0,leo1,0.149,2.283
146.0,leo1,0.138,2.280
147.0,leo1,0.130,2.277
148.0,leo1,0.163,2.216
149.0,leo1,0.159,2.214
150.0,leo1,0.157,2.212
151.0,leo1,0.168,2.221
152.0,leo1,0.202,2.247
153.0,leo1,0.232,2.262
154.0,leo1,0.265,2.287
155.0,leo1,0.296,2.312
156.0,leo1,0.328,2.337
157.0,leo1,0.359,2.362
158.0,leo1,0.359,2.362
159.0,leo1,0.359,2.362
160.0,leo1,0.359,2.362
161.0,leo1,0.365,2.371
162.0,leo1,0.372,2.392
163.0,leo1,0.390,2.364
164.0,leo1,0.399,2.403
165.0,leo1,0.409,2.442
166.0,leo1,0.418,2.488
167.0,leo1,0.428,2.529
168.0,leo1,0.436,2.558
169.0,leo1,0.445,2.597
170.0,leo1,0.447,2.603
171.0,leo1,0.400,2.494
172.0,leo1,0.279,2.264
173.0,leo1,0.143,2.045
174.0,leo1,-0.000,1.828
175.0,leo1,-0.147,1.606
176.0,leo1,-0.269,1.383
177.0,leo1,-0.260,1.123
178.0,leo1,-0.298,0.912
179.0,leo1,-0.320,0.891
180.0,leo1,-0.317,0.885
181.0,leo1,-0.315,0.882
182.0,leo1,-0.314,0.880
183.0,leo1,-0.313,0.879
184.0,leo1,-0.223,0.841
185.0,leo1,-0.048,0.686
186.0,leo1,0.187,0.589
187.0,leo1,0.436,0.543
188.0,leo1,0.675,0.481
189.0,leo1,0.908,0.425
190.0,leo1,1.163,0.349
191.0,leo1,1.377,0.301
192.0,leo1,1.400,0.292
193.0,leo1,1.408,0.288
194.0,leo1,1.413,0.285
195.0,leo1,1.417,0.283
196.0,leo1,1.419,0.281
197.0,leo1,1.419,0.281
198.0,leo1,1.420,0.280
199.0,leo1,1.420,0.280
200.0,leo1,1.420,0.280
201.0,leo1,1.419,0.282
202.0,leo1,1.417,0.286
203.0,leo1,1.414,0.292
204.0,leo1,1.411,0.300
205.0,leo1,1.409,0.310
206.0,leo1,1.407,0.322
207.0,leo1,1.406,0.338
208.0,leo1,1.322,0.274
209.0,leo1,1.320,0.258
210.0,leo1,1.317,0.246
211.0,leo1,1.314,0.235
212.0,leo1,1.311,0.229
213.0,leo1,1.254,0.263
214.0,leo1,1.250,0.258
215.0,leo1,1.249,0.256
216.0,leo1,1.248,0.254
217.0,leo1,1.247,0.254
218.0,leo1,1.247,0.253
219.0,leo1,1.247,0.253
220.0,leo1,1.248,0.254
221.0,leo1,1.251,0.256
222.0,leo1,1.256,0.258
223.0,leo1,1.262,0.261
224.0,leo1,1.223,0.253
225.0,leo1,0.954,0.281
226.0,leo1,0.689,0.251
227.0,leo1,0.472,0.269
228.0,leo1,0.213,0.268
229.0,leo1,-0.002,0.263
230.0,leo1,-0.280,0.283
231.0,leo1,-0.528,0.282
232.0,leo1,-0.773,0.286
233.0,leo1,-1.038,0.289
234.0,leo1,-1.303,0.282
235.0,leo1,-1.552,0.288
236.0,leo1,-1.806,0.286
237.0,leo1,-1.862,0.271
238.0,leo1,-1.874,0.259
239.0,leo1,-1.884,0.256
240.0,leo1,-1.891,0.254
241.0,leo1,-1.882,0.257
242.0,leo1,-1.997,0.241
243.0,leo1,-2.220,0.242
244.0,leo1,-2.487,0.233
245.0,leo1,-2.752,0.229
246.0,leo1,-2.999,0.227
247.0,leo1,-3.278,0.225
248.0,leo1,-3.545,0.203
249.0,leo1,-3.780,0.146
250.0,leo1,-4.022,0.108
251.0,leo1,-4.289,0.039
252.0,leo1,-4.555,-0.037
253.0,leo1,-4.786,-0.126
254.0,leo1,-5.032,-0.180
255.0,leo1,-5.292,-0.261
256.0,leo1,-5.538,-0.350
257.0,leo1,-5.775,-0.448
258.0,leo1,-6.016,-0.562
259.0,leo1,-6.230,-0.720
260.0,leo1,-6.408,-0.892
261.0,leo1,-6.524,-1.080
262.0,leo1,-6.522,-1.085
263.0,leo1,-6.519,-1.075
264.0,leo1,-6.515,-1.064
265.0,leo1,-6.512,-1.051
266.0,leo1,-6.510,-1.037
267.0,leo1,-6.510,-1.040
268.0,leo1,-6.509,-1.052
269.0,leo1,-6.507,-1.064
270.0,leo1,-6.497,-1.096
271.0,leo1,-6.331,-1.314
272.0,leo1,-6.222,-1.494
273.0,leo1,-6.045,-1.637
274.0,leo1,-6.016,-1.675
275.0,leo1,-5.870,-1.664
276.0,leo1,-5.764,-1.642
277.0,leo1,-5.747,-1.635
278.0,leo1,-5.735,-1.633
279.0,leo1,-5.729,-1.631
280.0,leo1,-5.724,-1.628
281.0,leo1,-5.759,-1.598
282.0,leo1,-5.755,-1.597
283.0,leo1,-5.753,-1.595
284.0,leo1,-5.752,-1.594
285.0,leo1,-5.752,-1.594
286.0,leo1,-5.752,-1.594
287.0,leo1,-5.753,-1.595
288.0,leo1,-5.753,-1.595
289.0,leo1,-5.753,-1.596
290.0,leo1,-5.754,-1.597
291.0,leo1,-5.755,-1.599
292.0,leo1,-5.757,-1.602
293.0,leo1,-5.759,-1.605
294.0,leo1,-5.763,-1.612
295.0,leo1,-5.766,-1.621
296.0,leo1,-5.768,-1.626
297.0,leo1,-5.768,-1.626
