t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
53.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0335,0.0000,0.0000,0.0335
54.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0342,0.0000,0.0000,0.0342
54.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0349,0.0000,0.0000,0.0349
55.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0351,0.0000,0.0000,0.0351
55.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0353,0.0000,0.0000,0.0353
56.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0358,0.0000,0.0000,0.0358
56.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0364,0.0000,0.0000,0.0364
57.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0370,0.0000,0.0000,0.0370
57.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0380,0.0000,0.0000,0.0380
58.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0384,0.0000,0.0000,0.0384
58.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0386,0.0000,0.0000,0.0386
59.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0393,0.0000,0.0000,0.0393
59.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0401,0.0000,0.0000,0.0401
60.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0406,0.0000,0.0000,0.0406
60.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0414,0.0000,0.0000,0.0414
61.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0423,0.0000,0.0000,0.0423
61.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0432,0.0000,0.0000,0.0432
62.00,0.0371,-0.0000,-0.0000,0.0367,0.0016,0.0437,0.0367,0.0016,0.0437
62.50,0.0971,-0.0000,-0.0000,0.0932,0.0041,0.0440,0.0531,-0.0005,0.0091
63.00,0.1571,-0.0000,-0.0000,0.1536,0.0068,0.0450,0.1135,0.0001,0.0101
63.50,0.2171,-0.0000,-0.0000,0.2105,0.0093,0.0459,0.0805,0.0007,0.0110
64.00,0.2771,-0.0000,-0.0000,0.2707,0.0121,0.0467,0.0760,0.0014,0.0118
64.50,0.3371,-0.0000,-0.0000,0.3341,0.0151,0.0470,0.1241,0.0022,0.0121
65.00,0.3971,-0.0000,-0.0000,0.3934,0.0179,0.0481,0.0935,0.0029,0.0132
65.50,0.4571,-0.0000,-0.0000,0.4513,0.0207,0.0479,0.1515,0.0037,0.0130
66.00,0.5171,-0.0000,-0.0000,0.5154,0.0238,0.0481,0.1157,0.0045,0.0132
66.50,0.5771,-0.0000,-0.0000,0.5725,0.0266,0.0491,0.1229,0.0053,0.0142
67.00,0.6371,-0.0000,-0.0000,0.6330,0.0295,0.0495,0.1034,0.0067,0.0111
67.50,0.6971,-0.0000,-0.0000,0.6982,0.0328,0.0500,0.1287,0.0074,0.0116
68.00,0.7571,-0.0000,-0.0000,0.7557,0.0357,0.0508,0.1363,0.0081,0.0124
68.50,0.8171,-0.0000,-0.0000,0.8195,0.0390,0.0517,0.1515,0.0094,0.0105
69.00,0.8771,-0.0000,-0.0000,0.8778,0.0420,0.0520,0.1985,0.0101,0.0101
69.50,0.9371,-0.0000,-0.0000,0.9375,0.0451,0.0523,0.2383,0.0112,0.0070
70.00,0.9971,-0.0000,-0.0000,1.0022,0.0485,0.0530,0.3030,0.0117,0.0077
70.50,1.0571,-0.0000,-0.0000,1.0635,0.0518,0.0535,0.3101,0.0040,0.0081
71.00,1.1171,-0.0000,-0.0000,1.1229,0.0550,0.0537,0.3640,0.0026,0.0083
71.50,1.1771,-0.0000,-0.0000,1.1851,0.0583,0.0543,0.4262,0.0137,0.0054
72.00,1.2200,-0.0000,-0.0000,1.2334,0.0609,0.0550,0.4746,0.0139,0.0061
72.50,1.2200,-0.0000,-0.0000,1.2334,0.0609,0.0552,0.4446,0.0039,0.0064
73.00,1.2200,-0.0000,-0.0000,1.2334,0.0609,0.0557,0.4446,0.0039,0.0069
73.50,1.2200,-0.0000,-0.0000,1.2334,0.0609,0.0557,0.4446,0.0039,0.0069
74.00,1.2200,-0.0000,-0.0000,1.2334,0.0609,0.0564,0.4446,0.0039,0.0075
74.50,1.2200,-0.0000,-0.0000,1.2334,0.0609,0.0568,0.4446,0.0039,0.0079
75.00,1.2200,-0.0000,-0.0000,1.2334,0.0609,0.0566,0.4446,0.0039,0.0077
75.50,1.2200,-0.0000,-0.0000,1.2334,0.0609,0.0569,0.4446,0.0039,0.0081
76.00,1.2200,-0.0000,-0.0000,1.2334,0.0609,0.0571,0.4446,0.0039,0.0082
76.50,1.2200,-0.0000,-0.0000,1.2334,0.0609,0.0575,0.4446,0.0039,0.0087
77.00,1.2200,-0.0000,-0.0000,1.2334,0.0609,0.0583,0.4446,0.0039,0.0095
77.50,1.2200,-0.0000,-0.0000,1.2334,0.0609,0.0593,0.4446,0.0039,0.0105
78.00,1.2200,-0.0000,-0.0000,1.2334,0.0609,0.0601,0.4446,0.0039,0.0113
78.50,1.2200,-0.0000,-0.0000,1.2334,0.0609,0.0606,0.4446,0.0039,0.0117
79.00,1.2200,-0.0000,-0.0000,1.2334,0.0609,0.0605,0.4446,0.0039,0.0117
79.50,1.2200,-0.0000,-0.0000,1.2334,0.0609,0.0608,0.4446,0.0039,0.0119
80.00,1.2200,-0.0000,-0.0000,1.2334,0.0609,0.0620,0.4446,0.0039,0.0131
80.50,1.2200,0.0027,0.0369,1.2353,0.0611,0.0997,0.4465,0.0040,0.0509
81.00,1.2200,0.0102,0.0885,1.2424,0.0620,0.1523,0.4536,0.0046,0.1034
81.50,1.2201,0.0173,0.1381,1.2501,0.0634,0.2022,0.4614,0.0056,0.1533
82.00,1.2201,0.0239,0.1861,1.2566,0.0649,0.2502,0.4679,0.0067,0.2013
82.50,1.2201,0.0300,0.2325,1.2639,0.0669,0.2969,0.4754,0.0084,0.2480
83.00,1.2201,0.0356,0.2775,1.2691,0.0686,0.3418,0.4806,0.0098,0.2929
83.50,1.2202,0.0408,0.3211,1.2749,0.0708,0.3863,0.5025,0.0447,0.3346
84.00,1.2202,0.0454,0.3635,1.2793,0.0727,0.4300,0.5108,0.0541,0.3777
84.50,1.2202,0.0496,0.4047,1.2823,0.0742,0.4722,0.5139,0.0554,0.4199
85.00,1.2203,0.0532,0.4448,1.2857,0.0760,0.5130,0.5174,0.0570,0.4606
85.50,1.2203,0.0561,0.4799,1.2879,0.0773,0.5487,0.5196,0.0582,0.4964
86.00,1.2203,0.0562,0.4801,1.2879,0.0773,0.5481,0.5196,0.0582,0.4957
86.50,1.2171,0.0545,0.4801,1.2849,0.0754,0.5491,0.5165,0.0565,0.4967
87.00,1.1994,0.0453,0.4801,1.2677,0.0650,0.5493,0.4989,0.0469,0.4969
87.50,1.1817,0.0360,0.4801,1.2513,0.0549,0.5499,0.4819,0.0378,0.4976
88.00,1.1640,0.0268,0.4801,1.2363,0.0457,0.5504,0.4665,0.0294,0.4980
88.50,1.1462,0.0176,0.4801,1.2184,0.0347,0.5506,0.4269,0.0213,0.4878
89.00,1.1285,0.0083,0.4801,1.2006,0.0238,0.5510,0.4085,0.0115,0.4882
89.50,1.1107,-0.0009,0.4801,1.1821,0.0124,0.5511,0.3893,0.0014,0.4883
90.00,1.0930,-0.0102,0.4801,1.1655,0.0022,0.5515,0.3721,-0.0078,0.4887
90.50,1.0753,-0.0194,0.4801,1.1479,-0.0086,0.5519,0.3539,-0.0175,0.4891
91.00,1.0575,-0.0286,0.4801,1.1311,-0.0190,0.5524,0.2964,-0.0268,0.4895
91.50,1.0398,-0.0379,0.4801,1.1126,-0.0304,0.5525,0.2773,-0.0370,0.4897
92.00,1.0220,-0.0471,0.4801,1.0947,-0.0414,0.5530,0.2587,-0.0469,0.4902
92.50,1.0043,-0.0563,0.4801,1.0775,-0.0521,0.5540,0.2409,-0.0564,0.4912
93.00,0.9933,-0.0618,0.4878,1.0658,-0.0593,0.5613,0.2988,-0.0529,0.4985
93.50,0.9933,-0.0592,0.5257,1.0687,-0.0574,0.5997,0.3017,-0.0513,0.5369
94.00,0.9934,-0.0570,0.5626,1.0704,-0.0562,0.6373,0.3035,-0.0501,0.5745
