x,y
0.0000,0.0000
0.3030,0.0117
0.4446,0.0039
0.3721,-0.0078
0.3045,-0.0504
0.2601,-0.0347
-0.1703,1.9713
-0.0874,2.0995
-0.0841,1.9898
-0.0450,1.9750
-0.3743,1.5934
-2.4242,0.4213
-4.9302,-0.2977
-6.4745,-1.0286
-5.6616,-2.1663
-5.4215,-2.2800
-5.4160,-2.2844
-5.4392,-2.2790
-6.4752,-1.0751
-4.0240,-0.6369
-1.4624,-0.6393
1.1358,-0.6376
3.7257,-0.5973
5.2041,-1.0713
4.9387,-1.5622
4.9297,-1.5540
4.8505,-1.3753
4.8386,-1.3237
4.8758,-1.3198
5.0598,-1.6291
6.0260,-2.8836
6.0527,-2.8200
6.0377,-2.7603
5.7343,-1.8026
5.8410,-0.3827
5.8138,-0.4022
5.7432,-0.4291
5.6302,-0.3280
5.4983,-1.1914
5.5545,-1.1693
5.5327,-1.1110
5.5457,-1.1100
5.5552,-1.1671
5.5536,-1.1633
5.5418,-1.6676
6.2758,-3.0094
6.2905,-2.9407
6.2468,-2.8972
6.2929,-3.0010
7.0804,-4.8468
6.9222,-5.0810
6.8564,-5.0632
6.8590,-5.0639
6.8644,-4.9719
6.9211,-4.9394
6.3634,-2.8294
4.7979,-0.7563
2.2732,-0.5878
-0.2538,-0.5877
-2.8637,-0.5879
-5.4863,-0.5993
-7.2665,-2.2850
-7.4118,-2.5375
-7.4498,-2.4211
-7.4448,-2.4391
-6.9379,-0.9413
-8.4641,0.9894
-7.8173,2.3846
-7.8012,2.3222
-7.8086,2.2501
-7.8125,2.2574
-7.9356,2.3343
-8.0361,2.4005
-8.0700,2.3808
-8.0626,2.3785
-8.5598,2.6851
-10.7248,4.0393
-11.0345,5.4076
-11.0522,5.4019
-10.9872,5.3446
-11.0178,5.2831
-10.6639,3.8083
-9.0874,1.7277
-7.1026,0.5611
-4.5053,0.6105
-1.9091,0.6103
0.6617,0.6130
3.2327,0.6603
5.8291,0.6624
7.0407,0.9620
6.0875,1.8967
5.9316,1.9461
6.2662,3.5304
7.2130,5.8771
8.3906,5.7054
8.3687,3.1850
7.0147,0.9679
4.4953,0.6250
-1.6014,0.5845
