t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
79.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0605,,,
80.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0606,0.0000,0.0000,0.0606
80.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0610,0.0000,0.0000,0.0610
81.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0612,0.0000,0.0000,0.0612
81.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0619,0.0000,0.0000,0.0619
82.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0621,0.0000,0.0000,0.0621
82.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0630,0.0000,0.0000,0.0630
83.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0633,0.0000,0.0000,0.0633
83.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0637,0.0000,0.0000,0.0637
84.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0643,0.0000,0.0000,0.0643
84.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0650,0.0000,0.0000,0.0650
85.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0652,0.0000,0.0000,0.0652
85.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0658,0.0000,0.0000,0.0658
86.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0667,0.0000,0.0000,0.0667
86.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0672,0.0000,0.0000,0.0672
87.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0677,0.0000,0.0000,0.0677
87.50,0.0395,-0.0000,-0.0000,0.0371,0.0025,0.0682,0.0371,0.0025,0.0682
88.00,0.0995,-0.0000,-0.0000,0.0974,0.0066,0.0685,0.0770,-0.0042,0.0091
88.50,0.1595,-0.0000,-0.0000,0.1608,0.0110,0.0688,0.1006,-0.0036,0.0095
89.00,0.2195,-0.0000,-0.0000,0.2231,0.0153,0.0691,0.1631,-0.0030,0.0097
89.50,0.2795,-0.0000,-0.0000,0.2858,0.0197,0.0693,0.1979,-0.0020,0.0065
90.00,0.3395,-0.0000,-0.0000,0.3489,0.0241,0.0699,0.2492,-0.0016,0.0071
90.50,0.3995,-0.0000,-0.0000,0.4052,0.0280,0.0701,0.2255,-0.0012,0.0073
91.00,0.4595,-0.0000,-0.0000,0.4697,0.0326,0.0706,0.2902,-0.0007,0.0078
91.50,0.5195,-0.0000,-0.0000,0.5321,0.0370,0.0710,0.2728,-0.0002,0.0082
92.00,0.5795,-0.0000,-0.0000,0.5909,0.0412,0.0710,0.3117,0.0008,0.0047
92.50,0.6395,-0.0000,-0.0000,0.6524,0.0456,0.0715,0.3733,0.0011,0.0052
93.00,0.6995,-0.0000,-0.0000,0.7151,0.0501,0.0718,0.3962,0.0015,0.0055
93.50,0.7595,-0.0000,-0.0000,0.7741,0.0543,0.0721,0.4154,0.0018,0.0058
94.00,0.8195,-0.0000,-0.0000,0.8342,0.0587,0.0720,0.4657,0.0027,0.0022
94.50,0.8795,-0.0000,-0.0000,0.8951,0.0631,0.0726,0.5267,0.0029,0.0028
95.00,0.9395,-0.0000,-0.0000,0.9565,0.0676,0.0736,0.5583,0.0031,0.0038
95.50,0.9995,-0.0000,-0.0000,1.0215,0.0724,0.0739,0.6375,0.0033,0.0041
96.00,1.0595,-0.0000,-0.0000,1.0809,0.0768,0.0749,0.6830,0.0036,0.0051
96.50,1.1195,-0.0000,-0.0000,1.1409,0.0813,0.0756,0.7432,0.0039,0.0058
97.00,1.1795,-0.0000,-0.0000,1.2045,0.0861,0.0754,0.7969,0.0043,0.0056
97.50,1.2395,-0.0000,-0.0000,1.2662,0.0908,0.0759,0.8589,0.0050,0.0037
98.00,1.2850,-0.0000,-0.0000,1.3128,0.0944,0.0772,0.9056,0.0054,0.0039
98.50,1.2850,-0.0000,-0.0000,1.3128,0.0944,0.0777,0.9056,0.0054,0.0044
99.00,1.2850,-0.0000,-0.0000,1.3128,0.0944,0.0779,0.9056,0.0054,0.0046
99.50,1.2850,-0.0000,-0.0000,1.3128,0.0944,0.0787,0.9056,0.0054,0.0054
100.00,1.2850,-0.0000,-0.0000,1.3128,0.0944,0.0792,0.9056,0.0054,0.0060
100.50,1.2850,-0.0000,-0.0000,1.3128,0.0944,0.0797,0.9056,0.0054,0.0064
