x,y
0.2492,-0.0016
0.9056,0.0054
0.9056,0.0054
0.9142,0.0676
0.8991,0.0275
0.7098,0.1479
0.6460,0.1729
0.4455,0.3596
0.1415,0.6840
-0.3548,0.6247
-2.9095,0.2067
-3.7483,-0.0449
-5.8554,-0.7967
-6.2335,-1.1628
-5.6851,-1.8890
-5.6568,-1.7783
-5.6703,-1.8101
-5.8250,-1.7336
-6.0824,-1.3296
-4.1109,-0.6876
-1.4926,-0.6737
1.0195,-0.6461
3.4886,-0.6446
5.6488,-1.5112
5.6517,-1.5663
5.7058,-1.5475
5.6896,-1.5575
5.7071,-1.5805
5.6990,-1.5608
5.6503,-3.5179
5.6409,-4.3426
6.3002,-5.4255
6.3531,-5.3141
6.3464,-5.3262
6.2897,-5.2739
5.6008,-4.5106
5.6069,-1.9208
6.6998,0.3528
7.4715,1.5155
8.2784,2.9558
8.8974,5.2220
8.8350,5.2740
8.8686,5.2604
8.8316,5.1438
8.8348,5.1514
8.7512,3.2975
7.3499,1.0935
4.9297,0.6513
2.3661,0.6517
-0.1124,0.6036
-2.6722,0.6128
-2.7889,0.6785
-2.7776,0.6568
-2.6958,0.7209
-2.6499,0.6869
-1.9212,0.6207
-0.9586,1.7164
-1.0034,1.6839
-1.0010,1.6908
-0.9008,1.6208
-0.5914,1.2104
