t,robot,x,y
80.0,leo1,0.000,0.000
81.0,leo1,0.000,0.000
82.0,leo1,0.000,0.000
83.0,leo1,0.000,0.000
84.0,leo1,0.000,0.000
85.0,leo1,0.000,0.000
86.0,leo1,0.000,0.000
87.0,leo1,0.000,0.000
88.0,leo1,0.077,-0.004
89.0,leo1,0.163,-0.003
90.0,leo1,0.249,-0.002
91.0,leo1,0.290,-0.001
92.0,leo1,0.312,0.001
93.0,leo1,0.396,0.001
94.0,leo1,0.466,0.003
95.0,leo1,0.558,0.003
96.0,leo1,0.683,0.004
97.0,leo1,0.797,0.004
98.0,leo1,0.906,0.005
99.0,leo1,0.906,0.005
100.0,leo1,0.906,0.005
101.0,leo1,0.906,0.005
102.0,leo1,0.906,0.005
103.0,leo1,0.906,0.005
104.0,leo1,0.906,0.005
105.0,leo1,0.906,0.005
106.0,leo1,0.906,0.005
107.0,leo1,0.906,0.005
108.0,leo1,0.906,0.005
109.0,leo1,0.906,0.005
110.0,leo1,0.906,0.005
111.0,leo1,0.906,0.005
112.0,leo1,0.906,0.005
113.0,leo1,0.910,0.006
114.0,leo1,0.913,0.021
115.0,leo1,0.925,0.024
116.0,leo1,0.935,0.027
117.0,leo1,0.942,0.030
118.0,leo1,0.949,0.034
119.0,leo1,0.924,0.057
120.0,leo1,0.914,0.068
121.0,leo1,0.915,0.068
122.0,leo1,0.915,0.068
123.0,leo1,0.914,0.067
124.0,leo1,0.914,0.067
125.0,leo1,0.913,0.065
126.0,leo1,0.910,0.061
127.0,leo1,0.907,0.055
128.0,leo1,0.904,0.047
129.0,leo1,0.901,0.038
130.0,leo1,0.899,0.027
131.0,leo1,0.853,0.065
132.0,leo1,0.853,0.053
133.0,leo1,0.852,0.068
134.0,leo1,0.849,0.081
135.0,leo1,0.846,0.092
136.0,leo1,0.844,0.099
137.0,leo1,0.841,0.105
138.0,leo1,0.838,0.109
139.0,leo1,0.837,0.112
140.0,leo1,0.710,0.148
141.0,leo1,0.530,0.331
142.0,leo1,0.484,0.364
143.0,leo1,0.510,0.334
144.0,leo1,0.536,0.304
145.0,leo1,0.562,0.273
146.0,leo1,0.608,0.252
147.0,leo1,0.634,0.222
148.0,leo1,0.637,0.184
149.0,leo1,0.646,0.173
150.0,leo1,0.646,0.173
151.0,leo1,0.646,0.173
152.0,leo1,0.647,0.172
153.0,leo1,0.666,0.163
154.0,leo1,0.691,0.159
155.0,leo1,0.682,0.161
156.0,leo1,0.672,0.165
157.0,leo1,0.664,0.168
158.0,leo1,0.658,0.170
159.0,leo1,0.621,0.195
160.0,leo1,0.446,0.360
161.0,leo1,0.261,0.550
162.0,leo1,0.111,0.720
163.0,leo1,-0.040,0.842
164.0,leo1,-0.043,0.848
165.0,leo1,-0.013,0.820
166.0,leo1,0.018,0.792
167.0,leo1,0.062,0.769
168.0,leo1,0.091,0.742
169.0,leo1,0.111,0.712
170.0,leo1,0.142,0.684
171.0,leo1,0.146,0.680
172.0,leo1,0.147,0.679
173.0,leo1,0.150,0.677
174.0,leo1,0.155,0.674
175.0,leo1,0.162,0.671
176.0,leo1,0.149,0.666
177.0,leo1,0.159,0.663
178.0,leo1,0.125,0.666
179.0,leo1,-0.158,0.599
180.0,leo1,-0.355,0.625
181.0,leo1,-0.620,0.614
182.0,leo1,-0.863,0.586
183.0,leo1,-1.148,0.556
184.0,leo1,-1.384,0.501
185.0,leo1,-1.627,0.466
186.0,leo1,-1.900,0.445
187.0,leo1,-2.138,0.391
188.0,leo1,-2.407,0.344
189.0,leo1,-2.645,0.283
190.0,leo1,-2.910,0.207
191.0,leo1,-3.172,0.147
192.0,leo1,-3.399,0.082
193.0,leo1,-3.637,0.008
194.0,leo1,-3.746,-0.029
195.0,leo1,-3.743,-0.042
196.0,leo1,-3.748,-0.045
197.0,leo1,-3.750,-0.046
198.0,leo1,-3.751,-0.047
199.0,leo1,-3.750,-0.046
200.0,leo1,-3.748,-0.045
201.0,leo1,-3.747,-0.044
202.0,leo1,-3.914,-0.083
203.0,leo1,-4.120,-0.126
204.0,leo1,-4.391,-0.206
205.0,leo1,-4.649,-0.286
206.0,leo1,-4.895,-0.375
207.0,leo1,-5.132,-0.466
208.0,leo1,-5.376,-0.564
209.0,leo1,-5.640,-0.670
210.0,leo1,-5.855,-0.797
211.0,leo1,-6.066,-0.976
212.0,leo1,-6.211,-1.171
213.0,leo1,-6.248,-1.220
214.0,leo1,-6.246,-1.217
215.0,leo1,-6.244,-1.213
