t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
53.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0692,,,
53.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0694,0.0000,0.0000,-0.0694
54.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0699,0.0000,0.0000,-0.0699
54.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0705,0.0000,0.0000,-0.0705
55.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0712,0.0000,0.0000,-0.0712
55.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0719,0.0000,0.0000,-0.0719
56.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0733,0.0000,0.0000,-0.0733
56.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0745,0.0000,0.0000,-0.0745
57.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0755,0.0000,0.0000,-0.0755
57.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0765,0.0000,0.0000,-0.0765
58.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0776,0.0000,0.0000,-0.0776
58.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0790,0.0000,0.0000,-0.0790
59.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0797,0.0000,0.0000,-0.0797
59.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0807,0.0000,0.0000,-0.0807
60.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0815,0.0000,0.0000,-0.0815
60.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0829,0.0000,0.0000,-0.0829
61.00,0.0376,-0.0000,-0.0000,0.0385,-0.0032,-0.0842,0.0385,-0.0032,-0.0842
61.50,0.0976,-0.0000,-0.0000,0.1032,-0.0087,-0.0851,0.1027,0.0023,-0.0258
62.00,0.1576,-0.0000,-0.0000,0.1646,-0.0140,-0.0865,0.1444,0.0106,-0.0271
62.50,0.2176,-0.0000,-0.0000,0.2212,-0.0190,-0.0877,0.2011,0.0091,-0.0284
63.00,0.2776,-0.0000,-0.0000,0.2818,-0.0243,-0.0888,0.2719,0.0073,-0.0295
63.50,0.3376,-0.0000,-0.0000,0.3461,-0.0301,-0.0895,0.3464,0.0043,-0.0232
64.00,0.3976,-0.0000,-0.0000,0.4024,-0.0352,-0.0913,0.3929,0.0035,-0.0285
64.50,0.4576,-0.0000,-0.0000,0.4669,-0.0411,-0.0926,0.4577,0.0016,-0.0298
65.00,0.5176,-0.0000,-0.0000,0.5262,-0.0467,-0.0937,0.5272,-0.0006,-0.0274
65.50,0.5776,-0.0000,-0.0000,0.5879,-0.0525,-0.0949,0.5891,-0.0029,-0.0251
66.00,0.6376,-0.0000,-0.0000,0.6472,-0.0582,-0.0962,0.6387,-0.0044,-0.0264
66.50,0.6976,-0.0000,-0.0000,0.7102,-0.0643,-0.0974,0.7019,-0.0061,-0.0276
67.00,0.7576,-0.0000,-0.0000,0.7727,-0.0704,-0.0981,0.7574,-0.0010,-0.0248
67.50,0.8176,-0.0000,-0.0000,0.8328,-0.0764,-0.0996,0.8151,0.0002,-0.0263
68.00,0.8776,-0.0000,-0.0000,0.8895,-0.0821,-0.1004,0.8821,-0.0114,-0.0271
68.50,0.9376,-0.0000,-0.0000,0.9511,-0.0883,-0.1018,0.9440,-0.0131,-0.0285
