x,y
0.0000,0.0000
1.1172,-0.0184
1.2511,-0.0129
1.2396,0.0369
1.4849,1.9125
2.3211,2.9408
2.3808,2.8849
2.3314,2.8470
2.2004,2.8163
0.3078,1.2340
-0.6724,0.4630
-1.3189,-0.0819
-1.1912,-0.1277
-0.5370,-1.0497
-0.5786,-1.1178
0.7151,-2.7033
1.6357,-3.8183
2.6425,-3.3544
2.6014,-3.3610
2.6563,-3.3834
3.9393,-5.4265
3.9984,-5.3923
3.9822,-5.3363
3.9092,-5.3193
3.8359,-5.3084
3.4086,-5.1363
1.2254,-3.7188
-0.9515,-2.3123
-3.1617,-0.9425
-4.2509,0.7522
-4.2965,0.8772
-4.3406,0.8082
-4.3211,0.7460
-4.8706,-0.1001
-5.3138,-2.3564
-5.2617,-3.2221
-5.2802,-3.2157
-3.3035,-3.1444
-0.6904,-3.1683
1.7993,-3.9178
2.5719,-3.0865
3.6873,-0.7275
4.7616,0.9467
5.3246,1.5823
5.1867,2.7804
6.2519,3.5445
6.0749,4.7209
6.0510,4.7044
6.0497,4.7085
6.1099,4.5707
6.1703,3.0182
4.4732,1.2774
3.6970,1.3295
3.7104,1.3535
3.7595,1.2938
3.7466,1.2971
5.3943,1.9514
3.5335,3.6341
1.8932,4.9620
1.7560,5.0263
1.8368,5.0862
1.8368,5.0862
1.8368,5.0862
1.8368,5.0862
1.8368,5.0862
1.8369,5.0865
1.8369,5.0865
1.8369,5.0865
1.8369,5.0865
1.8369,5.0865
1.8369,5.0865
1.8369,5.0865
1.8332,5.0790
1.8333,5.0792
1.8291,5.0701
1.8254,5.0608
1.8241,5.0366
1.8631,5.0636
1.8631,5.0636
1.8286,5.1087
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8273,5.1141
1.8274,5.1141
1.8274,5.1141
1.8274,5.1141
1.8274,5.1141
1.8274,5.1141
1.8274,5.1141
1.8274,5.1141
1.8274,5.1141
1.8274,5.1141
1.8274,5.1141
1.8274,5.1141
1.8274,5.1141
1.8274,5.1141
1.8274,5.1141
1.8274,5.1141
1.8274,5.1141
1.8274,5.1141
1.8274,5.1141
1.8274,5.1140
1.8274,5.1140
1.8274,5.1140
1.8274,5.1140
1.8274,5.1140
