t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
53.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0175,,,
53.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0179,0.0000,0.0000,0.0179
54.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0183,0.0000,0.0000,0.0183
54.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0188,0.0000,0.0000,0.0188
55.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0193,0.0000,0.0000,0.0193
55.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0197,0.0000,0.0000,0.0197
56.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0199,0.0000,0.0000,0.0199
56.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0206,0.0000,0.0000,0.0206
57.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0210,0.0000,0.0000,0.0210
57.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0211,0.0000,0.0000,0.0211
58.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0209,0.0000,0.0000,0.0209
58.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0211,0.0000,0.0000,0.0211
59.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0216,0.0000,0.0000,0.0216
59.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0218,0.0000,0.0000,0.0218
60.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0221,0.0000,0.0000,0.0221
60.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0221,0.0000,0.0000,0.0221
61.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0225,0.0000,0.0000,0.0225
61.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0226,0.0000,0.0000,0.0226
62.00,0.0449,-0.0000,-0.0000,0.0459,0.0010,0.0223,0.0459,0.0010,0.0223
62.50,0.1049,-0.0000,-0.0000,0.1037,0.0023,0.0228,0.1037,0.0023,0.0228
