t,robot,x,y
55.0,leo1,0.000,0.000
56.0,leo1,0.000,0.000
57.0,leo1,0.000,0.000
58.0,leo1,0.000,0.000
59.0,leo1,0.000,0.000
60.0,leo1,0.000,0.000
61.0,leo1,0.000,0.000
62.0,leo1,0.046,0.001
63.0,leo1,0.083,-0.004
64.0,leo1,0.123,-0.003
65.0,leo1,0.164,-0.002
66.0,leo1,0.126,-0.002
67.0,leo1,0.208,-0.001
68.0,leo1,0.254,0.001
69.0,leo1,0.362,0.002
70.0,leo1,0.448,0.002
71.0,leo1,0.545,0.003
72.0,leo1,0.639,0.004
73.0,leo1,0.637,0.004
74.0,leo1,0.637,0.004
75.0,leo1,0.637,0.004
76.0,leo1,0.637,0.004
77.0,leo1,0.637,0.004
78.0,leo1,0.637,0.004
79.0,leo1,0.637,0.004
80.0,leo1,0.637,0.004
81.0,leo1,0.645,0.004
82.0,leo1,0.658,0.006
83.0,leo1,0.671,0.028
84.0,leo1,0.681,0.031
85.0,leo1,0.689,0.035
86.0,leo1,0.695,0.038
87.0,leo1,0.699,0.040
88.0,leo1,0.701,0.042
89.0,leo1,0.701,0.042
90.0,leo1,0.701,0.042
91.0,leo1,0.700,0.041
92.0,leo1,0.700,0.040
93.0,leo1,0.698,0.039
94.0,leo1,0.696,0.035
95.0,leo1,0.694,0.030
96.0,leo1,0.691,0.022
97.0,leo1,0.688,0.012
98.0,leo1,0.686,-0.000
99.0,leo1,0.684,-0.016
100.0,leo1,0.641,0.059
101.0,leo1,0.641,0.063
102.0,leo1,0.643,0.029
103.0,leo1,0.605,-0.010
104.0,leo1,0.608,-0.053
105.0,leo1,0.620,-0.090
106.0,leo1,0.623,-0.132
107.0,leo1,0.625,-0.173
108.0,leo1,0.617,-0.184
109.0,leo1,0.617,-0.184
110.0,leo1,0.617,-0.184
111.0,leo1,0.614,-0.169
112.0,leo1,0.603,-0.147
113.0,leo1,0.603,-0.147
114.0,leo1,0.611,-0.156
115.0,leo1,0.636,-0.184
116.0,leo1,0.625,-0.258
117.0,leo1,0.651,-0.288
118.0,leo1,0.687,-0.315
119.0,leo1,0.713,-0.344
120.0,leo1,0.724,-0.376
121.0,leo1,0.726,-0.382
122.0,leo1,0.726,-0.382
123.0,leo1,0.726,-0.382
124.0,leo1,0.726,-0.382
125.0,leo1,0.726,-0.382
126.0,leo1,0.726,-0.382
127.0,leo1,0.727,-0.383
128.0,leo1,0.728,-0.385
129.0,leo1,0.731,-0.391
130.0,leo1,0.735,-0.399
131.0,leo1,0.771,-0.385
132.0,leo1,0.780,-0.392
133.0,leo1,0.782,-0.406
134.0,leo1,0.783,-0.422
135.0,leo1,0.818,-0.364
136.0,leo1,0.820,-0.351
137.0,leo1,0.822,-0.342
138.0,leo1,0.825,-0.334
139.0,leo1,0.878,-0.376
140.0,leo1,0.880,-0.371
141.0,leo1,0.882,-0.368
142.0,leo1,0.884,-0.366
143.0,leo1,0.884,-0.366
144.0,leo1,0.884,-0.365
145.0,leo1,0.884,-0.365
146.0,leo1,0.883,-0.366
147.0,leo1,0.882,-0.367
148.0,leo1,0.877,-0.370
149.0,leo1,0.870,-0.373
150.0,leo1,0.863,-0.376
151.0,leo1,0.854,-0.379
152.0,leo1,0.953,-0.371
153.0,leo1,1.220,-0.436
154.0,leo1,1.443,-0.392
155.0,leo1,1.666,-0.379
156.0,leo1,1.909,-0.402
157.0,leo1,2.165,-0.393
158.0,leo1,2.439,-0.378
159.0,leo1,2.666,-0.378
160.0,leo1,2.952,-0.375
161.0,leo1,3.197,-0.368
162.0,leo1,3.478,-0.383
163.0,leo1,3.733,-0.384
164.0,leo1,4.004,-0.406
165.0,leo1,4.254,-0.418
166.0,leo1,4.494,-0.477
167.0,leo1,4.725,-0.592
168.0,leo1,4.962,-0.714
169.0,leo1,5.146,-0.882
170.0,leo1,5.339,-1.063
171.0,leo1,5.476,-1.266
172.0,leo1,5.492,-1.301
173.0,leo1,5.489,-1.296
174.0,leo1,5.485,-1.288
175.0,leo1,5.482,-1.280
176.0,leo1,5.480,-1.272
177.0,leo1,5.483,-1.283
178.0,leo1,5.487,-1.293
179.0,leo1,5.490,-1.298
180.0,leo1,5.490,-1.299
181.0,leo1,5.490,-1.299
182.0,leo1,5.491,-1.301
183.0,leo1,5.492,-1.303
184.0,leo1,5.477,-1.294
185.0,leo1,5.469,-1.291
186.0,leo1,5.467,-1.291
187.0,leo1,5.436,-1.282
188.0,leo1,5.427,-1.250
189.0,leo1,5.385,-1.237
190.0,leo1,5.345,-1.235
191.0,leo1,5.305,-1.223
192.0,leo1,5.265,-1.201
193.0,leo1,5.242,-1.194
194.0,leo1,5.228,-1.191
195.0,leo1,5.213,-1.189
196.0,leo1,5.207,-1.189
197.0,leo1,5.207,-1.189
198.0,leo1,5.207,-1.189
199.0,leo1,5.220,-1.187
200.0,leo1,5.245,-1.175
201.0,leo1,5.246,-1.175
202.0,leo1,5.246,-1.175
203.0,leo1,5.246,-1.175
204.0,leo1,5.246,-1.175
205.0,leo1,5.246,-1.175
206.0,leo1,5.246,-1.174
207.0,leo1,5.246,-1.174
208.0,leo1,5.246,-1.175
209.0,leo1,5.244,-1.176
210.0,leo1,5.243,-1.178
211.0,leo1,5.241,-1.182
212.0,leo1,5.238,-1.188
213.0,leo1,5.235,-1.196
214.0,leo1,5.232,-1.208
215.0,leo1,5.229,-1.220
216.0,leo1,5.228,-1.237
217.0,leo1,5.181,-1.068
218.0,leo1,5.096,-0.843
219.0,leo1,4.944,-0.680
220.0,leo1,4.725,-0.587
221.0,leo1,4.477,-0.576
222.0,leo1,4.211,-0.584
223.0,leo1,3.962,-0.571
224.0,leo1,3.697,-0.564
225.0,leo1,3.447,-0.564
226.0,leo1,3.194,-0.564
227.0,leo1,2.946,-0.565
228.0,leo1,2.691,-0.565
229.0,leo1,2.425,-0.560
230.0,leo1,2.153,-0.568
231.0,leo1,1.889,-0.561
232.0,leo1,1.657,-0.564
233.0,leo1,1.457,-0.564
234.0,leo1,1.246,-0.563
235.0,leo1,1.007,-0.566
236.0,leo1,0.748,-0.564
237.0,leo1,0.477,-0.563
238.0,leo1,0.215,-0.565
239.0,leo1,0.054,-0.564
240.0,leo1,-0.282,-0.564
241.0,leo1,-0.476,-0.570
242.0,leo1,-0.692,-0.555
243.0,leo1,-0.693,-0.552
244.0,leo1,-0.703,-0.549
245.0,leo1,-0.699,-0.520
246.0,leo1,-0.706,-0.517
247.0,leo1,-0.711,-0.515
248.0,leo1,-0.715,-0.512
249.0,leo1,-0.717,-0.511
250.0,leo1,-0.717,-0.510
251.0,leo1,-0.718,-0.510
252.0,leo1,-0.718,-0.510
253.0,leo1,-0.717,-0.511
254.0,leo1,-0.716,-0.513
255.0,leo1,-0.713,-0.517
256.0,leo1,-0.711,-0.523
257.0,leo1,-0.707,-0.530
258.0,leo1,-0.705,-0.539
259.0,leo1,-0.706,-0.526
260.0,leo1,-0.586,-0.263
261.0,leo1,-0.628,-0.024
262.0,leo1,-0.644,0.132
263.0,leo1,-0.613,0.382
264.0,leo1,-0.546,0.635
265.0,leo1,-0.461,0.889
266.0,leo1,-0.380,1.133
267.0,leo1,-0.351,1.257
268.0,leo1,-0.351,1.249
269.0,leo1,-0.352,1.237
270.0,leo1,-0.353,1.253
271.0,leo1,-0.386,1.258
272.0,leo1,-0.389,1.268
273.0,leo1,-0.392,1.278
274.0,leo1,-0.395,1.285
275.0,leo1,-0.398,1.289
276.0,leo1,-0.430,1.252
277.0,leo1,-0.431,1.254
278.0,leo1,-0.431,1.254
279.0,leo1,-0.431,1.253
280.0,leo1,-0.430,1.253
281.0,leo1,-0.429,1.252
282.0,leo1,-0.426,1.250
283.0,leo1,-0.421,1.248
284.0,leo1,-0.417,1.246
285.0,leo1,-0.408,1.242
286.0,leo1,-0.397,1.240
287.0,leo1,-0.383,1.237
288.0,leo1,-0.417,1.196
289.0,leo1,-0.427,1.195
290.0,leo1,-0.441,1.193
291.0,leo1,-0.451,1.191
292.0,leo1,-0.460,1.188
