x,y
0.0000,0.0000
0.5818,-0.0052
0.8496,-0.0075
0.9119,0.0283
0.8340,0.0417
0.2052,0.6801
-0.0134,1.5118
0.1330,1.7936
0.1780,1.7736
0.1623,1.8186
0.6337,0.5854
2.7460,0.0809
2.3883,0.1780
4.7158,-0.5390
5.4364,-2.0537
5.4659,-2.0149
5.4820,-1.9753
6.4178,-3.0450
6.7542,-3.4802
6.7792,-3.4240
6.7534,-3.4197
7.3273,-4.1389
7.4974,-4.4614
7.4941,-4.4204
7.5057,-4.3258
7.3678,-4.0603
6.1477,-1.7807
6.8986,0.2391
7.4578,1.8717
8.8694,3.2803
8.8257,5.5931
7.3685,4.3602
7.3614,1.7560
6.3531,-0.3979
6.0639,-2.3751
6.0139,-4.3855
6.0432,-4.4132
6.0432,-4.4132
6.0432,-4.4132
6.0432,-4.4132
6.0432,-4.4132
6.0432,-4.4132
6.0432,-4.4132
6.0432,-4.4132
6.0432,-4.4132
6.0432,-4.4132
6.0432,-4.4132
6.0432,-4.4132
6.0432,-4.4132
6.0432,-4.4132
6.0432,-4.4132
