ground-truth markers : 8
detected correctly   : 7/8
missed               : 0
false positives      : 1
frames processed     : 6845 (1187 contained a marker)
position error       : mean 0.730 m, median 0.599 m, max 1.366 m

 id  status        err_m   detected (x, y)      truth (x, y)
  1  ok            0.568   (-11.47,  0.40)   (-11.88,  0.00)
  2  GROSS         1.632   ( 10.35, -0.06)   ( 11.88,  0.50)
  3  ok            0.260   ( -8.10,  8.12)   ( -8.00,  7.88)
  4  ok            0.854   ( -3.39,  4.30)   ( -3.88,  5.00)
  5  ok            1.366   ( 10.90,  4.05)   ( 11.88,  5.00)
  6  ok            0.599   (-11.85, -4.40)   (-11.88, -5.00)
  7  ok            0.931   (  3.09, -7.69)   (  4.00, -7.88)
  8  ok            0.530   ( -3.52, -1.24)   ( -3.00, -1.32)
