t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
53.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0805,,,
53.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0821,0.0000,0.0000,-0.0821
54.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0834,0.0000,0.0000,-0.0834
54.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0843,0.0000,0.0000,-0.0843
55.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0856,0.0000,0.0000,-0.0856
55.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0871,0.0000,0.0000,-0.0871
56.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0880,0.0000,0.0000,-0.0880
56.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0889,0.0000,0.0000,-0.0889
57.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0903,0.0000,0.0000,-0.0903
57.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0914,0.0000,0.0000,-0.0914
58.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0925,0.0000,0.0000,-0.0925
58.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0933,0.0000,0.0000,-0.0933
59.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0946,0.0000,0.0000,-0.0946
59.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0954,0.0000,0.0000,-0.0954
60.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0958,0.0000,0.0000,-0.0958
60.50,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0972,0.0000,0.0000,-0.0972
61.00,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0977,0.0000,0.0000,-0.0977
61.50,0.0001,-0.0000,-0.0000,0.0000,0.0000,-0.0990,0.0000,0.0000,-0.0990
62.00,0.0598,-0.0000,-0.0000,0.0521,-0.0052,-0.0998,0.0521,-0.0052,-0.0998
62.50,0.1198,-0.0000,-0.0000,0.1123,-0.0113,-0.1010,0.0917,-0.0020,-0.0207
63.00,0.1798,-0.0000,-0.0000,0.1700,-0.0172,-0.1020,0.1049,-0.0036,-0.0197
63.50,0.2398,-0.0000,-0.0000,0.2311,-0.0234,-0.1026,0.1310,-0.0050,-0.0189
64.00,0.2998,-0.0000,-0.0000,0.2948,-0.0300,-0.1039,0.1151,-0.0062,-0.0202
64.50,0.3598,-0.0000,-0.0000,0.3535,-0.0362,-0.1051,0.1341,-0.0074,-0.0213
65.00,0.4198,-0.0000,-0.0000,0.4173,-0.0429,-0.1059,0.1702,-0.0032,-0.0221
65.50,0.4798,-0.0000,-0.0000,0.4794,-0.0496,-0.1077,0.2106,-0.0002,-0.0239
66.00,0.5398,-0.0000,-0.0000,0.5400,-0.0562,-0.1091,0.2316,-0.0022,-0.0218
66.50,0.5998,-0.0000,-0.0000,0.6022,-0.0630,-0.1102,0.2642,-0.0036,-0.0229
67.00,0.6598,-0.0000,-0.0000,0.6646,-0.0699,-0.1113,0.3101,-0.0051,-0.0241
67.50,0.7198,-0.0000,-0.0000,0.7261,-0.0769,-0.1126,0.3588,-0.0066,-0.0253
68.00,0.7798,-0.0000,-0.0000,0.7850,-0.0835,-0.1137,0.3880,-0.0082,-0.0265
68.50,0.8398,-0.0000,-0.0000,0.8455,-0.0905,-0.1150,0.4490,-0.0098,-0.0277
69.00,0.8998,-0.0000,-0.0000,0.9065,-0.0976,-0.1159,0.4791,-0.0120,-0.0252
69.50,0.9598,-0.0000,-0.0000,0.9696,-0.1050,-0.1174,0.5338,-0.0136,-0.0267
70.00,1.0198,-0.0000,-0.0000,1.0281,-0.1119,-0.1186,0.5727,-0.0152,-0.0279
70.50,1.0798,-0.0000,-0.0000,1.0884,-0.1191,-0.1200,0.6334,-0.0170,-0.0292
71.00,1.1398,-0.0000,-0.0000,1.1497,-0.1265,-0.1207,0.6951,-0.0192,-0.0264
71.50,1.1998,-0.0000,-0.0000,1.2090,-0.1337,-0.1216,0.7448,-0.0108,-0.0274
72.00,1.2248,-0.0000,-0.0000,1.2430,-0.1379,-0.1224,0.7790,-0.0118,-0.0282
72.50,1.2248,-0.0000,-0.0000,1.2430,-0.1379,-0.1239,0.7790,-0.0118,-0.0297
73.00,1.2248,-0.0000,-0.0000,1.2430,-0.1379,-0.1253,0.7790,-0.0117,-0.0311
73.50,1.2248,-0.0000,-0.0000,1.2430,-0.1379,-0.1265,0.7790,-0.0117,-0.0322
74.00,1.2248,-0.0000,-0.0000,1.2430,-0.1379,-0.1276,0.7790,-0.0117,-0.0333
74.50,1.2248,-0.0000,-0.0000,1.2430,-0.1379,-0.1292,0.7790,-0.0117,-0.0350
75.00,1.2248,-0.0000,-0.0000,1.2430,-0.1379,-0.1301,0.7790,-0.0117,-0.0358
75.50,1.2248,-0.0000,-0.0000,1.2430,-0.1379,-0.1309,0.7790,-0.0117,-0.0367
76.00,1.2248,-0.0000,-0.0000,1.2430,-0.1379,-0.1318,0.7790,-0.0117,-0.0376
76.50,1.2248,-0.0000,-0.0000,1.2430,-0.1379,-0.1322,0.7790,-0.0117,-0.0379
77.00,1.2248,-0.0000,-0.0000,1.2430,-0.1379,-0.1333,0.7790,-0.0117,-0.0391
77.50,1.2248,-0.0000,-0.0000,1.2430,-0.1379,-0.1346,0.7790,-0.0117,-0.0404
78.00,1.2248,-0.0000,-0.0000,1.2430,-0.1379,-0.1355,0.7790,-0.0117,-0.0412
78.50,1.2248,-0.0000,-0.0000,1.2430,-0.1379,-0.1367,0.7790,-0.0117,-0.0425
79.00,1.2248,-0.0000,-0.0000,1.2430,-0.1379,-0.1384,0.7790,-0.0117,-0.0442
79.50,1.2248,-0.0000,-0.0000,1.2430,-0.1379,-0.1399,0.7790,-0.0117,-0.0457
80.00,1.2248,0.0000,0.0009,1.2430,-0.1379,-0.1411,0.7790,-0.0117,-0.0469
80.50,1.2248,0.0048,0.0499,1.2467,-0.1383,-0.0958,0.7828,-0.0118,-0.0016
81.00,1.2248,0.0122,0.1009,1.2548,-0.1389,-0.0464,0.7909,-0.0117,0.0479
81.50,1.2249,0.0192,0.1501,1.2616,-0.1391,0.0021,0.7977,-0.0112,0.0964
82.00,1.2249,0.0257,0.1977,1.2689,-0.1389,0.0482,0.8454,-0.0049,0.1668
82.50,1.2249,0.0317,0.2438,1.2751,-0.1384,0.0927,0.8515,-0.0038,0.2114
83.00,1.2249,0.0371,0.2884,1.2809,-0.1378,0.1360,0.8572,-0.0024,0.2546
83.50,1.2250,0.0422,0.3318,1.2844,-0.1372,0.1781,0.8606,-0.0015,0.2967
84.00,1.2250,0.0467,0.3739,1.2885,-0.1364,0.2191,0.8646,-0.0002,0.3377
84.50,1.2251,0.0507,0.4148,1.2928,-0.1354,0.2591,0.8688,0.0014,0.3778
85.00,1.2251,0.0543,0.4546,1.2959,-0.1345,0.2979,0.8717,0.0026,0.4165
85.50,1.2251,0.0573,0.4933,1.2988,-0.1335,0.3355,0.8745,0.0039,0.4541
86.00,1.2252,0.0600,0.5310,1.3017,-0.1325,0.3723,0.8772,0.0053,0.4910
86.50,1.2252,0.0621,0.5678,1.3034,-0.1318,0.4078,0.8788,0.0062,0.5265
87.00,1.2253,0.0638,0.6036,1.3046,-0.1312,0.4426,0.8800,0.0069,0.5612
87.50,1.2254,0.0650,0.6384,1.3059,-0.1306,0.4765,0.8227,0.0453,0.6091
88.00,1.2254,0.0658,0.6724,1.3067,-0.1302,0.5100,0.8234,0.0458,0.6426
88.50,1.2254,0.0660,0.6911,1.3071,-0.1300,0.5305,0.8237,0.0461,0.6631
89.00,1.2254,0.0660,0.6911,1.3071,-0.1300,0.5297,0.8237,0.0461,0.6623
89.50,1.2144,0.0569,0.6911,1.2986,-0.1349,0.5286,0.8160,0.0401,0.6612
90.00,1.1836,0.0314,0.6911,1.2618,-0.1563,0.5269,0.7824,0.0140,0.6596
90.50,1.1527,0.0059,0.6911,1.2289,-0.1755,0.5263,0.7434,-0.0107,0.6659
91.00,1.1219,-0.0196,0.6911,1.1915,-0.1972,0.5253,0.7094,-0.0374,0.6649
91.50,1.0911,-0.0451,0.6911,1.1557,-0.2179,0.5243,0.6867,-0.0629,0.6639
92.00,1.0603,-0.0706,0.6911,1.1210,-0.2380,0.5229,0.6386,-0.0823,0.6644
92.50,1.0297,-0.0959,0.6911,1.0861,-0.2581,0.5214,0.5940,-0.1030,0.6645
93.00,1.0220,-0.1023,0.6911,1.0731,-0.2655,0.5204,0.5822,-0.1123,0.6635
93.50,1.0220,-0.1023,0.6911,1.0731,-0.2655,0.5186,0.5822,-0.1123,0.6617
94.00,1.0220,-0.1023,0.6911,1.0731,-0.2655,0.5175,0.5822,-0.1123,0.6605
94.50,1.0220,-0.1023,0.6911,1.0731,-0.2655,0.5170,0.5822,-0.1123,0.6601
95.00,1.0220,-0.1023,0.6911,1.0731,-0.2655,0.5162,0.5822,-0.1123,0.6593
95.50,1.0221,-0.1022,0.7195,1.0732,-0.2655,0.5371,0.5822,-0.1122,0.6802
96.00,1.0219,-0.1029,0.8590,1.0730,-0.2656,0.6684,0.5821,-0.1124,0.8114
96.50,1.0173,-0.1032,1.0325,1.0700,-0.2685,0.8389,0.5795,-0.1156,0.9820
97.00,1.0040,-0.1034,1.2299,1.0613,-0.2802,1.0332,0.5726,-0.1285,1.1763
97.50,0.9891,-0.1035,1.3576,1.0548,-0.2934,1.1721,0.5508,-0.1335,1.3292
98.00,0.9871,-0.1035,1.3846,1.0538,-0.2959,1.1981,0.5502,-0.1362,1.3551
98.50,0.9807,-0.1035,1.4326,1.0519,-0.3011,1.2445,0.5492,-0.1416,1.4015
99.00,0.9736,-0.1036,1.4822,1.0497,-0.3081,1.2927,0.5480,-0.1488,1.4498
99.50,0.9661,-0.1036,1.5337,1.0472,-0.3176,1.3425,0.5471,-0.1587,1.4995
100.00,0.9581,-0.1036,1.5871,1.0460,-0.3235,1.3941,0.5468,-0.1647,1.5511
100.50,0.9504,-0.1036,1.6393,1.0471,-0.3162,1.4453,0.5281,-0.1073,1.6094
101.00,0.9431,-0.1035,1.6897,1.0477,-0.3099,1.4945,0.5277,-0.1010,1.6585
101.50,0.9363,-0.1035,1.7383,1.0481,-0.3029,1.5414,0.5269,-0.0940,1.7055
102.00,0.9300,-0.1035,1.7853,1.0481,-0.2965,1.5875,0.5259,-0.0877,1.7516
102.50,0.9242,-0.1035,1.8308,1.0478,-0.2890,1.6323,0.5244,-0.0803,1.7963
103.00,0.9160,-0.0862,1.9203,1.0460,-0.2710,1.7140,0.5196,-0.0629,1.8780
103.50,0.8911,-0.0138,2.0460,1.0302,-0.2014,1.8476,0.4740,-0.0365,2.0221
104.00,0.8332,0.0987,2.0489,0.9940,-0.0792,1.8570,0.4169,0.0876,2.0280
104.50,0.7785,0.2158,1.9940,0.9595,0.0515,1.7995,0.3607,0.2004,1.9705
105.00,0.7220,0.3336,2.0327,0.9283,0.1801,1.8307,0.2983,0.3219,2.0052
105.50,0.6577,0.4483,2.0835,0.8907,0.3075,1.8808,0.2535,0.4309,2.0553
106.00,0.5878,0.5592,2.1649,0.8445,0.4371,1.9582,0.1937,0.5505,2.1362
106.50,0.5083,0.6621,2.2941,0.7821,0.5670,2.0866,0.1214,0.6562,2.2630
107.00,0.4185,0.7556,2.3652,0.7113,0.6806,2.1628,0.0625,0.7498,2.3391
107.50,0.3264,0.8476,2.3272,0.6354,0.7943,2.1343,-0.0325,0.8449,2.3132
108.00,0.2531,0.9331,2.1646,0.5779,0.8982,1.9816,-0.0808,0.9324,2.1631
108.50,0.2038,1.0048,1.9126,0.5525,0.9813,1.7331,-0.1079,1.0000,1.9146
109.00,0.1638,1.1177,1.6287,0.5511,1.0955,1.4470,-0.1368,1.1182,1.6283
109.50,0.1415,1.2473,1.4174,0.5834,1.2259,1.2245,-0.1672,1.2467,1.4077
110.00,0.1587,1.3749,1.3640,0.6356,1.3519,1.1556,-0.1545,1.3746,1.3439
110.50,0.1868,1.5010,1.3479,0.6903,1.4753,1.1406,-0.1284,1.5017,1.3273
111.00,0.2077,1.5870,1.3856,0.7302,1.5635,1.1737,-0.1052,1.5857,1.3639
111.50,0.2164,1.6124,1.4326,0.7430,1.5953,1.2209,-0.0986,1.6194,1.4111
112.00,0.2154,1.6124,1.4823,0.7431,1.5955,1.2700,-0.0985,1.6196,1.4602
112.50,0.2081,1.6124,1.5338,0.7414,1.5895,1.3204,-0.0991,1.6133,1.5106
113.00,0.2001,1.6124,1.5871,0.7402,1.5844,1.3724,-0.0993,1.6081,1.5626
113.50,0.1924,1.6124,1.6394,0.7413,1.5907,1.4234,-0.0994,1.6145,1.6137
114.00,0.1851,1.6124,1.6897,0.7422,1.5977,1.4729,-0.0999,1.6215,1.6631
114.50,0.1783,1.6124,1.7383,0.7427,1.6037,1.5206,-0.1006,1.6276,1.7108
115.00,0.1720,1.6124,1.7854,0.7429,1.6111,1.5673,-0.1017,1.6348,1.7575
115.50,0.1662,1.6125,1.8309,0.7428,1.6170,1.6120,-0.1030,1.6407,1.8022
116.00,0.1609,1.6125,1.8751,0.7424,1.6230,1.6542,-0.1044,1.6465,1.8444
116.50,0.1561,1.6125,1.9179,0.7418,1.6286,1.6957,-0.1648,1.6223,1.8929
117.00,0.1517,1.6126,1.9596,0.7412,1.6331,1.7365,-0.1663,1.6266,1.9336
117.50,0.1479,1.6126,2.0001,0.7404,1.6374,1.7755,-0.1679,1.6306,1.9726
118.00,0.1445,1.6127,2.0395,0.7396,1.6410,1.8140,-0.1694,1.6339,2.0111
118.50,0.1416,1.6127,2.0779,0.7391,1.6429,1.8517,-0.1703,1.6357,2.0489
119.00,0.1391,1.6128,2.1152,0.7383,1.6455,1.8876,-0.1716,1.6381,2.0848
119.50,0.1372,1.6128,2.1516,0.7373,1.6482,1.9232,-0.1730,1.6406,2.1204
120.00,0.1357,1.6129,2.1871,0.7367,1.6500,1.9575,-0.1740,1.6422,2.1546
120.50,0.1346,1.6129,2.2216,0.7361,1.6514,1.9912,-0.1749,1.6434,2.1884
121.00,0.1340,1.6130,2.2552,0.7359,1.6518,2.0241,-0.1752,1.6438,2.2213
121.50,0.1338,1.6130,2.2880,0.7357,1.6521,2.0554,-0.1754,1.6441,2.2526
122.00,0.1338,1.6129,2.3207,0.7358,1.6519,2.0867,-0.1752,1.6439,2.2839
122.50,0.1339,1.6127,2.3546,0.7359,1.6518,2.1185,-0.1752,1.6439,2.3157
123.00,0.1342,1.6127,2.3885,0.7361,1.6514,2.1518,-0.1748,1.6435,2.3490
123.50,0.1345,1.6128,2.4214,0.7365,1.6509,2.1831,-0.1744,1.6431,2.3803
124.00,0.1346,1.6126,2.4541,0.7366,1.6508,2.2146,-0.1743,1.6430,2.4118
124.50,0.1346,1.6121,2.4876,0.7368,1.6505,2.2469,-0.1740,1.6427,2.4440
125.00,0.1347,1.6110,2.5221,0.7375,1.6496,2.2798,-0.1731,1.6420,2.4770
125.50,0.1347,1.6096,2.5574,0.7386,1.6484,2.3140,-0.1718,1.6410,2.5112
126.00,0.1348,1.6076,2.5937,0.7403,1.6467,2.3492,-0.1698,1.6396,2.5464
126.50,0.1348,1.6053,2.6310,0.7418,1.6451,2.3851,-0.1680,1.6385,2.5823
127.00,0.1349,1.6024,2.6692,0.7443,1.6428,2.4222,-0.1651,1.6367,2.6194
127.50,0.1349,1.5991,2.7086,0.7465,1.6410,2.4600,-0.1627,1.6353,2.6572
128.00,0.1350,1.5952,2.7490,0.7495,1.6387,2.4994,-0.1592,1.6336,2.6966
128.50,0.1350,1.5909,2.7905,0.7527,1.6364,2.5394,-0.1556,1.6320,2.7366
129.00,0.1350,1.5862,2.8333,0.7552,1.6348,2.5812,-0.1529,1.6309,2.7783
129.50,0.1351,1.5809,2.8773,0.7596,1.6321,2.6235,-0.1480,1.6292,2.8207
130.00,0.1351,1.5751,2.9227,0.7643,1.6296,2.6675,-0.1429,1.6276,2.8647
130.50,0.1351,1.5689,2.9696,0.7710,1.6263,2.7131,-0.1357,1.6257,2.9103
131.00,0.1351,1.5621,3.0180,0.7767,1.6239,2.7605,-0.1297,1.6244,2.9577
131.50,0.1352,1.5549,3.0682,0.7847,1.6209,2.8091,-0.1212,1.6231,3.0062
132.00,0.1352,1.5472,3.1203,0.7915,1.6187,2.8603,-0.1528,1.5878,3.0790
132.50,0.1352,1.5393,-3.1095,0.7911,1.6187,2.9127,-0.1838,1.5600,-3.1349
133.00,0.1352,1.5317,-3.0578,0.7838,1.6202,2.9631,-0.1912,1.5598,-3.0845
133.50,0.1351,1.5246,-3.0080,0.7754,1.6215,3.0122,-0.1997,1.5591,-3.0354
134.00,0.1351,1.5179,-2.9599,0.7694,1.6222,3.0594,-0.2057,1.5583,-2.9882
134.50,0.1351,1.5118,-2.9133,0.7625,1.6226,3.1047,-0.2125,1.5571,-2.9429
135.00,0.1351,1.5061,-2.8682,0.7571,1.6227,-3.1343,-0.2178,1.5559,-2.8987
135.50,0.1350,1.5017,-2.8308,0.7518,1.6225,-3.0942,-0.2229,1.5545,-2.8586
136.00,0.1350,1.4986,-2.7951,0.7496,1.6224,-3.0638,-0.2250,1.5538,-2.8282
136.50,0.1350,1.4943,-2.7534,0.7454,1.6220,-3.0240,-0.2290,1.5525,-2.7884
137.00,0.1349,1.4904,-2.7129,0.7412,1.6214,-2.9843,-0.2111,1.5188,-2.7409
137.50,0.1349,1.4870,-2.6735,0.7366,1.6206,-2.9459,-0.1983,1.4916,-2.6964
138.00,0.1348,1.4841,-2.6351,0.7338,1.6200,-2.9085,-0.2008,1.4903,-2.6590
138.50,0.1348,1.4816,-2.5977,0.7317,1.6194,-2.8724,-0.2027,1.4892,-2.6229
139.00,0.1347,1.4797,-2.5613,0.7300,1.6189,-2.8371,-0.2042,1.4884,-2.5876
139.50,0.1347,1.4782,-2.5259,0.7286,1.6185,-2.8030,-0.2054,1.4876,-2.5535
140.00,0.1346,1.4771,-2.4913,0.7275,1.6181,-2.7695,-0.2064,1.4869,-2.5199
140.50,0.1346,1.4765,-2.4577,0.7271,1.6179,-2.7372,-0.2067,1.4866,-2.4877
141.00,0.1345,1.4763,-2.4249,0.7269,1.6178,-2.7049,-0.2070,1.4865,-2.4554
141.50,0.1347,1.4763,-2.3922,0.7269,1.6178,-2.6731,-0.2070,1.4865,-2.4235
142.00,0.1349,1.4764,-2.3583,0.7270,1.6179,-2.6405,-0.2068,1.4866,-2.3910
142.50,0.1185,1.4592,-2.2770,0.7086,1.6068,-2.5691,-0.2219,1.4713,-2.3195
143.00,0.0729,1.3893,-2.1187,0.6471,1.5591,-2.4103,-0.2512,1.4112,-2.1468
143.50,0.0132,1.2771,-2.0696,0.5516,1.4661,-2.3510,-0.3090,1.2864,-2.0910
144.00,-0.0535,1.1650,-2.1546,0.4519,1.3706,-2.4285,-0.3862,1.1783,-2.1705
144.50,-0.1293,1.0593,-2.2241,0.3556,1.2942,-2.5029,-0.4550,1.0804,-2.2360
145.00,-0.2133,0.9599,-2.3329,0.2462,1.2208,-2.6104,-0.5411,0.9807,-2.3469
145.50,-0.3081,0.8704,-2.4407,0.1263,1.1582,-2.7196,-0.6190,0.8874,-2.4544
146.00,-0.4114,0.7905,-2.5560,-0.0003,1.1084,-2.8313,-0.7328,0.8048,-2.5660
146.50,-0.5244,0.7197,-2.6985,-0.1334,1.0761,-2.9750,-0.8574,0.7472,-2.7062
147.00,-0.6460,0.6579,-2.8880,-0.2700,1.0647,3.1244,-0.9772,0.6966,-2.8935
147.50,-0.7743,0.6091,-3.0989,-0.4049,1.0809,2.9117,-1.1062,0.6528,-3.1034
148.00,-0.9042,0.5977,3.0945,-0.5245,1.1175,2.8037,-1.2368,0.6342,3.0718
148.50,-1.0341,0.6027,3.1003,-0.6524,1.1615,2.8107,-1.3562,0.6286,3.0824
149.00,-1.1640,0.6033,-3.0798,-0.7763,1.2004,2.8982,-1.4848,0.6329,-3.1149
149.50,-1.2930,0.5941,-2.9843,-0.9177,1.2258,3.0057,-1.6389,0.6193,-3.0094
150.00,-1.4215,0.5767,-3.0105,-1.0531,1.2448,2.9835,-1.7547,0.6120,-3.0315
150.50,-1.5506,0.5621,-3.0200,-1.1897,1.2680,2.9694,-1.8625,0.5983,-3.0421
151.00,-1.6691,0.5457,-3.0094,-1.3147,1.2890,2.9794,-1.9785,0.5850,-3.0321
151.50,-1.7518,0.5350,-3.0113,-1.3984,1.3029,2.9750,-2.0717,0.5759,-3.0366
152.00,-1.8747,0.5158,-2.9622,-1.5199,1.3214,3.0170,-2.2050,0.5614,-2.9911
152.50,-2.0010,0.4874,-2.8569,-1.6503,1.3302,3.1268,-2.3129,0.5345,-2.8813
153.00,-2.1257,0.4513,-2.8536,-1.7848,1.3315,3.1306,-2.4626,0.4991,-2.8809
153.50,-2.2495,0.4090,-2.8139,-1.9176,1.3304,-3.1127,-2.5603,0.4626,-2.8375
154.00,-2.3723,0.3655,-2.8145,-2.0553,1.3252,-3.1073,-2.7058,0.4202,-2.8322
154.50,-2.4974,0.3295,-2.9373,-2.1856,1.3273,3.0552,-2.8374,0.3868,-2.9529
155.00,-2.6253,0.3033,-2.9562,-2.3194,1.3430,3.0204,-2.9560,0.3659,-2.9841
155.50,-2.7417,0.2739,-2.8606,-2.4469,1.3527,3.1177,-3.0857,0.3405,-2.8834
156.00,-2.8017,0.2557,-2.8559,-2.5162,1.3539,3.1243,-3.1625,0.3217,-2.8837
