t,robot,x,y
55.0,leo1,0.000,0.000
56.0,leo1,0.000,0.000
57.0,leo1,0.000,0.000
58.0,leo1,0.000,0.000
59.0,leo1,0.000,0.000
60.0,leo1,0.000,0.000
61.0,leo1,0.000,0.000
62.0,leo1,0.052,-0.005
63.0,leo1,0.105,-0.004
64.0,leo1,0.115,-0.006
65.0,leo1,0.170,-0.003
66.0,leo1,0.232,-0.002
67.0,leo1,0.310,-0.005
68.0,leo1,0.388,-0.008
69.0,leo1,0.479,-0.012
70.0,leo1,0.573,-0.015
71.0,leo1,0.695,-0.019
72.0,leo1,0.779,-0.012
73.0,leo1,0.779,-0.012
74.0,leo1,0.779,-0.012
75.0,leo1,0.779,-0.012
76.0,leo1,0.779,-0.012
77.0,leo1,0.779,-0.012
78.0,leo1,0.779,-0.012
79.0,leo1,0.779,-0.012
80.0,leo1,0.779,-0.012
81.0,leo1,0.791,-0.012
82.0,leo1,0.845,-0.005
83.0,leo1,0.857,-0.002
84.0,leo1,0.865,-0.000
85.0,leo1,0.872,0.003
86.0,leo1,0.877,0.005
87.0,leo1,0.880,0.007
88.0,leo1,0.823,0.046
89.0,leo1,0.824,0.046
90.0,leo1,0.782,0.014
91.0,leo1,0.709,-0.037
92.0,leo1,0.639,-0.082
93.0,leo1,0.582,-0.112
94.0,leo1,0.582,-0.112
95.0,leo1,0.582,-0.112
96.0,leo1,0.582,-0.112
97.0,leo1,0.573,-0.128
98.0,leo1,0.550,-0.136
99.0,leo1,0.548,-0.149
100.0,leo1,0.547,-0.165
101.0,leo1,0.528,-0.101
102.0,leo1,0.526,-0.088
103.0,leo1,0.520,-0.063
104.0,leo1,0.417,0.088
105.0,leo1,0.298,0.322
106.0,leo1,0.194,0.551
107.0,leo1,0.063,0.750
108.0,leo1,-0.081,0.932
109.0,leo1,-0.137,1.118
110.0,leo1,-0.155,1.375
111.0,leo1,-0.105,1.586
112.0,leo1,-0.099,1.620
113.0,leo1,-0.099,1.608
114.0,leo1,-0.100,1.622
115.0,leo1,-0.102,1.635
116.0,leo1,-0.104,1.646
117.0,leo1,-0.166,1.627
118.0,leo1,-0.169,1.634
119.0,leo1,-0.172,1.638
120.0,leo1,-0.174,1.642
121.0,leo1,-0.175,1.644
122.0,leo1,-0.175,1.644
123.0,leo1,-0.175,1.643
124.0,leo1,-0.174,1.643
125.0,leo1,-0.173,1.642
126.0,leo1,-0.170,1.640
127.0,leo1,-0.165,1.637
128.0,leo1,-0.159,1.634
129.0,leo1,-0.153,1.631
130.0,leo1,-0.143,1.628
131.0,leo1,-0.130,1.624
132.0,leo1,-0.153,1.588
133.0,leo1,-0.191,1.560
134.0,leo1,-0.206,1.558
135.0,leo1,-0.218,1.556
136.0,leo1,-0.225,1.554
137.0,leo1,-0.211,1.519
138.0,leo1,-0.201,1.490
139.0,leo1,-0.204,1.488
140.0,leo1,-0.206,1.487
141.0,leo1,-0.207,1.486
142.0,leo1,-0.207,1.487
143.0,leo1,-0.251,1.411
144.0,leo1,-0.386,1.178
145.0,leo1,-0.541,0.981
146.0,leo1,-0.733,0.805
147.0,leo1,-0.977,0.697
148.0,leo1,-1.237,0.634
149.0,leo1,-1.485,0.633
150.0,leo1,-1.755,0.612
151.0,leo1,-1.979,0.585
152.0,leo1,-2.205,0.561
153.0,leo1,-2.463,0.499
154.0,leo1,-2.706,0.420
155.0,leo1,-2.956,0.366
156.0,leo1,-3.163,0.322
157.0,leo1,-3.134,0.330
158.0,leo1,-3.034,0.353
159.0,leo1,-2.954,0.374
160.0,leo1,-2.864,0.386
161.0,leo1,-2.790,0.407
162.0,leo1,-2.699,0.426
163.0,leo1,-2.769,0.413
164.0,leo1,-3.057,0.382
165.0,leo1,-3.256,0.283
166.0,leo1,-3.334,0.250
167.0,leo1,-3.338,0.248
168.0,leo1,-3.339,0.246
169.0,leo1,-3.340,0.246
170.0,leo1,-3.339,0.247
171.0,leo1,-3.339,0.247
172.0,leo1,-3.339,0.246
173.0,leo1,-3.340,0.246
174.0,leo1,-3.338,0.247
175.0,leo1,-3.336,0.248
176.0,leo1,-3.332,0.250
177.0,leo1,-3.400,0.232
178.0,leo1,-3.639,0.257
179.0,leo1,-3.890,0.188
180.0,leo1,-4.104,0.068
181.0,leo1,-4.361,-0.024
182.0,leo1,-4.606,-0.088
183.0,leo1,-4.855,-0.179
184.0,leo1,-5.126,-0.256
185.0,leo1,-5.360,-0.342
186.0,leo1,-5.589,-0.460
187.0,leo1,-5.843,-0.563
188.0,leo1,-6.053,-0.727
189.0,leo1,-6.207,-0.942
190.0,leo1,-6.355,-1.153
191.0,leo1,-6.427,-1.255
192.0,leo1,-6.426,-1.252
193.0,leo1,-6.423,-1.247
194.0,leo1,-6.419,-1.238
195.0,leo1,-6.415,-1.226
196.0,leo1,-6.412,-1.213
197.0,leo1,-6.393,-1.237
198.0,leo1,-6.393,-1.239
199.0,leo1,-6.392,-1.253
200.0,leo1,-6.390,-1.264
201.0,leo1,-6.387,-1.275
202.0,leo1,-6.384,-1.283
203.0,leo1,-6.381,-1.290
204.0,leo1,-6.379,-1.294
205.0,leo1,-6.320,-1.258
206.0,leo1,-6.319,-1.259
207.0,leo1,-6.320,-1.258
208.0,leo1,-6.320,-1.258
209.0,leo1,-6.321,-1.258
210.0,leo1,-6.322,-1.257
211.0,leo1,-6.325,-1.255
212.0,leo1,-6.329,-1.252
213.0,leo1,-6.336,-1.249
214.0,leo1,-6.346,-1.245
215.0,leo1,-6.357,-1.242
216.0,leo1,-6.310,-1.205
217.0,leo1,-6.320,-1.205
218.0,leo1,-6.305,-1.204
219.0,leo1,-6.292,-1.202
220.0,leo1,-6.279,-1.199
221.0,leo1,-6.272,-1.197
222.0,leo1,-6.264,-1.194
223.0,leo1,-6.298,-1.125
224.0,leo1,-6.295,-1.123
225.0,leo1,-6.293,-1.122
226.0,leo1,-6.263,-1.094
227.0,leo1,-6.130,-0.900
228.0,leo1,-5.985,-0.690
229.0,leo1,-5.797,-0.549
230.0,leo1,-5.568,-0.475
231.0,leo1,-5.300,-0.478
232.0,leo1,-5.043,-0.470
233.0,leo1,-4.781,-0.471
234.0,leo1,-4.520,-0.459
235.0,leo1,-4.270,-0.462
236.0,leo1,-4.007,-0.461
237.0,leo1,-3.749,-0.461
238.0,leo1,-3.511,-0.461
239.0,leo1,-3.266,-0.461
240.0,leo1,-2.988,-0.457
241.0,leo1,-2.720,-0.459
242.0,leo1,-2.456,-0.460
243.0,leo1,-2.186,-0.460
244.0,leo1,-1.936,-0.460
245.0,leo1,-1.698,-0.460
246.0,leo1,-1.434,-0.459
247.0,leo1,-1.170,-0.456
248.0,leo1,-0.915,-0.459
249.0,leo1,-0.664,-0.460
250.0,leo1,-0.384,-0.457
251.0,leo1,-0.107,-0.461
252.0,leo1,0.173,-0.456
253.0,leo1,0.390,-0.462
254.0,leo1,0.641,-0.460
255.0,leo1,0.901,-0.462
256.0,leo1,1.143,-0.456
257.0,leo1,1.409,-0.461
258.0,leo1,1.577,-0.462
259.0,leo1,1.587,-0.462
260.0,leo1,1.587,-0.462
261.0,leo1,1.610,-0.456
262.0,leo1,1.622,-0.450
263.0,leo1,1.621,-0.450
264.0,leo1,1.618,-0.452
265.0,leo1,1.613,-0.455
266.0,leo1,1.606,-0.458
267.0,leo1,1.597,-0.461
268.0,leo1,1.653,-0.454
269.0,leo1,1.900,-0.468
270.0,leo1,2.172,-0.465
271.0,leo1,2.439,-0.463
272.0,leo1,2.688,-0.464
273.0,leo1,2.957,-0.466
274.0,leo1,3.208,-0.469
275.0,leo1,3.472,-0.473
276.0,leo1,3.750,-0.477
277.0,leo1,4.004,-0.486
278.0,leo1,4.269,-0.536
279.0,leo1,4.509,-0.610
280.0,leo1,4.750,-0.700
281.0,leo1,4.998,-0.802
282.0,leo1,5.222,-0.959
283.0,leo1,5.365,-1.172
284.0,leo1,5.500,-1.394
285.0,leo1,5.632,-1.613
286.0,leo1,5.755,-1.799
287.0,leo1,5.775,-1.826
288.0,leo1,5.774,-1.826
