x,y
0.0000,0.0000
0.6469,-0.0044
0.8241,-0.0053
0.8567,0.0600
0.8079,0.0538
-0.0289,0.8082
-0.0648,1.0038
0.3888,2.2586
0.4016,2.1975
0.3885,2.1158
0.3161,2.3573
0.3682,0.6305
0.9961,0.5626
3.4718,-0.1445
5.6530,-1.4022
5.8373,-1.7057
5.8963,-1.6535
5.8506,-1.6008
6.9072,0.3872
6.6500,1.7620
6.5529,1.7201
6.6322,1.7149
6.7097,1.6967
6.6886,1.7078
7.4281,1.0979
5.9516,-1.0008
5.8363,-3.5807
5.7887,-4.8825
5.7591,-4.8699
5.8158,-4.7308
5.8070,-4.7472
5.7356,-2.8312
6.3043,-0.3519
7.4228,1.7663
7.2968,4.3124
7.5715,5.8149
8.7742,5.5985
8.8899,3.1571
7.5677,0.9294
5.8963,-1.0036
6.9054,-3.3280
7.3721,-3.9747
7.3798,-3.9004
7.3244,-3.8953
6.1680,-1.9848
4.2825,-0.3627
1.8400,0.0384
-0.7610,0.0442
-3.3389,0.0123
-5.8344,-0.7738
-6.0165,-1.3829
-5.8786,-1.6766
-5.8887,-1.6534
-5.9703,-2.9854
-6.9231,-3.3130
-7.1258,-3.3795
-7.1118,-3.3019
-6.6850,-1.5863
-7.5397,0.4766
-7.9730,1.4952
-7.9941,1.4865
-7.9584,1.3646
-7.9635,1.3758
-7.9652,0.8154
-6.4698,-1.2937
-7.7893,-3.4843
-8.4153,-5.7477
-8.4079,-5.7978
-8.3488,-5.6799
-8.5691,-5.8808
-8.6543,-5.0636
-7.5808,-2.6908
-6.5107,-1.3813
-7.8470,0.7641
-9.2688,2.9406
-10.5856,5.1278
-8.4942,5.9992
-7.9764,3.7542
-8.0185,1.1436
-6.6336,-0.8924
-6.4079,-3.3616
-6.0295,-4.7801
-6.0345,-4.7907
-6.0345,-4.7907
-6.0345,-4.7907
-6.0345,-4.7907
-6.0345,-4.7907
