t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,slam_x,slam_y,slam_yaw
53.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0373,0.0000,0.0000,0.0373
54.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0377,0.0000,0.0000,0.0377
54.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0386,0.0000,0.0000,0.0386
55.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0390,0.0000,0.0000,0.0390
55.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0398,0.0000,0.0000,0.0398
56.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,0.0400
56.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0405,0.0000,0.0000,0.0405
57.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0416,0.0000,0.0000,0.0416
57.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0421,0.0000,0.0000,0.0421
58.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0427,0.0000,0.0000,0.0427
58.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0438,0.0000,0.0000,0.0438
59.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0446,0.0000,0.0000,0.0446
59.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0447,0.0000,0.0000,0.0447
60.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0456,0.0000,0.0000,0.0456
60.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0462,0.0000,0.0000,0.0462
61.00,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0469,0.0000,0.0000,0.0469
61.50,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0472,0.0000,0.0000,0.0472
62.00,0.0255,-0.0000,-0.0000,0.0220,0.0011,0.0479,0.0220,0.0011,0.0479
62.50,0.0855,-0.0000,-0.0000,0.0831,0.0040,0.0484,0.0570,0.0021,0.0212
63.00,0.1455,-0.0000,-0.0000,0.1454,0.0070,0.0487,0.1053,0.0014,0.0069
63.50,0.2055,-0.0000,-0.0000,0.2085,0.0101,0.0491,0.0685,0.0019,0.0073
64.00,0.2655,-0.0000,-0.0000,0.2715,0.0132,0.0495,0.0815,0.0023,0.0076
64.50,0.3255,-0.0000,-0.0000,0.3336,0.0163,0.0499,0.0937,0.0028,0.0080
65.00,0.3855,-0.0000,-0.0000,0.3916,0.0192,0.0508,0.0518,0.0039,0.0055
65.50,0.4455,-0.0000,-0.0000,0.4562,0.0225,0.0513,0.1164,0.0043,0.0059
66.00,0.5055,-0.0000,-0.0000,0.5198,0.0258,0.0519,0.1002,0.0047,0.0065
66.50,0.5655,-0.0000,-0.0000,0.5780,0.0289,0.0527,0.1184,0.0051,0.0073
67.00,0.6255,-0.0000,-0.0000,0.6379,0.0321,0.0530,0.0984,0.0055,0.0076
67.50,0.6855,-0.0000,-0.0000,0.7002,0.0354,0.0532,0.1608,0.0060,0.0079
68.00,0.7455,-0.0000,-0.0000,0.7593,0.0385,0.0540,0.1599,0.0069,0.0051
68.50,0.8055,-0.0000,-0.0000,0.8199,0.0418,0.0547,0.1947,0.0077,0.0036
69.00,0.8655,-0.0000,-0.0000,0.8812,0.0452,0.0546,0.2420,0.0080,0.0022
69.50,0.9255,-0.0000,-0.0000,0.9426,0.0486,0.0554,0.2835,0.0082,0.0030
70.00,0.9855,-0.0000,-0.0000,1.0071,0.0521,0.0555,0.3281,0.0084,0.0031
70.50,1.0455,-0.0000,-0.0000,1.0680,0.0555,0.0559,0.3561,0.0086,0.0036
71.00,1.1055,-0.0000,-0.0000,1.1269,0.0589,0.0565,0.4081,0.0088,0.0041
71.50,1.1655,-0.0000,-0.0000,1.1907,0.0625,0.0571,0.4720,0.0096,0.0013
72.00,1.2232,-0.0000,-0.0000,1.2522,0.0660,0.0578,0.5136,0.0097,0.0020
72.50,1.2232,-0.0000,-0.0000,1.2535,0.0661,0.0588,0.4949,0.0097,0.0029
73.00,1.2232,-0.0000,-0.0000,1.2535,0.0661,0.0594,0.4949,0.0097,0.0036
73.50,1.2232,-0.0000,-0.0000,1.2535,0.0661,0.0603,0.4949,0.0097,0.0045
74.00,1.2232,-0.0000,-0.0000,1.2535,0.0661,0.0611,0.4949,0.0097,0.0052
74.50,1.2232,-0.0000,-0.0000,1.2535,0.0661,0.0611,0.4949,0.0097,0.0053
75.00,1.2232,-0.0000,-0.0000,1.2535,0.0661,0.0614,0.4949,0.0097,0.0055
75.50,1.2232,-0.0000,-0.0000,1.2535,0.0661,0.0614,0.4949,0.0097,0.0056
76.00,1.2232,-0.0000,-0.0000,1.2535,0.0661,0.0620,0.4949,0.0097,0.0062
76.50,1.2232,-0.0000,-0.0000,1.2535,0.0661,0.0625,0.4949,0.0097,0.0067
77.00,1.2232,-0.0000,-0.0000,1.2535,0.0661,0.0632,0.4949,0.0097,0.0074
77.50,1.2232,-0.0000,-0.0000,1.2535,0.0661,0.0636,0.4949,0.0097,0.0077
78.00,1.2232,-0.0000,-0.0000,1.2535,0.0661,0.0644,0.4949,0.0097,0.0086
78.50,1.2232,-0.0000,-0.0000,1.2535,0.0661,0.0646,0.4949,0.0097,0.0088
79.00,1.2232,-0.0000,-0.0000,1.2535,0.0661,0.0652,0.4949,0.0097,0.0093
79.50,1.2232,-0.0000,-0.0000,1.2535,0.0661,0.0657,0.4949,0.0097,0.0098
80.00,1.2232,-0.0000,-0.0000,1.2535,0.0661,0.0663,0.4949,0.0097,0.0105
80.50,1.2232,0.0012,0.0225,1.2536,0.0661,0.0862,0.4951,0.0097,0.0304
81.00,1.2232,0.0084,0.0745,1.2600,0.0668,0.1391,0.5015,0.0100,0.0833
81.50,1.2232,0.0156,0.1247,1.2666,0.0679,0.1899,0.5081,0.0108,0.1341
82.00,1.2232,0.0223,0.1731,1.2729,0.0693,0.2388,0.5145,0.0118,0.1830
82.50,1.2232,0.0286,0.2199,1.2773,0.0704,0.2860,0.5189,0.0127,0.2302
83.00,1.2232,0.0343,0.2653,1.2827,0.0722,0.3321,0.5339,0.0368,0.2623
83.50,1.2233,0.0396,0.3093,1.2883,0.0742,0.3764,0.5395,0.0384,0.3066
84.00,1.2233,0.0444,0.3520,1.2927,0.0761,0.4195,0.5441,0.0400,0.3497
84.50,1.2234,0.0487,0.3936,1.2963,0.0778,0.4613,0.5478,0.0414,0.3915
85.00,1.2234,0.0525,0.4339,1.2999,0.0796,0.5020,0.5515,0.0430,0.4322
85.50,1.2234,0.0558,0.4732,1.3028,0.0813,0.5419,0.5545,0.0445,0.4721
86.00,1.2235,0.0587,0.5115,1.3054,0.0829,0.5807,0.5572,0.0459,0.5109
86.50,1.2235,0.0610,0.5487,1.3080,0.0847,0.6183,0.5600,0.0475,0.5485
87.00,1.2236,0.0629,0.5850,1.3088,0.0852,0.6548,0.5607,0.0480,0.5850
87.50,1.2236,0.0644,0.6203,1.3100,0.0862,0.6905,0.5620,0.0489,0.6207
88.00,1.2237,0.0654,0.6548,1.3108,0.0869,0.7252,0.5629,0.0495,0.6554
88.50,1.2238,0.0660,0.6883,1.3112,0.0873,0.7591,0.5634,0.0499,0.6893
89.00,1.2238,0.0661,0.7210,1.3113,0.0874,0.7920,0.5634,0.0499,0.7222
89.50,1.2236,0.0661,0.7538,1.3113,0.0873,0.8256,0.5634,0.0499,0.7558
90.00,1.2235,0.0660,0.7878,1.3111,0.0871,0.8599,0.5632,0.0497,0.7901
90.50,1.2235,0.0657,0.8216,1.3109,0.0869,0.8946,0.5630,0.0495,0.8248
91.00,1.2236,0.0654,0.8543,1.3108,0.0868,0.9283,0.5629,0.0494,0.8585
91.50,1.2234,0.0654,0.8871,1.3106,0.0865,0.9613,0.5627,0.0491,0.8915
92.00,1.2228,0.0653,0.9208,1.3102,0.0859,0.9951,0.5622,0.0485,0.9253
92.50,1.2217,0.0652,0.9553,1.3095,0.0848,1.0305,0.5614,0.0475,0.9607
