x,y
0.0000,0.0000
0.3281,0.0084
0.4949,0.0097
0.5632,0.0497
0.5221,0.0680
0.4553,-0.1612
-0.3813,0.9023
-0.3469,1.5888
-0.3808,1.3480
-0.3973,1.3959
-0.4476,1.2819
-0.4468,1.2144
-0.3731,0.9338
-0.1298,0.6540
1.1818,0.4876
3.6587,-0.2593
5.1866,-0.9814
4.5601,-2.0213
4.4291,-2.1147
4.8556,-3.4672
4.8253,-3.4557
4.9241,-3.3740
4.8735,-3.3335
5.0342,-2.7644
5.1841,-2.5504
5.1681,-2.5549
5.7168,-2.9614
7.0085,-3.9888
6.9643,-3.9708
7.0084,-3.9530
6.9619,-3.8676
6.1361,-2.2285
6.2664,-0.1462
7.2895,1.0039
6.5322,1.8688
6.1989,2.0188
6.2885,3.0773
7.0491,5.4597
7.2309,5.6941
7.2681,5.5814
7.2559,5.6074
7.2684,5.5826
7.5226,5.7903
8.0931,5.7888
8.5592,5.6033
8.5302,3.1482
7.2185,0.9170
5.6453,-1.0851
5.6082,-3.6401
5.8024,-4.9823
5.7944,-4.9261
5.8005,-4.8472
5.7542,-4.8658
5.6282,-2.7073
4.5844,-0.5507
2.2885,0.1364
0.0168,0.1150
-2.6361,0.0939
-5.1346,-0.4077
-6.5068,-1.2147
-6.0743,-1.7256
-5.6164,-1.8176
-5.7016,-1.8040
-5.7038,-2.0394
-6.9805,-0.5972
-8.2711,0.8603
-8.2068,1.6066
-8.2224,1.5578
-8.4692,1.7804
-9.4369,2.8915
-9.4559,2.8351
-9.4543,2.7636
-9.1855,2.3305
-9.1222,2.1833
-9.1220,2.1732
-9.1290,2.1669
-9.2629,2.2541
-9.5467,2.8312
-10.6115,4.1338
-10.6233,4.1443
-10.7788,5.5668
-10.7662,5.4925
-10.7687,5.4280
-10.9276,5.0883
-9.8550,2.9282
-8.3239,0.8121
-6.7614,-1.2404
-7.9857,-3.4508
-8.6832,-5.6647
-7.7224,-5.9136
-6.2133,-4.7062
-6.3942,-2.1238
-7.5760,0.1478
-8.4080,2.2686
-8.2205,4.6604
-8.1835,4.7298
-8.1202,4.6425
-8.1652,4.6048
-8.2061,2.7076
