t,robot,x,y
55.0,leo1,0.000,0.000
56.0,leo1,0.000,0.000
57.0,leo1,0.000,0.000
58.0,leo1,0.000,0.000
59.0,leo1,0.000,0.000
60.0,leo1,0.000,0.000
61.0,leo1,0.000,0.000
62.0,leo1,0.022,0.001
63.0,leo1,0.105,0.001
64.0,leo1,0.081,0.002
65.0,leo1,0.052,0.004
66.0,leo1,0.100,0.005
67.0,leo1,0.098,0.006
68.0,leo1,0.160,0.007
69.0,leo1,0.242,0.008
70.0,leo1,0.328,0.008
71.0,leo1,0.408,0.009
72.0,leo1,0.514,0.010
73.0,leo1,0.495,0.010
74.0,leo1,0.495,0.010
75.0,leo1,0.495,0.010
76.0,leo1,0.495,0.010
77.0,leo1,0.495,0.010
78.0,leo1,0.495,0.010
79.0,leo1,0.495,0.010
80.0,leo1,0.495,0.010
81.0,leo1,0.501,0.010
82.0,leo1,0.515,0.012
83.0,leo1,0.534,0.037
84.0,leo1,0.544,0.040
85.0,leo1,0.552,0.043
86.0,leo1,0.557,0.046
87.0,leo1,0.561,0.048
88.0,leo1,0.563,0.049
89.0,leo1,0.563,0.050
90.0,leo1,0.563,0.050
91.0,leo1,0.563,0.049
92.0,leo1,0.562,0.049
93.0,leo1,0.561,0.046
94.0,leo1,0.558,0.043
95.0,leo1,0.555,0.037
96.0,leo1,0.552,0.028
97.0,leo1,0.549,0.018
98.0,leo1,0.547,0.007
99.0,leo1,0.545,-0.006
100.0,leo1,0.522,0.068
101.0,leo1,0.522,0.068
102.0,leo1,0.524,0.028
103.0,leo1,0.504,-0.010
104.0,leo1,0.506,-0.050
105.0,leo1,0.476,-0.089
106.0,leo1,0.478,-0.131
107.0,leo1,0.460,-0.176
108.0,leo1,0.460,-0.187
109.0,leo1,0.458,-0.174
110.0,leo1,0.455,-0.161
111.0,leo1,0.452,-0.151
112.0,leo1,0.427,-0.103
113.0,leo1,0.260,0.074
114.0,leo1,0.128,0.273
115.0,leo1,-0.036,0.485
116.0,leo1,-0.175,0.685
117.0,leo1,-0.354,0.855
118.0,leo1,-0.381,0.902
119.0,leo1,-0.382,0.903
120.0,leo1,-0.381,0.902
121.0,leo1,-0.380,0.901
122.0,leo1,-0.378,0.897
123.0,leo1,-0.375,0.891
124.0,leo1,-0.396,0.956
125.0,leo1,-0.376,1.231
126.0,leo1,-0.381,1.431
127.0,leo1,-0.352,1.584
128.0,leo1,-0.342,1.597
129.0,leo1,-0.342,1.597
130.0,leo1,-0.347,1.589
131.0,leo1,-0.352,1.561
132.0,leo1,-0.353,1.565
133.0,leo1,-0.349,1.528
134.0,leo1,-0.386,1.515
135.0,leo1,-0.381,1.472
136.0,leo1,-0.388,1.443
137.0,leo1,-0.385,1.406
138.0,leo1,-0.382,1.366
139.0,leo1,-0.381,1.348
140.0,leo1,-0.381,1.348
141.0,leo1,-0.382,1.356
142.0,leo1,-0.384,1.367
143.0,leo1,-0.387,1.377
144.0,leo1,-0.390,1.384
145.0,leo1,-0.393,1.389
146.0,leo1,-0.395,1.393
147.0,leo1,-0.397,1.395
148.0,leo1,-0.398,1.396
149.0,leo1,-0.398,1.396
150.0,leo1,-0.397,1.396
151.0,leo1,-0.397,1.396
152.0,leo1,-0.395,1.394
153.0,leo1,-0.391,1.392
154.0,leo1,-0.385,1.389
155.0,leo1,-0.376,1.386
156.0,leo1,-0.366,1.382
157.0,leo1,-0.354,1.380
158.0,leo1,-0.341,1.378
159.0,leo1,-0.430,1.283
160.0,leo1,-0.448,1.282
161.0,leo1,-0.461,1.280
162.0,leo1,-0.473,1.276
163.0,leo1,-0.481,1.273
164.0,leo1,-0.438,1.219
165.0,leo1,-0.444,1.216
166.0,leo1,-0.446,1.215
167.0,leo1,-0.447,1.214
168.0,leo1,-0.448,1.214
169.0,leo1,-0.447,1.214
170.0,leo1,-0.447,1.214
171.0,leo1,-0.446,1.215
172.0,leo1,-0.445,1.218
173.0,leo1,-0.442,1.222
174.0,leo1,-0.440,1.228
175.0,leo1,-0.437,1.237
176.0,leo1,-0.434,1.248
177.0,leo1,-0.432,1.261
178.0,leo1,-0.355,1.204
179.0,leo1,-0.363,1.053
180.0,leo1,-0.373,0.934
181.0,leo1,-0.367,0.924
182.0,leo1,-0.363,0.915
183.0,leo1,-0.360,0.908
184.0,leo1,-0.357,0.902
185.0,leo1,-0.289,0.887
186.0,leo1,-0.161,0.701
187.0,leo1,-0.129,0.653
188.0,leo1,-0.129,0.653
189.0,leo1,-0.129,0.653
190.0,leo1,-0.130,0.654
191.0,leo1,-0.131,0.655
192.0,leo1,-0.134,0.657
193.0,leo1,-0.140,0.660
194.0,leo1,-0.148,0.663
195.0,leo1,-0.077,0.648
196.0,leo1,0.182,0.669
197.0,leo1,0.421,0.607
198.0,leo1,0.678,0.558
199.0,leo1,0.925,0.531
200.0,leo1,1.182,0.488
201.0,leo1,1.442,0.417
202.0,leo1,1.687,0.360
203.0,leo1,1.928,0.281
204.0,leo1,2.184,0.213
205.0,leo1,2.424,0.134
206.0,leo1,2.674,0.064
207.0,leo1,2.927,0.003
208.0,leo1,3.159,-0.096
209.0,leo1,3.423,-0.179
210.0,leo1,3.659,-0.259
211.0,leo1,3.918,-0.332
212.0,leo1,4.172,-0.418
213.0,leo1,4.421,-0.513
214.0,leo1,4.676,-0.600
215.0,leo1,4.906,-0.724
216.0,leo1,5.079,-0.888
217.0,leo1,5.190,-0.986
218.0,leo1,5.190,-0.986
219.0,leo1,5.189,-0.985
220.0,leo1,5.187,-0.981
221.0,leo1,5.184,-0.976
222.0,leo1,5.180,-0.968
223.0,leo1,5.177,-0.959
224.0,leo1,5.174,-0.946
225.0,leo1,5.137,-0.989
226.0,leo1,5.115,-1.187
227.0,leo1,5.068,-1.441
228.0,leo1,4.951,-1.650
229.0,leo1,4.772,-1.851
230.0,leo1,4.560,-2.021
231.0,leo1,4.415,-2.158
232.0,leo1,4.411,-2.172
233.0,leo1,4.412,-2.171
234.0,leo1,4.413,-2.169
235.0,leo1,4.415,-2.166
236.0,leo1,4.418,-2.160
237.0,leo1,4.421,-2.152
238.0,leo1,4.425,-2.141
239.0,leo1,4.427,-2.128
240.0,leo1,4.429,-2.115
241.0,leo1,4.430,-2.121
242.0,leo1,4.536,-2.383
243.0,leo1,4.580,-2.639
244.0,leo1,4.631,-2.875
245.0,leo1,4.740,-3.109
246.0,leo1,4.809,-3.363
247.0,leo1,4.848,-3.451
248.0,leo1,4.851,-3.458
249.0,leo1,4.854,-3.464
250.0,leo1,4.856,-3.467
251.0,leo1,4.857,-3.469
252.0,leo1,4.858,-3.470
253.0,leo1,4.857,-3.470
254.0,leo1,4.857,-3.469
255.0,leo1,4.856,-3.469
256.0,leo1,4.854,-3.467
257.0,leo1,4.850,-3.465
258.0,leo1,4.844,-3.462
259.0,leo1,4.836,-3.459
260.0,leo1,4.825,-3.456
261.0,leo1,4.813,-3.453
262.0,leo1,4.800,-3.452
263.0,leo1,4.872,-3.387
264.0,leo1,4.885,-3.386
265.0,leo1,4.896,-3.384
266.0,leo1,4.909,-3.380
267.0,leo1,4.915,-3.378
268.0,leo1,4.915,-3.378
269.0,leo1,4.917,-3.377
270.0,leo1,4.924,-3.374
271.0,leo1,4.878,-3.321
272.0,leo1,4.881,-3.319
273.0,leo1,4.883,-3.318
274.0,leo1,4.882,-3.318
275.0,leo1,4.882,-3.318
276.0,leo1,4.882,-3.319
277.0,leo1,4.881,-3.320
278.0,leo1,4.878,-3.324
279.0,leo1,4.876,-3.329
280.0,leo1,4.874,-3.334
281.0,leo1,4.871,-3.148
282.0,leo1,4.884,-2.900
283.0,leo1,4.955,-2.690
284.0,leo1,4.973,-2.647
285.0,leo1,4.976,-2.659
286.0,leo1,4.978,-2.669
287.0,leo1,4.980,-2.677
288.0,leo1,4.983,-2.693
289.0,leo1,5.028,-2.724
290.0,leo1,5.034,-2.764
291.0,leo1,5.041,-2.805
292.0,leo1,5.058,-2.846
293.0,leo1,5.065,-2.885
294.0,leo1,5.069,-2.923
295.0,leo1,5.069,-2.903
